match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,1713;0,1367;0,6919
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;1;0,2575;0,3908;0,3516
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;2;0,2714;0,2754;0,4532
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;1;0,2722;0,5228;0,205
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,2073;0,6998;0,0929
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;0;0,3472;0,3457;0,3071
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,2879;0,3826;0,3296
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2681;0,3904;0,3415
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;1;0,2741;0,3929;0,333
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,1959;0,7222;0,082
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,2832;0,3821;0,3346
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2084;0,6884;0,1032
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2905;0,4176;0,2919
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,259;0,5521;0,1889
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,2409;0,5695;0,1895
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2835;0,4403;0,2763
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;1;0,2829;0,4752;0,2418
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,2768;0,4559;0,2673
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;1;0,3021;0,3944;0,3034
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,1383;0,1232;0,7385
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,2109;0,6883;0,1008
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,1355;0,1059;0,7586
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,2208;0,6739;0,1053
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2685;0,5374;0,1941
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,273;0,4014;0,3256
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;1;0,2602;0,4962;0,2436
35069;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,1991;0,7115;0,0894
35067;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;1;0,2713;0,393;0,3357
35066;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,2398;0,2282;0,532
57596;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,2672;0,5143;0,2185
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1,0;1;0,2584;0,5527;0,1889
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0,0;1;0,2966;0,444;0,2593
45183;2020-01-05;T19-20;SP1;Granada;Mallorca;1;0;1,0;1;0,2566;0,3809;0,3625
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;1;0,2895;0,4496;0,2609
35074;2020-01-06;T19-20;I1;Lecce;Udinese;0;1;2,0;1;0,2511;0,3833;0,3656
35073;2020-01-06;T19-20;I1;Milan;Sampdoria;0;0;0,0;1;0,2033;0,7021;0,0946
35072;2020-01-06;T19-20;I1;Juventus;Cagliari;4;0;1,0;1;0,1984;0,7106;0,091
35075;2020-01-06;T19-20;I1;Napoli;Inter;1;3;2,0;2;0,2831;0,3049;0,412
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1;0,2475;0,5154;0,2371
35070;2020-01-06;T19-20;I1;Bologna;Fiorentina;1;1;0,0;2;0,2855;0,3279;0,3866
57599;2020-01-07;T19-20;SP2;Zaragoza;Sp Gijon;2;0;1,0;1;0,2783;0,4517;0,27
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1;0,276;0,4416;0,2823
26583;2020-01-10;T19-20;F1;Rennes;Marseille;0;1;2,0;1;0,2673;0,3869;0,3458
26586;2020-01-11;T19-20;F1;Angers;Nice;1;1;0,0;1;0,2824;0,4414;0,2762
26585;2020-01-11;T19-20;F1;Amiens;Montpellier;1;2;2,0;1;0,2828;0,4141;0,3031
26587;2020-01-11;T19-20;F1;Metz;Strasbourg;1;0;1,0;1;0,2432;0,3892;0,3676
26588;2020-01-11;T19-20;F1;Nimes;Reims;2;0;1,0;1;0,2899;0,441;0,2692
26589;2020-01-11;T19-20;F1;Toulouse;Brest;2;5;2,0;1;0,2893;0,4225;0,2882
26584;2020-01-11;T19-20;F1;Bordeaux;Lyon;1;2;2,0;2;0,2866;0,2704;0,443
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;2;0,222;0,1849;0,5931
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1;0,1858;0,73;0,0842
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0,0;1;0,2015;0,7073;0,0911
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1;0,2606;0,4156;0,3237
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0,0;2;0,1949;0,1593;0,6458
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1;0,2286;0,6433;0,1281
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2,0;1;0,2757;0,4402;0,2841
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0,0;1;0,2653;0,3912;0,3435
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1;0,1903;0,7255;0,0842
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;2;0,29;0,2916;0,4184
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2,0;1;0,2801;0,3997;0,3203
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2;0,2263;0,2217;0,552
26591;2020-01-12;T19-20;F1;Dijon;Lille;1;0;1,0;2;0,2555;0,2255;0,519
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1,0;1;0,2721;0,5176;0,2102
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1,0;1;0,2658;0,3876;0,3466
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1,0;1;0,2767;0,4353;0,288
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1,0;1;0,2567;0,5516;0,1917
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1,0;1;0,2196;0,6605;0,1199
26590;2020-01-12;T19-20;F1;St Etienne;Nantes;0;2;2,0;1;0,2576;0,5541;0,1884
