version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;n_a;n_d;n_independent;n_shared;n_steps
0;2024-06-17 21:47:28.866149;0,500939713748735;;2048;0,09986931531373425;0,40997639253798424;1,4379772359580083;0,04985717250330813;3243;45483;6917;0,0013706467181459475;53;12;4;3;9
1;2024-06-17 21:57:42.541258;0,510336851236085;;2048;0,9810366446861465;0,9550239812923776;1,0244035222996104;0,012494632622499195;3243;45483;6917;0,7646282010618295;18;11;3;4;7
2;2024-06-17 22:03:35.960652;0,5033974266300419;;2048;0,8395578602211973;0,2775472345823771;1,8739474278195591;0,04885443519616632;3243;45483;6917;0,005511106848064067;23;61;2;4;10
3;2024-06-17 22:09:48.919936;0,5109151366199219;;2048;0,41458693800412966;0,7830416277333161;1,813864622643508;0,04332126902116462;3243;45483;6917;0,0034929488210278087;17;36;4;4;8
4;2024-06-17 22:25:34.585290;0,5101922798901257;;2048;0,7653075676472112;0,2313965547130435;1,0071047913535418;0,07074685649987784;3243;45483;6917;0,008130971064021643;9;16;3;2;6
5;2024-06-17 22:31:08.971465;0,512216278733555;;4096;0,485457153070937;0,3762838863763328;1,4169831776568913;0,01838469560853554;3243;45483;6917;0,0023706154139270623;39;23;5;1;8
6;2024-06-17 22:39:33.011048;0,5100477085441666;;8192;0,9421243341549385;0,5016872862811369;1,5071884065030272;0,06372061408283879;3243;45483;6917;0,2618325035510578;9;10;1;2;6
7;2024-06-17 22:44:22.538599;0,5114934220037588;;512;0,8816681106911064;0,5968147333010496;1,8476923923340984;0,0851240265197994;3243;45483;6917;0,03522583042360924;38;33;2;4;3
8;2024-06-17 22:49:52.027052;0,5113488506577997;;8192;0,7140286258027198;0,1554347329741901;1,7585566984823051;0,06864124480583277;3243;45483;6917;0,32150784364676593;8;11;1;4;7
9;2024-06-17 22:53:49.807439;0,5045539973977158;;8192;0,13912016649686643;0,1562338366053541;1,9245362925145755;0,033161650013653225;3243;45483;6917;0,16191856482446576;9;19;4;2;9
10;2024-06-17 23:05:42.873858;0,5099031371982073;;4096;0,508390322251537;0,3687577214253883;1,2358444312290562;0,024447164441592888;3243;45483;6917;0,0010035181215799502;64;8;5;1;4
11;2024-06-17 23:10:46.861994;0,5117825646956773;;512;0,6329564613862488;0,6117906672168097;1,6278719492863547;0,0931919240247196;3243;45483;6917;0,0360111813336681;41;31;2;5;3
12;2024-06-17 23:17:08.674671;0,5113488506577997;;4096;0,6270275491235312;0,6091833947597832;1,6048227455319335;0,09959218860231184;3243;45483;6917;0,03322152188842196;39;27;5;5;5
13;2024-06-17 23:24:19.769615;0,510336851236085;;1024;0,3941944581548713;0,488086940428402;1,3179511807925044;0,01058759855067997;3243;45483;6917;0,019728528630331296;36;23;2;1;4
14;2024-06-17 23:27:21.740509;0,5117825646956773;;512;0,5947308985325154;0,6543216486492505;1,6440565449713813;0,033125398271210776;3243;45483;6917;0,057019880241372375;30;39;2;5;3
