match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;1;0,3865;0,401;0,2124
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3887;0,4133;0,198
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3881;0,4078;0,2041
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,3802;0,4383;0,1815
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3881;0,4074;0,2045
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,3871;0,4031;0,2098
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,3879;0,4066;0,2055
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3887;0,413;0,1983
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3877;0,4056;0,2067
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,3821;0,4344;0,1835
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3887;0,4129;0,1984
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3888;0,4163;0,1949
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3887;0,4123;0,199
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3878;0,4068;0,2054
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3884;0,421;0,1906
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3879;0,4069;0,2052
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3885;0,4108;0,2007
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3882;0,4095;0,2023
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3884;0,4105;0,2011
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;1;0,3849;0,3952;0,2198
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,3826;0,4334;0,184
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,3845;0,3936;0,2219
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3888;0,4151;0,196
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3887;0,4133;0,198
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3888;0,4143;0,197
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,388;0,4072;0,2048
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3887;0,4126;0,1987
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3887;0,4133;0,198
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3877;0,4066;0,2057
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,3819;0,4349;0,1832
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3887;0,412;0,1993
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,388;0,4073;0,2047
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,3883;0,4091;0,2026
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,3874;0,4043;0,2082
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;1;0,3864;0,4004;0,2133
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,389;0,4181;0,193
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,3888;0,4187;0,1924
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,3889;0,4171;0,1939
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,3868;0,4245;0,1887
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,3878;0,4064;0,2058
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,3845;0,4294;0,1861
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3887;0,4118;0,1995
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3887;0,4128;0,1985
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;1;0,3836;0,3907;0,2257
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,3887;0,4124;0,199
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,3889;0,4165;0,1946
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,389;0,4182;0,1928
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3888;0,4153;0,1959
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,3878;0,4071;0,2051
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,3887;0,4134;0,1978
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3885;0,4111;0,2004
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3888;0,4151;0,1961
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,388;0,4084;0,2036
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,3886;0,4128;0,1986
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,3889;0,4174;0,1937
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,3869;0,4243;0,1888
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,3887;0,4133;0,198
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;1;0,3876;0,4052;0,2072
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;1;0,387;0,4027;0,2103
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,3887;0,4122;0,1991
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,3883;0,4098;0,2019
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3889;0,4168;0,1944
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,3888;0,4148;0,1965
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,3889;0,4173;0,1938
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,3882;0,4087;0,2032
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,3876;0,4053;0,2072
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,3874;0,4233;0,1893
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,3889;0,4164;0,1948
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,3888;0,4144;0,1968
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,386;0,4261;0,1878
57613;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,3887;0,4118;0,1995
57614;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,3876;0,4057;0,2066
45191;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;1;0,3872;0,4038;0,209
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,3882;0,4094;0,2025
57612;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,3886;0,4114;0,2
15996;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;1;0,3863;0,4002;0,2134
15990;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,3887;0,4129;0,1983
35086;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;1;0,3856;0,4271;0,1873
15991;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,3889;0,4171;0,194
15989;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;1;0,3874;0,4043;0,2083
15993;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1;1;0,3887;0,4127;0,1986
15994;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2;1;0,3882;0,4077;0,2041
15995;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0;1;0,3882;0,4086;0,2031
15992;2020-01-18;T19-20;E0;Man City;Crystal Palace;2;2;0;1;0,3784;0,442;0,1796
45194;2020-01-19;T19-20;SP1;Villarreal;Espanol;1;2;2;1;0,3875;0,423;0,1894
57620;2020-01-19;T19-20;SP2;Tenerife;Girona;1;0;1;1;0,3883;0,4094;0,2023
57619;2020-01-19;T19-20;SP2;Extremadura;Almeria;1;2;2;1;0,3875;0,4047;0,2078
57618;2020-01-19;T19-20;SP2;Santander;Las Palmas;1;1;0;1;0,3878;0,4073;0,2049
57617;2020-01-19;T19-20;SP2;Oviedo;Huesca;1;1;0;1;0,3883;0,4097;0,202
57615;2020-01-19;T19-20;SP2;Elche;Alcorcon;1;1;0;1;0,3886;0,4111;0,2003
