version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-06-30 14:16:02.688999;inf;;selu;;;16;;1,0;True;maxabs;0,07026263191838432;2631;17786;5269;batchnorm;0,8112056017698389;3;;;;;;False;1;sgd;normalizer
1;2024-06-30 14:16:18.328324;1,4351449012756348;;selu;0,6385499761426349;0,6118574486951462;16;;;False;;0,02101350928021289;2631;17786;5269;batchnorm;;13;17,0;3,0;27,0;;;;4;adam;normalizer
2;2024-06-30 14:20:37.389845;0,325340211391449;;leaky_relu;0,5631085289926333;0,7559134127076694;32;;;False;;0,004376541157565737;2631;17786;5269;vanilla;;17;;;;;0,02208128756017244;;1;adam;maxabs
3;2024-06-30 14:22:25.603095;1,099380612373352;;selu;;;32;;2,0;True;minmax;0,049138908093926965;2631;17786;5269;vanilla;0,28071327321702544;4;29,0;;;;;True;2;sgd;maxabs
4;2024-06-30 14:23:38.159328;0,9029414057731628;;selu;;;8;;68,0;True;normalizer;0,20380881036920956;2631;17786;5269;vanilla;0,2442774347868394;28;;;;;;False;1;sgd;maxabs
5;2024-06-30 14:32:54.119314;0,1895499974489212;;selu;;;512;;12,0;True;normalizer;0,08504630410421811;2631;17786;5269;vanilla;0,002197904406646934;28;23,0;30,0;9,0;;;True;4;sgd;minmax
6;2024-06-30 14:33:34.901499;inf;;relu;;;8;;8,0;True;maxabs;0,08063243241152578;2631;17786;5269;batchnorm;0,007038699061450533;6;3,0;25,0;;;;True;3;sgd;minmax
7;2024-06-30 14:34:07.808831;1,181873083114624;;relu;0,0888596846948817;0,06974207932142515;32;;;False;;0,004669982215271335;2631;17786;5269;batchnorm;;19;12,0;10,0;16,0;;;;4;adam;normalizer
8;2024-06-30 14:36:29.560945;5,8707677973086704e+26;;leaky_relu;0,47967699098196825;0,7326056581908604;8;;5,0;True;maxabs;0,02250623444167961;2631;17786;5269;vanilla;;26;20,0;5,0;8,0;;0,07893315432468463;;4;adam;maxabs
9;2024-06-30 14:39:14.347691;1859,5321044921875;;selu;0,3779645507043004;0,48412185633433835;16;;7,0;True;maxabs;0,0027029569514969622;2631;17786;5269;batchnorm;;3;13,0;27,0;16,0;;;;4;adam;maxabs
10;2024-06-30 14:43:59.124740;0,42573994398117065;;relu;;;512;0,328718732593803;;False;;0,8523128604795487;2631;17786;5269;dropout;0,001053803310532485;22;29,0;20,0;3,0;23,0;;True;5;sgd;minmax
11;2024-06-30 14:44:33.436479;0,4167877733707428;;leaky_relu;0,9716142931193236;0,9341420380323301;128;;;False;;0,007220005780107357;2631;17786;5269;vanilla;;11;23,0;;;;0,004097947919418629;;2;adam;minmax
12;2024-06-30 14:45:06.313638;0,38256216049194336;;leaky_relu;;;64;;;False;;0,010582466999692295;2631;17786;5269;vanilla;0,010456189776088752;22;24,0;30,0;;;0,02484189793663645;True;3;sgd;minmax
13;2024-06-30 14:46:37.996669;1,0001299381256104;;leaky_relu;0,7662234614628984;0,9732368125063674;512;0,6579331777247452;;False;;0,0013269299995990482;2631;17786;5269;dropout;;15;6,0;16,0;9,0;3,0;0,042481121622458845;;5;adam;maxabs
14;2024-06-30 14:46:51.762291;3,1319100856781006;;leaky_relu;;;256;;99,0;True;normalizer;0,0010636085168995544;2631;17786;5269;vanilla;0,001583074213670746;29;24,0;;;;0,0650046022469549;True;2;sgd;minmax
15;2024-06-30 14:50:10.549602;0,2762199938297272;;selu;0,29989644845734054;0,42124757909125876;512;;;False;;0,015516590984588912;2631;17786;5269;vanilla;;10;;;;;;;1;adam;maxabs
16;2024-06-30 14:50:30.583978;0,23127000033855438;;selu;0,19247212226033628;0,36700310061035635;512;;;False;;0,01476059029214389;2631;17786;5269;vanilla;;10;12,0;19,0;;;;;3;adam;minmax
17;2024-06-30 14:50:59.771347;0,2718300223350525;;selu;;;512;0,11549209940136074;39,0;True;normalizer;0,036122643719449954;2631;17786;5269;dropout;0,03356132754666203;8;10,0;20,0;;;;False;3;sgd;minmax
18;2024-06-30 14:51:16.604045;26,417110443115234;;selu;0,055337701060672984;0,3034515212019986;512;;4,0;True;minmax;0,13580599798823098;2631;17786;5269;vanilla;;23;17,0;13,0;;;;;3;adam;minmax
19;2024-06-30 14:51:29.977290;0,25046584010124207;;selu;;;128;;;False;;0,012742405530389186;2631;17786;5269;vanilla;0,0036664171484359;18;8,0;23,0;30,0;29,0;;True;5;sgd;minmax
20;2024-06-30 14:51:57.556500;1,1017194986343384;;selu;0,24342145658179182;0,20441082077873907;64;0,672637400791292;;False;;0,040798807478068494;2631;17786;5269;dropout;;13;14,0;30,0;10,0;;;;4;adam;minmax
21;2024-06-30 14:53:05.672495;0,3629268407821655;;selu;;;128;;;False;;0,014767822556498085;2631;17786;5269;vanilla;0,0030717565742970966;18;9,0;22,0;30,0;30,0;;True;5;sgd;minmax
22;2024-06-30 14:53:50.423864;0,4998512268066406;;selu;;;128;;;False;;0,008433876865128297;2631;17786;5269;vanilla;0,004191311619186112;25;5,0;25,0;24,0;14,0;;True;5;sgd;minmax
23;2024-06-30 14:54:27.522203;0,5012449622154236;;selu;;;256;;;False;;0,02238647026343803;2631;17786;5269;vanilla;0,001055729520791911;30;9,0;17,0;21,0;;;True;4;sgd;minmax
24;2024-06-30 14:55:10.289065;0,3965585231781006;;selu;;;128;;;False;;0,010310096417580367;2631;17786;5269;vanilla;0,017856826100702123;19;19,0;23,0;21,0;29,0;;True;5;sgd;minmax
25;2024-06-30 14:55:58.142436;0,30347001552581787;;relu;;;512;;;False;;0,023179223586144753;2631;17786;5269;vanilla;0,0033718508540121167;15;6,0;17,0;13,0;;;False;4;sgd;minmax
26;2024-06-30 14:56:16.099192;0,215130016207695;;selu;;;512;;36,0;True;normalizer;0,033626171048178666;2631;17786;5269;vanilla;0,0025984882095054576;8;15,0;28,0;4,0;16,0;;True;5;sgd;normalizer
27;2024-06-30 14:56:33.657348;0,4394400119781494;;selu;;;512;;32,0;True;normalizer;0,05899352489831631;2631;17786;5269;vanilla;0,03234661699041413;7;21,0;28,0;;;;True;3;sgd;normalizer
28;2024-06-30 14:56:52.255213;0,17999999225139618;;selu;0,17900573877951326;0,010464431595630208;512;0,4257327787143948;33,0;True;normalizer;0,0330021312349142;2631;17786;5269;dropout;;9;15,0;28,0;;;;;3;adam;normalizer
29;2024-06-30 14:57:21.098556;0,6443599462509155;;selu;;;512;0,43635488815464674;31,0;True;normalizer;0,09433379580722481;2631;17786;5269;dropout;0,00230624502870624;5;14,0;;;;;True;2;sgd;normalizer
30;2024-06-30 14:57:43.939727;0,3470500111579895;;relu;;;512;0,4389443180764108;48,0;True;normalizer;0,0337735023979163;2631;17786;5269;dropout;0,0076447810715144305;8;26,0;28,0;6,0;;;False;4;sgd;normalizer
31;2024-06-30 14:58:14.731987;0,49695998430252075;;selu;0,17424654006684792;0,03100969712531154;512;0,29205260765176855;24,0;True;normalizer;0,07008659964272561;2631;17786;5269;dropout;;10;16,0;26,0;;;;;3;adam;normalizer
32;2024-06-30 14:58:36.795555;0,4222000241279602;;selu;0,024133661706659454;0,2207965320780374;512;0,5297338488363562;54,0;True;normalizer;0,035400418852554384;2631;17786;5269;dropout;;12;11,0;30,0;;;;;3;adam;normalizer
33;2024-06-30 14:59:02.873707;2,3843958377838135;;selu;0,17161077710269762;0,3145788482732628;16;;21,0;True;normalizer;0,025849593430754252;2631;17786;5269;batchnorm;;9;15,0;;;;;;2;adam;normalizer
34;2024-06-30 15:02:32.719719;0,6591999530792236;;selu;0,34037597734966935;0,11610587640285341;512;;68,0;True;normalizer;0,018934730838467608;2631;17786;5269;vanilla;;14;19,0;28,0;3,0;;;;4;adam;normalizer
35;2024-06-30 15:02:53.907303;17,269121170043945;;selu;0,1669575066015124;0,018487884596065873;512;;10,0;True;minmax;0,056306830646769016;2631;17786;5269;vanilla;;6;17,0;25,0;;;;;3;adam;normalizer
36;2024-06-30 15:03:15.408872;0,45748355984687805;;selu;0,40213353391257023;0,39097041021143525;32;0,5487916738594445;42,0;True;normalizer;0,04563645781825339;2631;17786;5269;dropout;;11;12,0;10,0;12,0;;;;4;adam;normalizer
37;2024-06-30 15:04:59.349646;0,06391000002622604;;selu;0,2543022812644671;0,19951444207875071;256;;20,0;True;normalizer;0,11356498028759052;2631;17786;5269;batchnorm;;4;15,0;21,0;;;;;3;adam;normalizer
38;2024-06-30 15:05:28.373238;0,5250200033187866;;selu;;;256;;21,0;True;normalizer;0,11825809773680063;2631;17786;5269;batchnorm;0,0018058406945389725;4;18,0;22,0;6,0;14,0;;True;5;sgd;normalizer
39;2024-06-30 15:05:53.423358;0,10375998914241791;;relu;0,275414044078561;0,1446147619530687;256;;27,0;True;normalizer;0,19824758872723858;2631;17786;5269;batchnorm;;3;21,0;30,0;6,0;;;;4;adam;normalizer
40;2024-06-30 15:06:18.061190;1,9149596691131592;;relu;0,30497127915592476;0,1570882764667546;256;;20,0;True;normalizer;0,23936889078935752;2631;17786;5269;batchnorm;;3;22,0;30,0;;;;;3;adam;normalizer
41;2024-06-30 15:06:42.503046;0,15736499428749084;;relu;0,2581830261391478;0,1281087750178598;256;;29,0;True;normalizer;0,17753815799402073;2631;17786;5269;batchnorm;;5;26,0;28,0;5,0;;;;4;adam;normalizer
42;2024-06-30 15:07:08.680644;0,10904499143362045;;relu;0,25732014518272567;0,11893837556600906;256;;27,0;True;normalizer;0,19995568130632219;2631;17786;5269;batchnorm;;5;27,0;26,0;7,0;;;;4;adam;normalizer
43;2024-06-30 15:07:35.646822;0,10903500020503998;;relu;0,25623308246677956;0,11143661615867968;256;;28,0;True;normalizer;0,22994209989107456;2631;17786;5269;batchnorm;;5;27,0;26,0;6,0;;;;4;adam;normalizer
44;2024-06-30 15:07:57.369056;0,14491498470306396;;relu;0,25408714386338754;0,1458867364466905;256;;29,0;True;normalizer;0,25081539832653793;2631;17786;5269;batchnorm;;5;27,0;24,0;6,0;;;;4;adam;normalizer
45;2024-06-30 15:08:18.395340;0,12499500811100006;;relu;0,27462144550181167;0,2166460198800458;256;;27,0;True;normalizer;0,3097456390611497;2631;17786;5269;batchnorm;;3;30,0;24,0;7,0;;;;4;adam;normalizer
46;2024-06-30 15:08:47.684680;0,5492900609970093;;relu;0,37182202256282015;0,23085327493906166;256;;17,0;True;normalizer;0,3507861528296477;2631;17786;5269;batchnorm;;3;28,0;26,0;12,0;;;;4;adam;normalizer
47;2024-06-30 15:09:25.964281;0,34483999013900757;;relu;0,29446463640143933;0,24671630842610265;256;;24,0;True;normalizer;0,3995862048124503;2631;17786;5269;batchnorm;;6;30,0;22,0;7,0;;;;4;adam;normalizer
48;2024-06-30 15:09:57.432946;0,7170149683952332;;relu;0,11640813505936029;0,08680484090547061;256;;2,0;True;minmax;0,1535475326645767;2631;17786;5269;batchnorm;;3;30,0;26,0;11,0;;;;4;adam;normalizer
49;2024-06-30 15:10:19.214689;107537,5390625;;relu;0,23708936012802234;0,18284995274003218;256;;1,0;True;maxabs;0,10538552227894411;2631;17786;5269;batchnorm;;4;25,0;20,0;14,0;;;;4;adam;normalizer
50;2024-06-30 15:10:41.769604;4,083076836798497e+18;;relu;0,4097383829507424;0,12098428996514665;8;;15,0;True;normalizer;0,5242477583572535;2631;17786;5269;batchnorm;;7;28,0;24,0;;;;;3;adam;maxabs
51;2024-06-30 15:18:58.682099;0,14426001906394958;;relu;0,24062018088180984;0,16431926298038158;256;;26,0;True;normalizer;0,23914776344290942;2631;17786;5269;batchnorm;;5;27,0;24,0;7,0;;;;4;adam;normalizer
52;2024-06-30 15:19:35.266824;0,3487500250339508;;relu;0,31755785332045505;0,27570020208234836;256;;43,0;True;normalizer;0,20108289133754825;2631;17786;5269;batchnorm;;5;28,0;24,0;8,0;;;;4;adam;normalizer
53;2024-06-30 15:20:00.042271;0,44834503531455994;;relu;0,2338014048617375;0,1786110173933076;256;;27,0;True;normalizer;0,13541508621218237;2631;17786;5269;batchnorm;;4;24,0;26,0;5,0;;;;4;adam;normalizer
54;2024-06-30 15:20:32.710234;0,04236000031232834;;relu;0,11708029327983395;0,06919138343404346;256;;17,0;True;normalizer;0,2389757192676317;2631;17786;5269;batchnorm;;7;26,0;21,0;8,0;;;;4;adam;normalizer
55;2024-06-30 15:21:07.479368;0,4715700149536133;;relu;0,11494308105305259;0,07420894361650247;256;;16,0;True;normalizer;0,16448764618971556;2631;17786;5269;batchnorm;;7;22,0;19,0;10,0;;;;4;adam;normalizer
