match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;1;0,3556;0,3694;0,275
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3587;0,3793;0,2619
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3564;0,3717;0,2719
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,3546;0,4269;0,2185
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3577;0,3755;0,2668
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,3551;0,368;0,277
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,3566;0,3724;0,271
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3588;0,3886;0,2526
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3569;0,3732;0,2699
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,3552;0,4228;0,222
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3589;0,3819;0,2592
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3589;0,3865;0,2546
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3589;0,3825;0,2586
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3563;0,3713;0,2724
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3586;0,3923;0,2491
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3577;0,3756;0,2666
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3579;0,3761;0,266
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3575;0,375;0,2675
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3589;0,3852;0,2559
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;1;0,3499;0,3555;0,2946
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,3575;0,4052;0,2373
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,354;0,365;0,2809
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3583;0,3961;0,2456
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3571;0,3737;0,2692
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3589;0,382;0,2591
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,358;0,3764;0,2657
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,358;0,3766;0,2654
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3587;0,3792;0,2621
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3575;0,375;0,2675
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,3566;0,4124;0,231
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,3588;0,3872;0,254
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,3586;0,3793;0,2621
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,3589;0,3829;0,2582
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,3565;0,372;0,2715
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;1;0,3542;0,3655;0,2802
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,3587;0,3912;0,2502
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,3577;0,4029;0,2394
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,3587;0,3903;0,251
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,3579;0,4011;0,241
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,3567;0,3726;0,2706
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,3566;0,4126;0,2308
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3586;0,3929;0,2486
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3589;0,3814;0,2597
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;1;0,3502;0,356;0,2938
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,358;0,3765;0,2655
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,3588;0,3876;0,2536
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,3586;0,3928;0,2486
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3589;0,3861;0,2551
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,3561;0,371;0,2729
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,3589;0,386;0,2551
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3579;0,3761;0,2661
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3589;0,385;0,2561
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,3563;0,3716;0,2721
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,3589;0,383;0,258
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,3587;0,3909;0,2504
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,3583;0,3965;0,2452
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,3588;0,3886;0,2527
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;1;0,3562;0,371;0,2728
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;1;0,3531;0,3626;0,2843
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,3562;0,3711;0,2727
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,358;0,3764;0,2657
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3589;0,3864;0,2548
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,3589;0,3861;0,2551
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,3584;0,3949;0,2466
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,3564;0,3717;0,2719
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,3588;0,3805;0,2607
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,3575;0,4045;0,2379
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,3589;0,3843;0,2568
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,3588;0,3879;0,2533
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,3582;0,3977;0,2441
57613;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,3573;0,3744;0,2683
57614;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,3581;0,3767;0,2652
45191;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;1;0,3547;0,3669;0,2783
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,3568;0,373;0,2702
