version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-07-03 02:16:24.767988;0,4316766858100891;;relu;;;128;;;False;;0,002987712282604517;2631;39710;5613;vanilla;0,05289030649168739;17;;;;;;True;1;sgd;normalizer
1;2024-07-03 02:17:58.049561;0,7840129733085632;;leaky_relu;;;32;;2,0;True;minmax;0,03253488765271559;2631;39710;5613;batchnorm;0,5846263632199957;29;5,0;15,0;;;0,0705215664147756;False;3;sgd;normalizer
2;2024-07-03 02:22:36.688608;0,5060999989509583;;relu;;;512;;;False;;0,010697635290897975;2631;39710;5613;vanilla;0,0011309866823059468;9;18,0;;;;;False;2;sgd;minmax
3;2024-07-03 02:23:11.710627;0,39583489298820496;;relu;0,17146686092258728;0,2908435648916453;128;;;False;;0,33324425614501435;2631;39710;5613;vanilla;;15;5,0;18,0;;;;;3;adam;normalizer
4;2024-07-03 02:24:19.243641;0,291711688041687;;relu;;;128;;21,0;True;normalizer;0,0013664261377817166;2631;39710;5613;batchnorm;0,001074618012569967;26;20,0;28,0;;;;False;3;sgd;maxabs
5;2024-07-03 02:28:18.589153;1,44358491897583;;leaky_relu;;;32;;76,0;True;normalizer;0,0012552867903182967;2631;39710;5613;batchnorm;0,012660820008437662;22;23,0;;;;0,059841255544500566;True;2;sgd;maxabs
6;2024-07-03 02:32:50.396617;13,05898380279541;;selu;0,7446425451405769;0,6150312798001193;64;;8,0;True;minmax;0,022382113501428196;2631;39710;5613;vanilla;;14;;;;;;;1;adam;minmax
7;2024-07-03 02:34:37.305102;0,5401620864868164;;relu;;;16;;;False;;0,0014222072598173599;2631;39710;5613;vanilla;0,005477007196888367;24;5,0;;;;;True;2;sgd;normalizer
8;2024-07-03 02:38:58.038164;0,23883000016212463;;relu;0,5776173507908594;0,8942994375671593;512;;;False;;0,08251828236429093;2631;39710;5613;vanilla;;14;;;;;;;1;adam;normalizer
9;2024-07-03 02:39:18.452689;0,3350508213043213;;relu;;;32;0,44484476631453296;;False;;0,18464972397878315;2631;39710;5613;dropout;0,553488593088733;15;8,0;17,0;12,0;25,0;;False;5;sgd;maxabs
10;2024-07-03 02:43:28.176907;54,14127731323242;;selu;0,9778870258357993;0,9739743039982339;512;0,10417486966168193;;False;;0,8523940275187386;2631;39710;5613;dropout;;3;30,0;6,0;30,0;4,0;;;5;adam;normalizer
11;2024-07-03 02:43:51.711262;471250,34375;;relu;0,43857138449564004;0,9998657022819792;256;;7,0;True;maxabs;0,07780712026156654;2631;39710;5613;batchnorm;;23;15,0;30,0;3,0;;;;4;adam;maxabs
12;2024-07-03 02:44:37.051291;20,773448944091797;;relu;0,4664937993830233;0,014208143993474143;8;;46,0;True;normalizer;0,006741976116425638;2631;39710;5613;batchnorm;;30;25,0;30,0;29,0;;;;4;adam;maxabs
13;2024-07-03 03:05:43.483317;0,3245299756526947;;relu;0,038220493436112946;0,7040408325737381;512;;43,0;True;normalizer;0,04419565603919709;2631;39710;5613;batchnorm;;9;;;;;;;1;adam;maxabs
14;2024-07-03 03:06:06.887660;0,347144216299057;;leaky_relu;;;128;0,635517409710707;;False;;0,0064604782924473185;2631;39710;5613;dropout;0,0013703978318951248;20;13,0;24,0;19,0;;0,0022679288083365737;False;4;sgd;minmax
15;2024-07-03 03:07:07.285641;3,4199229936543027e+22;;selu;0,6380319526916003;0,7733510596235584;8;;3,0;True;maxabs;0,09770175774756307;2631;39710;5613;vanilla;;26;20,0;;;;;;2;adam;normalizer
16;2024-07-03 03:16:25.752795;1,9795763492584229;;relu;0,3010405264687394;0,4578537476399727;256;;98,0;True;normalizer;0,012115920880224574;2631;39710;5613;batchnorm;;9;12,0;5,0;;;;;3;adam;maxabs
17;2024-07-03 03:17:31.118783;0,9453276991844177;;relu;;;16;;;False;;0,0031107573247418836;2631;39710;5613;batchnorm;0,060643584737096745;18;;;;;;False;1;sgd;normalizer
18;2024-07-03 03:24:59.122361;0,2727298438549042;;selu;;;64;;;False;;0,021374558073099275;2631;39710;5613;vanilla;0,0035634023636058987;12;30,0;23,0;;;;False;3;sgd;maxabs
