match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;1;0,3081;0,3575;0,3343
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3187;0,4144;0,2669
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,3151;0,3901;0,2948
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2993;0,489;0,2116
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3176;0,4062;0,2761
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,3112;0,3704;0,3184
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,314;0,3845;0,3015
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3177;0,407;0,2753
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3126;0,377;0,3104
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2915;0,5081;0,2004
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3168;0,4006;0,2826
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3156;0,4498;0,2346
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3143;0,4543;0,2315
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3181;0,4133;0,2686
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3049;0,4771;0,218
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3144;0,387;0,2986
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3136;0,4554;0,231
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3154;0,4493;0,2352
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3094;0,4663;0,2243
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;1;0,306;0,349;0,345
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2925;0,5072;0,2003
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,3055;0,3475;0,347
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,3015;0,4853;0,2132
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3182;0,4106;0,2712
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,32;0,438;0,242
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3145;0,3874;0,2981
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3139;0,4554;0,2307
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3203;0,4371;0,2426
