version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-07-03 02:19:32.857298;0,3896222412586212;;relu;0,3166682726997531;0,7836670378391828;512;;0,9159232177305591;0,09759718776729598;0,020193162512913948;2195;17369;5099;batchnorm;;25;19,0;22,0;4,0;21,0;;;5;adam;normalizer
1;2024-07-03 02:21:17.762474;0,42383038997650146;;selu;0,9752675188945006;0,7363971614966521;64;0,25388751796870096;0,2068789661782045;0,0451947282088509;0,001783399131006683;2195;17369;5099;dropout;;24;8,0;4,0;16,0;;;;4;adam;normalizer
2;2024-07-03 02:24:39.025535;2766,093017578125;;selu;0,3547470082485068;0,8558235450864268;64;0,5515704569386833;0,5643984145966346;0,05955684191059944;0,6608800767033525;2195;17369;5099;dropout;;14;13,0;20,0;;;;;3;adam;normalizer
3;2024-07-03 02:27:04.733316;0,29605555534362793;;relu;;;512;;0,9462784143864617;0,005369906688988983;0,08376830139509024;2195;17369;5099;batchnorm;0,22300240794699558;16;;;;;;True;1;sgd;normalizer
4;2024-07-03 02:28:40.547566;1,0008889436721802;;relu;;;512;;0,30271937381258757;0,08959891805551672;0,0013323293143755748;2195;17369;5099;vanilla;0,011648260559630487;22;10,0;13,0;;;;False;3;sgd;maxabs
5;2024-07-03 02:31:12.652747;0,39446669816970825;;selu;;;512;0,5797762731677999;0,14089930174666504;0,022800046626200672;0,15694273035251927;2195;17369;5099;dropout;0,0010213613641201036;4;21,0;;;;;True;2;sgd;minmax
6;2024-07-03 02:32:50.787000;12,896147727966309;;leaky_relu;0,06350077721211139;0,0242954398283053;32;;0,4449811113689503;0,0735812826109018;0,17809527372187972;2195;17369;5099;batchnorm;;17;14,0;;;;0,02906411775069989;;2;adam;maxabs
7;2024-07-03 02:35:59.736582;0,3167000710964203;;selu;;;128;0,2407086696054491;0,9255200307814895;0,09691343378579285;0,5680851320514324;2195;17369;5099;dropout;0,5407453692817689;9;19,0;21,0;19,0;;;True;4;sgd;minmax
8;2024-07-03 02:37:51.006435;0,9893590807914734;;leaky_relu;0,48001023860585845;0,5470207386723185;16;;0,1799003610293884;0,02331391817211644;0,0010093430918200529;2195;17369;5099;batchnorm;;15;;;;;0,0829834643230222;;1;adam;minmax
9;2024-07-03 02:42:58.470693;0,375638484954834;;leaky_relu;;;128;0,20613666725797675;0,38036644825706184;0,06187043203555937;0,008920350432912883;2195;17369;5099;dropout;0,06345971168945905;8;16,0;18,0;22,0;19,0;0,07065719759983068;True;5;sgd;maxabs
10;2024-07-03 02:45:17.303806;0,39462631940841675;;relu;;;256;;0,7151795048229712;0,005025755314879499;0,08233309080193625;2195;17369;5099;vanilla;0,9680110615211017;30;;;;;;False;1;sgd;normalizer
11;2024-07-03 02:47:04.040309;0,24907180666923523;;relu;;;128;;0,9498310611772646;0,08041578975688107;0,8664862683139952;2195;17369;5099;batchnorm;0,6213914269609767;10;26,0;28,0;30,0;;;True;4;sgd;minmax
12;2024-07-03 02:49:55.885164;0,24470768868923187;;relu;;;128;;0,9740807834498604;0,07735744067925324;0,8638875981995002;2195;17369;5099;batchnorm;0,21826406940483845;11;28,0;29,0;28,0;;;True;4;sgd;minmax
13;2024-07-03 02:52:09.792006;0,23779484629631042;;relu;;;128;;0,8074995623910383;0,07650974046544885;0,9490064506209349;2195;17369;5099;batchnorm;0,17773633916835402;10;30,0;30,0;30,0;;;True;4;sgd;minmax
14;2024-07-03 02:55:11.466212;0,22836662828922272;;relu;;;128;;0,7483316628206755;0,07617936014999414;0,9980552497368383;2195;17369;5099;batchnorm;0,1110301151578454;3;30,0;30,0;30,0;;;True;4;sgd;minmax
15;2024-07-03 02:58:03.250061;0,47208723425865173;;relu;;;128;;0,7715270571772623;0,06884705442908945;0,2503448867045683;2195;17369;5099;batchnorm;0,06787062981742738;3;30,0;30,0;26,0;3,0;;True;5;sgd;minmax
16;2024-07-03 03:00:07.452607;0,4905933737754822;;relu;;;16;;0,64527852921196;0,08413978173080555;0,39214378848853815;2195;17369;5099;vanilla;0,026351510574090548;6;24,0;25,0;;;;False;3;sgd;minmax
17;2024-07-03 03:03:27.062398;0,47877371311187744;;relu;;;256;;0,7865865007846943;0,08762673108979704;0,3240720439776395;2195;17369;5099;batchnorm;0,15847412967907956;6;3,0;13,0;11,0;;;True;4;sgd;minmax
18;2024-07-03 03:05:14.095982;0,30735474824905396;;relu;;;32;;0,6024394750151892;0,06977675045774052;0,40582095755049974;2195;17369;5099;batchnorm;0,08580945724139874;12;24,0;25,0;;;;True;3;sgd;minmax
19;2024-07-03 03:09:01.141204;0,49942049384117126;;leaky_relu;;;128;;0,8303182958397783;0,05120743338384676;0,0960053630917271;2195;17369;5099;batchnorm;0,02689789190536525;19;30,0;4,0;24,0;29,0;0,005801157524441915;False;5;sgd;minmax
20;2024-07-03 03:11:01.339685;0,3541666269302368;;relu;;;128;;0,7018383587166911;0,07934340106593595;0,7339585628359342;2195;17369;5099;vanilla;0,315088335673793;6;24,0;;;;;True;2;sgd;maxabs
21;2024-07-03 03:13:04.462467;0,23912569880485535;;relu;;;128;;0,852920419499356;0,07736530524324658;0,9170733067417015;2195;17369;5099;batchnorm;0,1907524485135305;12;28,0;30,0;30,0;;;True;4;sgd;minmax
22;2024-07-03 03:15:10.069363;0,30635127425193787;;relu;;;128;;0,8219263341556422;0,06676315981705847;0,9386933236228696;2195;17369;5099;batchnorm;0,13663451006127406;13;27,0;26,0;30,0;;;True;4;sgd;minmax
23;2024-07-03 03:17:29.193641;0,45179739594459534;;relu;;;128;;0,8527466210419862;0,09016122867864647;0,37614887853673956;2195;17369;5099;batchnorm;0,2840070979847535;8;30,0;29,0;30,0;;;True;4;sgd;minmax
24;2024-07-03 03:19:32.338024;0,3164922595024109;;relu;;;128;;0,7050153061494121;0,07518033586615874;0,9622278442230395;2195;17369;5099;batchnorm;0,11527058886100076;19;27,0;25,0;;;;True;3;sgd;minmax
25;2024-07-03 03:22:47.586896;0,2775897681713104;;relu;;;128;;0,5222453359642922;0,08388566490546968;0,43028001729387183;2195;17369;5099;batchnorm;0,4436567083716333;3;21,0;30,0;25,0;4,0;;True;5;sgd;minmax
26;2024-07-03 03:25:26.018690;543358,25;;relu;0,9409498733227928;0,1885656347591182;32;;0,8403317402817325;0,06515012331610298;0,2219639552983578;2195;17369;5099;batchnorm;;12;25,0;27,0;22,0;;;;4;adam;minmax
27;2024-07-03 03:28:57.897853;0,36628422141075134;;relu;;;256;;0,8768553775637314;0,07697244612376289;0,52452826947373;2195;17369;5099;batchnorm;0,0514886228778618;7;28,0;23,0;27,0;;;True;4;sgd;minmax
