match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,3015;0,3295;0,3689
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,307;0,3469;0,3461
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3058;0,3436;0,3507
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2952;0,4236;0,2812
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3092;0,3531;0,3377
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,3052;0,3415;0,3533
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,3068;0,3447;0,3485
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,3123;0,3719;0,3158
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,3073;0,3468;0,3459
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2947;0,4251;0,2802
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3129;0,3711;0,3159
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,3047;0,3972;0,2981
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2911;0,4351;0,2737
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3129;0,3713;0,3158
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,277;0,4726;0,2503
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,3092;0,3532;0,3376
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,303;0,4024;0,2946
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3003;0,409;0,2907
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3061;0,3929;0,301
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2981;0,3192;0,3827
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2634;0,5061;0,2305
