version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
0;2024-06-30 14:16:17.675109;1,051308035850525;;selu;0,6456621179744937;0,438114778516233;16;;0,7069022943238323;0,049480403116650126;0,35995300650549084;2255;17639;5161;batchnorm;;19;8,0;23,0;3,0;;;;4;adam;maxabs
1;2024-06-30 14:22:25.833074;0,5698824524879456;;relu;;;64;0,411418853272164;0,5082798912828577;0,005559814953440831;0,35737780179609996;2255;17639;5161;dropout;0,0011991714783246138;6;23,0;3,0;27,0;;;False;4;sgd;minmax
2;2024-06-30 14:25:07.703883;0,36009249091148376;;relu;;;128;0,5702035109010981;0,8849505887857531;0,010076862188663958;0,023332277723962156;2255;17639;5161;dropout;0,002405478667099772;5;15,0;8,0;;;;False;3;sgd;maxabs
3;2024-06-30 14:26:59.205808;0,29240500926971436;;leaky_relu;0,35259489726938714;0,6888789465871703;256;;0,0842643778553048;0,05840209463261018;0,0010710358527626148;2255;17639;5161;batchnorm;;6;14,0;13,0;6,0;;0,08869279007514116;;4;adam;normalizer
4;2024-06-30 14:28:43.245918;268,5875244140625;;relu;0,530112292914984;0,07519514358556786;16;;0,13237756324012612;0,0065700849449594175;0,3568675588659839;2255;17639;5161;batchnorm;;14;;;;;;;1;adam;maxabs
5;2024-06-30 14:33:22.941527;0,30603423714637756;;relu;;;32;;0,4734095925881354;0,03786551161573212;0,016568555053381787;2255;17639;5161;vanilla;0,6606987373906511;16;17,0;;;;;True;2;sgd;minmax
6;2024-06-30 14:36:28.392591;0,2658099830150604;;leaky_relu;;;128;;0,2468535522051734;0,09692114042466186;0,007551879367364966;2255;17639;5161;vanilla;0,0011168169579470477;14;9,0;17,0;;;0,03353217679941803;False;3;sgd;normalizer
7;2024-06-30 14:38:16.211221;0,383417546749115;;selu;;;16;0,26400837066997623;0,21218192043968287;0,01469765819003059;0,03864277525748185;2255;17639;5161;dropout;0,015907181190839878;10;25,0;30,0;;;;True;3;sgd;normalizer
8;2024-06-30 14:45:32.596804;0,5546494722366333;;leaky_relu;;;16;;0,7390958804958916;0,024790861830742184;0,3662790928883995;2255;17639;5161;vanilla;0,31745561072818784;30;11,0;6,0;9,0;;0,04586291758548172;True;4;sgd;normalizer
9;2024-06-30 14:50:37.771228;0,6490415334701538;;relu;0,5347022202303985;0,6321820791931334;16;;0,25381813641339745;0,07595253041995251;0,007103294243374497;2255;17639;5161;batchnorm;;11;10,0;3,0;9,0;;;;4;adam;normalizer
10;2024-06-30 14:59:48.551412;0,6033350229263306;;leaky_relu;;;128;;0,3391582428003054;0,0998137045721599;0,0020111134047586625;2255;17639;5161;vanilla;0,010274129648375784;23;4,0;19,0;28,0;17,0;0,006799691191743923;False;5;sgd;normalizer
11;2024-06-30 15:01:52.220337;0,6614099740982056;;leaky_relu;0,049956118933095095;0,9328082322265341;256;;0,050397358076001125;0,07077454142184875;0,0010137852438652701;2255;17639;5161;batchnorm;;3;18,0;;;;0,09236768107658973;;2;adam;normalizer
12;2024-06-30 15:03:47.962017;0,20970001816749573;;leaky_relu;0,9508089034311151;0,8860123105841264;256;;0,06555177089160816;0,09939222839703118;0,003160377923797804;2255;17639;5161;vanilla;;22;3,0;12,0;18,0;3,0;0,09123329114971974;;5;adam;normalizer
13;2024-06-30 15:05:38.418306;0,3895600438117981;;leaky_relu;0,9910424740409243;0,8771149116994358;512;;0,29476732734360234;0,09833108418035741;0,004736944220757968;2255;17639;5161;vanilla;;22;3,0;14,0;17,0;3,0;0,05142408643112334;;5;adam;normalizer
14;2024-06-30 15:07:23.679516;0,5222600102424622;;leaky_relu;;;256;;0,39091521726495077;0,08778809329553577;0,00387204896144347;2255;17639;5161;vanilla;0,0597199101973222;28;6,0;;;;0,09964523722970724;False;2;sgd;normalizer
15;2024-06-30 15:09:56.443893;0,7031775116920471;;leaky_relu;0,937845082775024;0,9732574005865032;128;;0,20761613866186082;0,08435953606522292;0,009683263017433153;2255;17639;5161;vanilla;;23;7,0;19,0;18,0;3,0;0,06349772663775652;;5;adam;minmax
