match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2288;0,1912;0,58
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,3038;0,412;0,2842
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,294;0,3067;0,3993
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1023;0,8598;0,0379
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;2;0,2862;0,2956;0,4182
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2695;0,2609;0,4695
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2699;0,2622;0,4679
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2913;0,4712;0,2375
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2883;0,2938;0,4178
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0921;0,8768;0,0312
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3023;0,4325;0,2652
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2621;0,5543;0,1836
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3047;0,422;0,2732
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,3036;0,3377;0,3587
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2522;0,5786;0,1693
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3069;0,3331;0,3599
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3106;0,3594;0,3299
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3052;0,4175;0,2773
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,3031;0,4281;0,2688
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1367;0,0991;0,7641
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,116;0,8402;0,0438
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,1663;0,127;0,7067
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2517;0,5798;0,1686
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3009;0,4006;0,2985
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,267;0,5065;0,2265
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3062;0,4035;0,2903
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2953;0,4431;0,2616
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2864;0,484;0,2296
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;2;0,3041;0,3231;0,3728
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1383;0,8027;0,059
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2642;0,5489;0,1869
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;2;0,2729;0,283;0,4441
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2832;0,4143;0,3025
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,2837;0,2738;0,4426
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,256;0,2274;0,5166
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2531;0,5767;0,1702
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,1832;0,7242;0,0925
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2584;0,5642;0,1774
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1508;0,7822;0,0669
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2874;0,2997;0,4129
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1463;0,7901;0,0636
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2727;0,475;0,2523
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3073;0,3713;0,3213
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1739;0,1344;0,6917
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2903;0,4527;0,257
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2546;0,5728;0,1726
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2592;0,5616;0,1792
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2693;0,5358;0,1949
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,2682;0,2342;0,4976
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2867;0,4868;0,2265
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,3045;0,3921;0,3034
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3011;0,436;0,2629
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,3097;0,3542;0,3361
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2882;0,4798;0,2321
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2675;0,5407;0,1918
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2539;0,5744;0,1717
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2491;0,5858;0,1651
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,299;0,3122;0,3888
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,2265;0,1853;0,5882
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,3075;0,3856;0,3069
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,3092;0,3618;0,3291
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2756;0,5192;0,2052
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2922;0,4695;0,2384
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2567;0,5676;0,1757
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,3056;0,3675;0,327
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;2;0,3075;0,3379;0,3545
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1081;0,8527;0,0392
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,2811;0,5037;0,2152
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2999;0,4424;0,2576
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,1979;0,6943;0,1078
