version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;n_a;n_d;n_independent;n_shared;n_steps
0;2024-06-27 19:26:00.840081;0,1924;;512;0,3529455658683547;1,5282269436264666;2631;18443;4612;0,44214543450171145;32;17;1;5;5
1;2024-06-27 19:29:23.006519;0,1868;;1024;0,8882329143478325;1,76630693796684;2631;18443;4612;0,12488294436057097;64;26;5;4;5
2;2024-06-27 19:33:47.446171;0,1864;;1024;0,4462827463291864;1,4814503930830583;2631;18443;4612;0,016846414882174726;38;26;2;1;8
3;2024-06-27 19:39:15.205004;0,2033;;8192;0,9552727886499869;1,097919049465837;2631;18443;4612;0,9422417450208572;53;25;2;5;4
4;2024-06-27 19:41:33.928798;0,186;;2048;0,7123846421058136;1,006167152656612;2631;18443;4612;0,02928329420174577;37;27;3;1;8
5;2024-06-27 19:47:59.663174;0,1872;;4096;0,9909621078433234;1,248910058125731;2631;18443;4612;0,02260872149269274;41;23;5;1;5
6;2024-06-27 19:51:34.976464;0,1901;;2048;0,8179229092707258;1,726955501555497;2631;18443;4612;0,07146142276858677;34;24;2;2;10
7;2024-06-27 19:56:58.410242;0,1969;;1024;0,7264678690920277;1,8465717277207174;2631;18443;4612;0,5024306486046454;9;29;1;3;5
8;2024-06-27 19:58:22.539987;0,1859;;512;0,5909706679616977;1,086032223529604;2631;18443;4612;0,003969591199885259;24;29;1;4;7
9;2024-06-27 20:07:05.371559;0,2088;;8192;0,3193528733171231;1,309991404372985;2631;18443;4612;0,0020767564659095314;42;13;2;4;5
10;2024-06-27 20:11:55.272909;0,186;;512;0,5541949562737433;1,149549775326877;2631;18443;4612;0,004908354356773537;18;52;4;3;7
11;2024-06-27 20:22:10.251400;0,2118;;2048;0,12874234450743688;1,0061914599676245;2631;18443;4612;0,001017366456050018;22;40;3;2;9
12;2024-06-27 20:30:20.278073;0,1859;;2048;0,6684737927180633;1,003554526087469;2631;18443;4612;0,008372579707224324;23;8;3;4;7
13;2024-06-27 20:37:19.300068;0,186;;512;0,6067930993146778;1,1368367529458898;2631;18443;4612;0,005454476332477227;20;8;4;4;7
14;2024-06-27 20:45:14.758838;0,1873;;4096;0,7141509954250833;1,2517352339476562;2631;18443;4612;0,007619833918918635;24;8;1;4;3
15;2024-06-27 20:47:48.828611;0,1855;;2048;0,634387827445695;1,00960912055512;2631;18443;4612;0,012063779674080361;15;16;4;5;8
16;2024-06-27 20:55:50.295243;0,1871;;512;0,4960296008174759;1,095289876297729;2631;18443;4612;0,0027501892786413076;15;17;4;5;9
17;2024-06-27 21:07:07.006459;0,1873;;2048;0,5860027451476472;1,3915767019788055;2631;18443;4612;0,017121903681258835;13;36;4;5;8
18;2024-06-27 21:13:30.169340;0,1859;;512;0,798954295529834;1,187249523564949;2631;18443;4612;0,011454912945458546;11;18;5;3;6
19;2024-06-27 21:18:45.828684;0,187;;4096;0,6346012559039462;1,0714355441332108;2631;18443;4612;0,04067117916706392;8;13;4;5;10
20;2024-06-27 21:28:13.772716;0,2077;;8192;0,49860400679584094;1,206236708153186;2631;18443;4612;0,003368047041786403;28;62;3;3;6
21;2024-06-27 21:34:41.202584;0,1855;;2048;0,6436159676041028;1,0379839109897073;2631;18443;4612;0,009890727238728336;17;10;3;4;7
22;2024-06-27 21:41:30.050136;0,1863;;2048;0,6440931083433208;1,0657302115341563;2631;18443;4612;0,010519020490751024;18;10;3;4;9
23;2024-06-27 21:47:20.448786;0,186;;2048;0,7688595910184965;1,0493767441904522;2631;18443;4612;0,004732922384347929;15;20;2;5;8
24;2024-06-27 21:55:10.104047;0,1855;;2048;0,5723820244762723;1,136201085454566;2631;18443;4612;0,01130298599880779;26;13;1;4;6
25;2024-06-27 22:00:30.553213;0,1854;;2048;0,8471609316762111;1,1539463693652317;2631;18443;4612;0,012572784142450609;29;14;4;5;6
26;2024-06-27 22:07:40.550004;0,1867;;2048;0,8679938744008149;1,1781463009585351;2631;18443;4612;0,03792968535489869;29;11;4;5;6
27;2024-06-27 22:14:03.597352;0,1854;;2048;0,889496752686229;1,038458868565031;2631;18443;4612;0,016705452709726107;19;15;5;5;4
28;2024-06-27 22:17:39.938481;0,1856;;2048;0,904334073653637;1,1237705373229978;2631;18443;4612;0,01756409911796577;21;15;5;5;3
29;2024-06-27 22:20:31.673230;0,1863;;2048;0,8505256167321046;1,0357352726226798;2631;18443;4612;0,0505962550896866;31;19;5;5;4
30;2024-06-27 22:24:00.174857;0,1876;;2048;0,93343844291692;1,3236926736837935;2631;18443;4612;0,10750897923397859;12;16;5;5;4
31;2024-06-27 22:27:52.721597;0,1863;;2048;0,7873862772895183;1,0479178867367929;2631;18443;4612;0,015666895440794783;18;15;4;5;7
32;2024-06-27 22:34:01.250726;0,1857;;2048;0,8671444445998338;1,0419321414849727;2631;18443;4612;0,02377080561602982;16;11;4;4;8
33;2024-06-27 22:39:06.510215;0,1856;;2048;0,996627236835641;1,0024259717105375;2631;18443;4612;0,0072640321155636066;19;20;5;5;4
34;2024-06-27 22:44:04.420571;0,1856;;1024;0,7428667499476012;1,0965548256972248;2631;18443;4612;0,02848175516901549;16;14;3;5;6
35;2024-06-27 22:51:11.603079;0,1869;;2048;0,813694484729004;1,1016002844145254;2631;18443;4612;0,013361659423500356;14;17;3;4;8
36;2024-06-27 22:57:50.057800;0,2033;;8192;0,6804759944014013;1,1634218195704895;2631;18443;4612;0,020357544514032034;20;12;4;5;3
37;2024-06-27 22:59:28.369707;0,1861;;1024;0,9217224940568699;1,0537549225534308;2631;18443;4612;0,008775290166892982;27;15;5;4;9
38;2024-06-27 23:08:15.506510;0,1871;;4096;0,748376672360432;1,2173358955925737;2631;18443;4612;0,029643821469969613;17;10;4;5;5
39;2024-06-27 23:12:14.586949;0,1861;;2048;0,9483792050409949;1,1324160385416548;2631;18443;4612;0,01317679899597464;21;21;3;2;5
40;2024-06-27 23:16:13.305891;0,1861;;2048;0,8249952755137406;1,028464737893219;2631;18443;4612;0,006176218875597685;25;22;5;4;8
41;2024-06-27 23:23:31.415210;0,1869;;2048;0,7059544123774508;1,1039653405865812;2631;18443;4612;0,010370801976240565;26;13;1;4;6
42;2024-06-27 23:27:10.098761;0,1861;;2048;0,67401376288827;1,1361138592520945;2631;18443;4612;0,021849352404386582;33;18;2;3;7
