match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2634;0,241;0,4956
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2789;0,4725;0,2486
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3013;0,3058;0,3929
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1493;0,7829;0,0678
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2909;0,3809;0,3283
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2741;0,2716;0,4543
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2899;0,2848;0,4253
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2757;0,5475;0,1768
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2958;0,3503;0,3539
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1428;0,7888;0,0684
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,303;0,4274;0,2697
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,287;0,5007;0,2123
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3175;0,4464;0,2361
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,266;0,2495;0,4845
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2849;0,5347;0,1804
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,3094;0,3446;0,346
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3092;0,4325;0,2583
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3049;0,3587;0,3364
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2954;0,4668;0,2378
