version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-22 19:09:27.063437;0,1843;;512;0,8883083396753749;1,5417678748439585;2631;39710;5613;0,05501476892329755;entmax;52;26;1;3;6;0,3276291682508407
1;2024-06-22 19:19:33.252951;0,185;;2048;0,8205783453877628;1,1354215474532805;2631;39710;5613;0,019511623554279364;entmax;32;40;3;2;9;0,549318049412594
2;2024-06-22 19:33:36.202933;0,1857;;1024;0,6003670928977928;1,4878323291095366;2631;39710;5613;0,004735777924214222;sparsemax;15;18;4;3;7;0,5127951573166716
3;2024-06-22 19:52:48.112025;0,1844;;512;0,5944487480193176;1,3662548566085486;2631;39710;5613;0,00645732881853487;sparsemax;29;14;5;1;3;0,2143781347927902
4;2024-06-22 20:04:04.339503;0,1848;;512;0,32177985509543505;1,7765379354347017;2631;39710;5613;0,003453346244388464;entmax;23;16;5;5;3;0,2122084920110872
5;2024-06-22 20:16:28.590207;0,1848;;1024;0,18124489737105964;1,2455474407296168;2631;39710;5613;0,014225726192954738;entmax;28;8;1;4;8;0,4440217096851069
6;2024-06-22 20:28:43.192139;0,1863;;512;0,29547333653053126;1,5421626880233745;2631;39710;5613;0,005879517468452601;entmax;57;45;2;3;9;0,41508115434360576
7;2024-06-22 20:56:18.743749;0,1913;;4096;0,6622207495578172;1,2146750820249785;2631;39710;5613;0,48195395876429;sparsemax;8;15;2;5;6;0,6333612206618376
8;2024-06-22 21:06:08.797318;0,1872;;1024;0,5108374592220234;1,9116702202631382;2631;39710;5613;0,0013670511122163122;sparsemax;47;8;5;2;4;0,3059743522521401
9;2024-06-22 21:18:20.356425;0,1875;;4096;0,8081832911433984;1,792038937700578;2631;39710;5613;0,4156083368450571;entmax;11;18;2;1;5;0,2887517318781995
10;2024-06-22 21:24:22.262664;0,1845;;8192;0,9243761861946937;1,0015184652059337;2631;39710;5613;0,10952149905029802;entmax;44;30;1;4;6;0,8873382917993472
11;2024-06-22 21:35:53.925391;0,1851;;512;0,9993264394292803;1,3870665777740752;2631;39710;5613;0,0491860296124183;sparsemax;64;26;4;1;3;0,20650444691372674
12;2024-06-22 21:44:11.765805;0,185;;512;0,6840485274745062;1,6224652861354152;2631;39710;5613;0,055736402521467276;sparsemax;37;62;4;2;5;0,2782410159391173
13;2024-06-22 21:59:27.973019;0,185;;512;0,5054897006665539;1,3844009251603997;2631;39710;5613;0,012893967172711568;sparsemax;22;11;3;1;10;0,24524029041771792
14;2024-06-22 22:19:22.476933;0,1847;;2048;0,7948988565067232;1,6332751208966778;2631;39710;5613;0,17673396085486312;entmax;36;23;5;4;4;0,34785785529939683
15;2024-06-22 22:27:23.440278;0,1861;;8192;0,9920061440007397;1,3879759178184885;2631;39710;5613;0,027564588710712632;sparsemax;49;12;1;2;7;0,24781840698414298
