match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2546;0,2901;0,4552
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2844;0,4685;0,2471
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,2851;0,3755;0,3394
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1433;0,8147;0,042
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2734;0,3845;0,3421
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,274;0,3486;0,3774
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2639;0,3326;0,4034
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2922;0,4533;0,2546
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,2763;0,3274;0,3963
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0855;0,8702;0,0443
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2952;0,4352;0,2696
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,245;0,5997;0,1553
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2917;0,4589;0,2494
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2836;0,4103;0,3062
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2245;0,6125;0,1629
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,2693;0,3434;0,3874
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2908;0,4323;0,2769
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2818;0,4467;0,2715
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2889;0,4318;0,2793
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1929;0,1679;0,6392
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1989;0,7009;0,1002
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2278;0,2474;0,5248
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2746;0,528;0,1974
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2839;0,4543;0,2618
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2713;0,5165;0,2122
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;2;0,2868;0,3528;0,3603
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2764;0,4676;0,256
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2778;0,4767;0,2455
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2936;0,3989;0,3075
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1564;0,7798;0,0637
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,28;0,4963;0,2237
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2478;0,51;0,2422
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2575;0,515;0,2275
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2713;0,3697;0,359
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2464;0,5897;0,1638
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2159;0,2029;0,5812
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2287;0,6474;0,1239
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2417;0,5859;0,1724
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1683;0,7463;0,0854
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2738;0,3473;0,3788
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1498;0,7939;0,0563
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,2473;0,4494;0,3033
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2552;0,5636;0,1811
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2425;0,5844;0,1731
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2708;0,4933;0,236
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,289;0,4602;0,2508
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1897;0,1633;0,647
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2947;0,4348;0,2704
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2278;0,6209;0,1513
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2851;0,4935;0,2214
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,287;0,426;0,287
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2787;0,4865;0,2349
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2794;0,4732;0,2474
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2816;0,4459;0,2725
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,2657;0,5554;0,1789
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,228;0,6106;0,1614
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2772;0,535;0,1878
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,282;0,429;0,289
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,256;0,3287;0,4154
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;1;0,2917;0,4012;0,307
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2952;0,4377;0,2671
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,28;0,4927;0,2273
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2726;0,5292;0,1983
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2546;0,587;0,1584
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,2815;0,4425;0,276
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,2905;0,4224;0,2871
45188;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,284;0,4943;0,2216
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1799;0,7396;0,0805
45190;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,2845;0,4814;0,2341
57614;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,2817;0,3696;0,3487
57612;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,2867;0,4847;0,2286
57613;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,2936;0,4169;0,2895
35088;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,1962;0,6955;0,1083
45191;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,2373;0,2711;0,4916
35087;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,2794;0,4046;0,3159
15990;2020-01-18;T19-20;E0;Arsenal;Sheffield United;1;1;0;1;0,282;0,4903;0,2276
15996;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;2;0,2412;0,2611;0,4977
15989;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;2;0,267;0,3083;0,4247
15991;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;1;0,262;0,5379;0,2001
15992;2020-01-18;T19-20;E0;Man City;Crystal Palace;2;2;0;1;0,182;0,7424;0,0756
35086;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;1;0,2083;0,6945;0,0972
15994;2020-01-18;T19-20;E0;Southampton;Wolves;2;3;2;1;0,2836;0,4579;0,2585
15995;2020-01-18;T19-20;E0;West Ham;Everton;1;1;0;2;0,2815;0,3351;0,3835
15993;2020-01-18;T19-20;E0;Norwich;Bournemouth;1;0;1;1;0,2929;0,4199;0,2872
57620;2020-01-19;T19-20;SP2;Tenerife;Girona;1;0;1;1;0,2845;0,4363;0,2792
57619;2020-01-19;T19-20;SP2;Extremadura;Almeria;1;2;2;2;0,2745;0,3528;0,3727
57618;2020-01-19;T19-20;SP2;Santander;Las Palmas;1;1;0;1;0,2898;0,4354;0,2749
57617;2020-01-19;T19-20;SP2;Oviedo;Huesca;1;1;0;2;0,2715;0,344;0,3846
57616;2020-01-19;T19-20;SP2;La Coruna;Cadiz;1;0;1;1;0,2769;0,451;0,2721
57615;2020-01-19;T19-20;SP2;Elche;Alcorcon;1;1;0;1;0,2972;0,4443;0,2585
45196;2020-01-19;T19-20;SP1;Barcelona;Granada;1;0;1;1;0,1271;0,82;0,0529
45194;2020-01-19;T19-20;SP1;Villarreal;Espanol;1;2;2;1;0,2379;0,5926;0,1695
45193;2020-01-19;T19-20;SP1;Betis;Sociedad;3;0;1;1;0,2842;0,4336;0,2821
35094;2020-01-19;T19-20;I1;Juventus;Parma;2;1;1;1;0,1221;0,8439;0,0341
35092;2020-01-19;T19-20;I1;Lecce;Inter;1;1;0;2;0,2114;0,218;0,5706
35091;2020-01-19;T19-20;I1;Brescia;Cagliari;2;2;0;1;0,2884;0,4446;0,267
35090;2020-01-19;T19-20;I1;Bologna;Verona;1;1;0;1;0,2547;0,5637;0,1816
35089;2020-01-19;T19-20;I1;Milan;Udinese;3;2;1;1;0,2207;0,6498;0,1295
15998;2020-01-19;T19-20;E0;Liverpool;Man United;2;0;1;1;0,1264;0,7844;0,0892
15997;2020-01-19;T19-20;E0;Burnley;Leicester;2;1;1;2;0,2369;0,261;0,5021
45192;2020-01-19;T19-20;SP1;Mallorca;Valencia;4;1;1;2;0,2461;0,2883;0,4656
35093;2020-01-19;T19-20;I1;Genoa;Roma;1;3;2;2;0,2167;0,2231;0,5602
35095;2020-01-20;T19-20;I1;Atalanta;Spal;1;2;2;1;0,157;0,7802;0,0628
16002;2020-01-21;T19-20;E0;Everton;Newcastle;2;2;0;1;0,2463;0,579;0,1747
16004;2020-01-21;T19-20;E0;Chelsea;Arsenal;2;2;0;1;0,2148;0,6586;0,1265
16003;2020-01-21;T19-20;E0;Sheffield United;Man City;0;1;2;2;0,2161;0,1893;0,5947
16001;2020-01-21;T19-20;E0;Crystal Palace;Southampton;0;2;2;1;0,2914;0,4634;0,2451
15999;2020-01-21;T19-20;E0;Aston Villa;Watford;2;1;1;1;0,2958;0,424;0,2802
16000;2020-01-21;T19-20;E0;Bournemouth;Brighton;3;1;1;1;0,2967;0,41;0,2934
16005;2020-01-22;T19-20;E0;Leicester;West Ham;4;1;1;1;0,2224;0,657;0,1206
16006;2020-01-22;T19-20;E0;Tottenham;Norwich;2;1;1;1;0,1915;0,7074;0,1011
16007;2020-01-22;T19-20;E0;Man United;Burnley;0;2;2;1;0,178;0,7231;0,099
16008;2020-01-23;T19-20;E0;Wolves;Liverpool;1;2;2;2;0,2166;0,1962;0,5872
35096;2020-01-24;T19-20;I1;Brescia;Milan;0;1;2;2;0,2564;0,2893;0,4543
45197;2020-01-24;T19-20;SP1;Osasuna;Levante;2;0;1;1;0,2828;0,4721;0,2452
57621;2020-01-24;T19-20;SP2;Cadiz;Santander;1;0;1;1;0,2527;0,6;0,1474
57625;2020-01-25;T19-20;SP2;Zaragoza;Numancia;1;0;1;1;0,2706;0,5503;0,1791
57624;2020-01-25;T19-20;SP2;Las Palmas;Tenerife;0;0;0;1;0,2879;0,4928;0,2193
57623;2020-01-25;T19-20;SP2;Sp Gijon;Fuenlabrada;1;0;1;1;0,2837;0,4686;0,2477
57622;2020-01-25;T19-20;SP2;Huesca;Lugo;2;1;1;1;0,2249;0,6386;0,1365
45201;2020-01-25;T19-20;SP1;Sevilla;Granada;2;0;1;1;0,1912;0,7023;0,1064
45199;2020-01-25;T19-20;SP1;Valencia;Barcelona;2;0;1;2;0,2282;0,237;0,5347
45198;2020-01-25;T19-20;SP1;Espanol;Ath Bilbao;1;1;0;1;0,2879;0,4165;0,2956
35099;2020-01-25;T19-20;I1;Torino;Atalanta;0;7;2;2;0,2416;0,2731;0,4853
35098;2020-01-25;T19-20;I1;Fiorentina;Genoa;0;0;0;1;0,2677;0,5403;0,192
35097;2020-01-25;T19-20;I1;Spal;Bologna;1;3;2;1;0,2831;0,4249;0,2921
45200;2020-01-25;T19-20;SP1;Alaves;Villarreal;1;2;2;1;0,2828;0,366;0,3511
45205;2020-01-26;T19-20;SP1;Sociedad;Mallorca;3;0;1;1;0,2771;0,5256;0,1973
57631;2020-01-26;T19-20;SP2;Girona;Oviedo;1;1;0;1;0,2639;0,5508;0,1853
57629;2020-01-26;T19-20;SP2;Alcorcon;Ponferradina;3;1;1;1;0,288;0,4678;0,2442
57628;2020-01-26;T19-20;SP2;Almeria;Elche;0;2;2;1;0,2575;0,5786;0,1639
57627;2020-01-26;T19-20;SP2;Albacete;La Coruna;0;1;2;1;0,2976;0,4226;0,2798
57626;2020-01-26;T19-20;SP2;Malaga;Mirandes;2;2;0;1;0,2819;0,4677;0,2505
45206;2020-01-26;T19-20;SP1;Valladolid;Real Madrid;0;1;2;2;0,2136;0,2146;0,5718
45204;2020-01-26;T19-20;SP1;Getafe;Betis;1;0;1;1;0,2865;0,477;0,2365
57630;2020-01-26;T19-20;SP2;Vallecano;Extremadura;1;1;0;1;0,245;0,594;0,161
45202;2020-01-26;T19-20;SP1;Ath Madrid;Leganes;0;0;0;1;0,1768;0,7292;0,0939
35105;2020-01-26;T19-20;I1;Napoli;Juventus;2;1;1;1;0,2404;0,4167;0,3428
35104;2020-01-26;T19-20;I1;Roma;Lazio;1;1;0;1;0,234;0,5599;0,2062
35103;2020-01-26;T19-20;I1;Verona;Lecce;3;0;1;1;0,258;0,5593;0,1827
35102;2020-01-26;T19-20;I1;Sampdoria;Sassuolo;0;0;0;1;0,2609;0,5287;0,2104
35101;2020-01-26;T19-20;I1;Parma;Udinese;2;0;1;1;0,2915;0,4706;0,2379
45203;2020-01-26;T19-20;SP1;Celta;Eibar;0;0;0;1;0,2925;0,4317;0,2758
35100;2020-01-26;T19-20;I1;Inter;Cagliari;1;1;0;1;0,1719;0,7669;0,0613
16009;2020-01-29;T19-20;E0;West Ham;Liverpool;0;2;2;2;0,2;0,1699;0,6301
5985;2020-01-31;T19-20;D1;Hertha;Schalke 04;0;0;0;2;0,2868;0,3516;0,3617
