version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-06-25 07:18:49.543374;0,1849;;2048;0,4222343126002975;0,9739807489906398;1,1827526447379684;0,09082948049175814;2195;17369;5099;0,010387805752185625;sparsemax;15;11;5;2;7;0,28430285780041975
1;2024-06-25 07:32:23.512499;0,1849;;2048;0,2263297586555067;0,9341848631411388;1,375856892601193;0,05397968923322837;2195;17369;5099;0,012952064934689337;sparsemax;14;52;4;5;9;0,3346586114941297
2;2024-06-25 07:49:34.388213;0,1861;;4096;0,37155558231606295;0,3650615530218233;1,95881242903507;0,07519545663866369;2195;17369;5099;0,3215582954087594;sparsemax;10;57;5;3;6;0,6503833946000276
3;2024-06-25 08:03:16.890903;0,1855;;2048;0,4314502374095918;0,408311477294484;1,5994635395249959;0,0613260979037153;2195;17369;5099;0,006695104042339781;entmax;42;61;4;3;3;0,30584894400856444
4;2024-06-25 08:10:45.363362;0,1934;;8192;0,42268154064136454;0,28891859677042975;1,725686602828923;0,017663026384220133;2195;17369;5099;0,0075192956709988846;entmax;28;22;1;1;8;0,6741873556762917
5;2024-06-25 08:21:07.315546;0,1852;;512;0,38414173879577235;0,8845209791797063;1,7563465569082657;0,08577903165513336;2195;17369;5099;0,004628180851770352;entmax;54;45;3;2;3;0,7488741455081919
6;2024-06-25 08:26:44.464634;0,1854;;4096;0,897352530241208;0,8203825498810811;1,3053576594646545;0,07639082089104032;2195;17369;5099;0,005878952735513552;entmax;47;38;4;2;4;0,5925982018665095
7;2024-06-25 08:35:49.073677;0,1856;;1024;0,6269959575120081;0,7933248691137276;1,704979382355301;0,053837895459458954;2195;17369;5099;0,008274913541828133;entmax;28;9;3;2;10;0,530940068110123
8;2024-06-25 08:52:01.094859;0,1834;;1024;0,19954511930530316;0,5325100929111194;1,118633679501414;0,07333196695577067;2195;17369;5099;0,05791087481560205;sparsemax;9;13;3;2;9;0,49523077674226124
9;2024-06-25 09:04:15.163456;0,1859;;1024;0,2529472793447206;0,8479686005643527;1,0216820173810621;0,03988362596147902;2195;17369;5099;0,0025635912435048236;sparsemax;14;9;3;3;10;0,3936102533239062
10;2024-06-25 09:24:29.678870;0,1838;;1024;0,0813699033266497;0,1341871762661166;1,0060535468853913;0,09899988460600709;2195;17369;5099;0,07670166292509041;sparsemax;8;15;1;5;6;0,20756356245284632
11;2024-06-25 09:35:31.963278;0,1838;;1024;0,07914370826538372;0,15197286038493096;1,0108877602192365;0,0976912318436417;2195;17369;5099;0,08487293525929533;sparsemax;8;15;1;5;6;0,20200550977829912
12;2024-06-25 09:42:53.290942;0,1842;;1024;0,08914252096904791;0,5948398676521394;1,1325617642536545;0,09798518696341461;2195;17369;5099;0,07027947169751961;sparsemax;8;15;2;4;5;0,4796603012120145
13;2024-06-25 09:50:38.031930;0,1843;;1024;0,052138235982558886;0,10582028397734083;1,1286449008825763;0,07707517215384163;2195;17369;5099;0,034510427952250504;sparsemax;11;20;2;4;8;0,8952497557387475
14;2024-06-25 10:03:36.200800;0,1904;;8192;0,2263192031375072;0,5954512778003367;1,2128068939290026;0,09952959165538643;2195;17369;5099;0,36046960716875953;sparsemax;8;13;2;1;7;0,4287610769588162
15;2024-06-25 10:10:06.027861;0,1877;;512;0,17075065521498556;0,4749022611799122;1,0011243316731149;0,06755525480693399;2195;17369;5099;0,001254437487071403;sparsemax;18;8;1;4;5;0,20810790244497235
16;2024-06-25 10:19:54.691726;0,1897;;1024;0,2863836369523127;0,20506797813284633;1,0917072310934948;0,08322547787006473;2195;17369;5099;0,8820721741028223;sparsemax;11;20;2;5;8;0,2470929202468054
17;2024-06-25 10:35:25.837380;0,1833;;1024;0,14325727469945654;0,2597276489924339;1,2487708442932397;0,08756090302114904;2195;17369;5099;0,025440892403368845;sparsemax;10;11;1;4;9;0,36906468730311354
18;2024-06-25 10:48:36.263715;0,1837;;1024;0,5669464328855894;0,2702039086442441;1,2618634041188388;0,07115452094473391;2195;17369;5099;0,01728959635173822;sparsemax;20;11;3;4;9;0,3861264165717866
19;2024-06-25 11:05:15.795181;0,1835;;512;0,3338399925251637;0,6823683884194527;1,371055280338947;0,08403949282746925;2195;17369;5099;0,02783533630755473;sparsemax;11;11;2;1;9;0,46914112031029515
20;2024-06-25 11:18:01.259750;0,1843;;4096;0,17541470102648765;0,4651301422488448;1,456796953998233;0,06262764316278158;2195;17369;5099;0,039892304758299885;sparsemax;17;8;4;3;10;0,34155717993433315
21;2024-06-25 11:33:43.380044;0,1848;;512;0,282711194853711;0,6677293099957078;1,318669901598466;0,08520360670334191;2195;17369;5099;0,02310131101178766;sparsemax;11;11;2;1;9;0,46821977161077255
22;2024-06-25 11:41:40.459449;0,184;;512;0,17457683071663294;0,7149852620369147;1,4291267087446968;0,08729008611241836;2195;17369;5099;0,024560495309620393;sparsemax;10;12;2;1;9;0,5277997797583193
23;2024-06-25 11:51:12.547145;0,1853;;512;0,32723445918555544;0,5247316212916278;1,2336431607044307;0,0801747314323353;2195;17369;5099;0,05112441913942678;sparsemax;13;10;1;2;8;0,42680661130430886
24;2024-06-25 11:59:02.193493;0,1869;;8192;0,32529312164584206;0,7057090027784245;1,3412816936217289;0,06795867567171399;2195;17369;5099;0,020447380067700083;sparsemax;9;13;3;1;10;0,37620122912586723
25;2024-06-25 12:11:12.863339;0,1847;;512;0,1761669990179068;0,5440687700363853;1,2601419528110527;0,08931817574204956;2195;17369;5099;0,038983574743750915;sparsemax;12;9;2;2;9;0,5023228539666172
26;2024-06-25 12:23:36.123710;0,1848;;1024;0,12116351925021976;0,36569714773609585;1,1879378202764785;0,07946155382821361;2195;17369;5099;0,12180356103649274;entmax;9;8;1;3;7;0,4435932254136619
27;2024-06-25 12:30:12.090188;0,184;;1024;0,1333835414698739;0,7637744937172792;1,4866623574918334;0,08958039879126792;2195;17369;5099;0,013859226616412998;sparsemax;12;16;3;1;8;0,5748236466924165
28;2024-06-25 12:41:16.493533;0,1853;;512;0,215507244751936;0,641332847978395;1,3811579558211968;0,07208138329806499;2195;17369;5099;0,02834165787985017;sparsemax;16;10;2;4;9;0,4686327622295408
29;2024-06-25 12:55:20.484621;0,1851;;2048;0,4520135965405873;0,9779166409007038;1,1544073019210084;0,09176986960440175;2195;17369;5099;0,012049446397468657;sparsemax;15;12;5;2;7;0,40508085544025707
30;2024-06-25 13:06:13.118991;0,1857;;4096;0,3171279513164321;0,5973633837357801;1,084169845529093;0,09234539265031795;2195;17369;5099;0,1257677514365221;sparsemax;13;17;1;2;10;0,35751008423865455
31;2024-06-25 13:16:51.808922;0,1851;;1024;0,5433819448492725;0,28944224656063267;1,254671445966641;0,08171131364747979;2195;17369;5099;0,016644326279541218;sparsemax;19;11;3;4;9;0,39858203874181164
32;2024-06-25 13:35:45.888535;0,184;;1024;0,5428942863528657;0,2483812091691233;1,284619791554119;0,07313824599737398;2195;17369;5099;0,018168263027272244;sparsemax;20;13;3;4;9;0,33097110255728784
33;2024-06-25 13:53:45.290209;0,1841;;1024;0,2409454034137037;0,18661375424467327;1,2039361321309863;0,07048252325633797;2195;17369;5099;0,010891049195979845;sparsemax;15;10;4;3;8;0,3801922176694341
34;2024-06-25 14:09:18.837875;0,1851;;2048;0,4868698068396743;0,35262021663511933;1,3389323935026494;0,06225530735854595;2195;17369;5099;0,05384856178661198;sparsemax;10;12;3;3;9;0,30262120479255766
35;2024-06-25 14:24:12.773990;0,1836;;1024;0,3499983037671197;0,4360415730752528;1,2326354644900432;0,07633963483588413;2195;17369;5099;0,029971852270015892;sparsemax;24;14;4;5;10;0,4430829409312676
36;2024-06-25 14:45:38.027253;0,1862;;8192;0,365019445714625;0,4529741220037413;1,1673166505623938;0,08056491845027655;2195;17369;5099;0,029876898136058146;entmax;24;14;5;5;10;0,4620820058815291
37;2024-06-25 15:05:06.901613;0,1863;;2048;0,3729680003402506;0,4286991541201224;1,3824807217971098;0,07643214712424123;2195;17369;5099;0,04618892574615314;sparsemax;9;17;4;5;10;0,4181546136860571
38;2024-06-25 15:20:25.670717;0,1849;;1024;0,273901026679234;0,5125359982244214;1,2089088455156007;0,08469950428976675;2195;17369;5099;0,02622948782313091;entmax;23;26;4;5;8;0,5125950115709735
39;2024-06-25 15:37:36.099580;0,1873;;4096;0,4136535609177563;0,3892352145703563;1,288735000679696;0,056740647351059506;2195;17369;5099;0,008961952528404312;sparsemax;27;14;5;2;10;0,5828000390678548
40;2024-06-25 15:55:49.357153;0,1839;;512;0,21663794671772346;0,33391028461736266;1,493771993542918;0,07618248251086389;2195;17369;5099;0,015185245994592436;entmax;36;18;4;1;9;0,5472893021953003
41;2024-06-25 16:11:21.487182;0,1843;;1024;0,5862302198936927;0,3084856008868767;1,2553150152227326;0,06560349050597353;2195;17369;5099;0,01849503591389604;sparsemax;22;11;3;4;9;0,3642105610341352
42;2024-06-25 16:27:45.986140;0,1842;;1024;0,6687519469177985;0,39442286606167504;1,2359370595308727;0,07401735247676368;2195;17369;5099;0,03201052101712286;sparsemax;20;10;3;4;10;0,4411379744271783
43;2024-06-25 16:49:10.334790;0,1846;;1024;0,48860255271685626;0,23522730885300147;1,2983516062961178;0,09453695085568647;2195;17369;5099;0,011661405604209299;sparsemax;34;12;3;3;9;0,497099627858942
44;2024-06-25 17:04:53.927752;0,1875;;1024;0,34884046750084097;0,2599315911783064;1,3368983072954297;0,08582455151614647;2195;17369;5099;0,006689670598315043;sparsemax;17;9;2;5;8;0,41089349699302713
45;2024-06-25 17:18:02.135132;0,1843;;1024;0,3932634127596428;0,41844157387986514;1,1784619010314217;0,06968956698692788;2195;17369;5099;0,056679194854038176;sparsemax;14;14;4;4;10;0,3900031487631383
46;2024-06-25 17:31:03.511179;0,1857;;1024;0,28597546842735355;0,30858124850455537;1,1235110120563105;0,05854883332988234;2195;17369;5099;0,004649214292853468;sparsemax;25;11;1;5;4;0,4465415393510603
47;2024-06-25 17:40:15.375281;0,1847;;1024;0,4176156512639466;0,47668661707078935;1,2842639617464793;0,09391450500990042;2195;17369;5099;0,03419989822134899;sparsemax;31;15;3;3;9;0,6464882019676669
48;2024-06-25 17:53:38.807255;0,185;;8192;0,1190016023559244;0,35153833799408346;1,2251419140885969;0,07822190250684874;2195;17369;5099;0,02216649082884505;entmax;58;9;2;4;8;0,48070719574240844
49;2024-06-25 18:09:39.474601;0,1842;;1024;0,05040731671233557;0,5627226533354146;1,0539731353696338;0,05153131782231997;2195;17369;5099;0,009492663505601703;sparsemax;21;13;2;5;7;0,3536839121697549
50;2024-06-25 18:21:47.562512;0,1865;;2048;0,2508423398882091;0,19878505380025152;1,1364901789733732;0,08347720375354861;2195;17369;5099;0,06866085781169053;sparsemax;9;24;4;1;10;0,31478783292510604
51;2024-06-25 18:34:35.436865;0,1841;;1024;0,10935514755010019;0,10549212699303996;1,0850261228152993;0,0997119756787855;2195;17369;5099;0,09641428225716155;sparsemax;8;16;1;5;6;0,2695153256050132
52;2024-06-25 18:43:17.088676;0,1835;;1024;0,08562485294994307;0,15395187047813064;1,1749587657947673;0,09574338526365105;2195;17369;5099;0,04141029734623041;sparsemax;8;14;1;5;5;0,22531276631500505
53;2024-06-25 18:53:11.828633;0,1865;;1024;0,08014700691213865;0,1547559613761555;1,1825920685911955;0,08833624105166694;2195;17369;5099;0,0408897167339311;sparsemax;10;14;1;5;5;0,22864805974490354
54;2024-06-25 19:00:08.589297;0,1837;;1024;0,13767880914312908;0,2257419724590824;1,2160849910417517;0,09520861371900488;2195;17369;5099;0,021060818223456772;sparsemax;8;12;1;5;6;0,2750171832971499
55;2024-06-25 19:11:03.574407;0,1838;;512;0,20176795727138647;0,1658279168265802;1,1455456108451603;0,08917010610435284;2195;17369;5099;0,014956379118664867;sparsemax;11;13;1;4;4;0,33143819802884394
56;2024-06-25 19:17:27.627939;0,1855;;4096;0,13968465222049242;0,2762466447728048;1,1110640156350264;0,08192462819466509;2195;17369;5099;0,027479356938799746;sparsemax;10;11;2;5;9;0,5385454106869734
57;2024-06-25 19:29:15.768746;0,1846;;1024;0,18892488903401417;0,21436704095272516;1,1732994902780745;0,0859300683203891;2195;17369;5099;0,040057620555646725;sparsemax;9;10;3;2;5;0,4224772989353603
58;2024-06-25 19:35:49.442913;0,1845;;512;0,16438760138241632;0,2588707193391331;1,2511862679214873;0,07513173682392063;2195;17369;5099;0,05947082481662982;sparsemax;12;15;2;4;8;0,37115973101254324
59;2024-06-25 19:47:11.053602;0,1841;;1024;0,24385901592494105;0,14028876617406477;1,310471877592108;0,09633962037425074;2195;17369;5099;0,03403367240109803;sparsemax;25;19;1;3;3;0,38656686363003073
60;2024-06-25 19:52:14.667865;0,183;;1024;0,08064620290788095;0,49499135265993627;1,2016685929269806;0,07874398156173747;2195;17369;5099;0,024029903806832942;entmax;8;21;1;2;10;0,48686521790471016
61;2024-06-25 20:07:29.240274;0,1844;;1024;0,0865863455490872;0,4932301125567583;1,197943529738638;0,09188330074924288;2195;17369;5099;0,022685125926976475;entmax;8;21;1;2;10;0,49227166318172394
62;2024-06-25 20:19:51.518024;0,1856;;1024;0,16027753901300099;0,44265242567074986;1,1611894884516545;0,07888120980589845;2195;17369;5099;0,0455023762795205;entmax;9;31;1;2;9;0,458225947776459
63;2024-06-25 20:29:35.879500;0,184;;1024;0,06185476969857806;0,5087854671069277;1,267214291729832;0,07225186555246922;2195;17369;5099;0,018454604945917046;entmax;8;18;1;1;10;0,4378068839031871
