match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0,0;2;0,2571;0,2835;0,4594
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0,0;2;0,3026;0,234;0,4634
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1,0;1;0,362;0,3702;0,2678
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2,0;2;0,2143;0,172;0,6137
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1,0;1;0,156;0,7817;0,0623
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1,0;1;0,3555;0,412;0,2326
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1,0;1;0,288;0,5457;0,1663
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2,0;1;0,2819;0,5225;0,1956
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1,0;2;0,3122;0,2402;0,4475
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1,0;1;0,0745;0,8975;0,0279
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0,0;1;0,219;0,6685;0,1124
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0,0;1;0,2653;0,613;0,1217
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0,0;1;0,2857;0,3656;0,3487
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0,0;1;0,3512;0,3664;0,2824
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1,0;1;0,3092;0,4187;0,2722
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0,0;1;0,2503;0,6441;0,1056
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2,0;0;0,3456;0,3098;0,3446
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0,0;1;0,2837;0,5278;0,1885
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0,0;2;0,2895;0,2399;0,4706
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2,0;2;0,3202;0,2724;0,4074
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1,0;1;0,2724;0,5904;0,1372
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0,0;2;0,1715;0,0744;0,7542
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1,0;1;0,2676;0,6067;0,1257
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2,0;1;0,2554;0,5273;0,2172
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0,0;1;0,3154;0,4484;0,2362
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0,0;2;0,3095;0,2923;0,3982
34313;2020-01-05;T19-20;I1;Roma;Torino;0;2;2,0;1;0,2143;0,7219;0,0638
34311;2020-01-05;T19-20;I1;Spal;Verona;0;2;2,0;2;0,2554;0,1813;0,5632
34310;2020-01-05;T19-20;I1;Brescia;Lazio;1;2;2,0;2;0,1559;0,0747;0,7694
56137;2020-01-05;T19-20;SP2;Numancia;La Coruna;0;1;2,0;1;0,3312;0,4664;0,2023
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1,0;1;0,2929;0,4366;0,2705
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0,0;1;0,3241;0,3839;0,292
44315;2020-01-05;T19-20;SP1;Granada;Mallorca;1;0;1,0;1;0,2448;0,6459;0,1094
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1,0;2;0,2891;0,3553;0,3556
34318;2020-01-06;T19-20;I1;Lecce;Udinese;0;1;2,0;1;0,2431;0,4099;0,347
34317;2020-01-06;T19-20;I1;Milan;Sampdoria;0;0;0,0;1;0,2319;0,6631;0,105
34316;2020-01-06;T19-20;I1;Juventus;Cagliari;4;0;1,0;1;0,1142;0,8372;0,0486
34319;2020-01-06;T19-20;I1;Napoli;Inter;1;3;2,0;2;0,2304;0,2921;0,4775
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1,0;1;0,2251;0,6397;0,1352
34314;2020-01-06;T19-20;I1;Bologna;Fiorentina;1;1;0,0;1;0,2972;0,4193;0,2834
56140;2020-01-07;T19-20;SP2;Zaragoza;Sp Gijon;2;0;1,0;1;0,2891;0,5447;0,1662
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1,0;1;0,2615;0,5677;0,1708
26019;2020-01-10;T19-20;F1;Rennes;Marseille;0;1;2,0;1;0,2713;0,4169;0,3118
26022;2020-01-11;T19-20;F1;Angers;Nice;1;1;0,0;1;0,2961;0,4641;0,2397
26021;2020-01-11;T19-20;F1;Amiens;Montpellier;1;2;2,0;1;0,3318;0,3357;0,3325
26023;2020-01-11;T19-20;F1;Metz;Strasbourg;1;0;1,0;1;0,2886;0,5092;0,2022
26024;2020-01-11;T19-20;F1;Nimes;Reims;2;0;1,0;1;0,3268;0,3551;0,3181
26025;2020-01-11;T19-20;F1;Toulouse;Brest;2;5;2,0;2;0,2974;0,1741;0,5285
26020;2020-01-11;T19-20;F1;Bordeaux;Lyon;1;2;2,0;1;0,3034;0,4354;0,2612
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2,0;2;0,2336;0,3201;0,4463
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1,0;1;0,1135;0,8352;0,0513
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0,0;1;0,3192;0,4746;0,2062
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1,0;1;0,2196;0,6437;0,1366
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0,0;2;0,2307;0,3692;0,4001
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1,0;1;0,2878;0,5001;0,2121
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2,0;1;0,2326;0,6327;0,1347
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0,0;1;0,2576;0,5755;0,1669
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1,0;1;0,2665;0,5609;0,1726
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2,0;2;0,1585;0,1138;0,7276
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2,0;1;0,3101;0,4859;0,204
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2,0;2;0,2326;0,1512;0,6162
26027;2020-01-12;T19-20;F1;Dijon;Lille;1;0;1,0;2;0,2781;0,3259;0,396
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1,0;1;0,3114;0,4319;0,2566
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1,0;1;0,2607;0,5746;0,1647
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1,0;1;0,309;0,4077;0,2833
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1,0;1;0,3052;0,5962;0,0986
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1,0;1;0,207;0,7302;0,0628
26026;2020-01-12;T19-20;F1;St Etienne;Nantes;0;2;2,0;1;0,3592;0,3777;0,2631
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2,0;2;0,3021;0,3197;0,3782
26028;2020-01-12;T19-20;F1;Paris SG;Monaco;3;3;0,0;1;0,1287;0,8079;0,0634
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1,0;1;0,2145;0,7009;0,0846
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2,0;1;0,3127;0,3877;0,2997
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1,0;0;0,3541;0,3301;0,3158
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1,0;0;0,3857;0,321;0,2933
56141;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0,0;1;0,3339;0,3958;0,2703
