datetime;validation;test;activation;b1;b2;batch_size;factor_flag;learning_rate;method;mode;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;num_hidden_layers;optim;scaler
2023-12-20 06:01:20.854201;0,459285706281662;;relu;;;32;True;0,01634429352640202;pca;dropout;16;17,0;7,0;23,0;30,0;5;sgd;maxabs
2023-12-20 06:05:11.421745;0,459285706281662;;relu;;;16;False;0,17139545336964482;pca;dropout;18;18,0;;;;2;sgd;minmax
2023-12-20 06:12:07.801849;0,25482141971588135;;leaky_relu;0,7152635642846003;0,8540829918766737;16;True;0,45302595827427133;pca;batchnorm;17;;;;;1;adam;maxabs
2023-12-20 06:18:22.660013;0,46785715222358704;;selu;0,7014868701794987;0,389889424221248;32;False;0,01215349589657677;;dropout;4;17,0;;;;2;adam;maxabs
2023-12-20 06:21:39.599226;0,459285706281662;;selu;0,9415525747881575;0,5069318837394562;32;True;0,06161384859724153;;batchnorm;8;25,0;29,0;11,0;;4;adam;maxabs
2023-12-20 06:27:32.285687;0,4609375;;relu;;;128;False;0,008086439286155264;;vanilla;23;29,0;22,0;;;3;sgd;minmax
2023-12-20 06:28:30.221299;0,4594109058380127;;relu;;;64;False;0,0051277850795651446;;dropout;8;22,0;;;;2;sgd;maxabs
2023-12-20 06:30:13.555654;0,4594109058380127;;leaky_relu;0,23094606817837554;0,6691917359306981;64;False;0,919039536876552;;batchnorm;15;14,0;10,0;;;3;adam;minmax
2023-12-20 06:32:30.610729;0,5256824493408203;;leaky_relu;0,3134782033359314;0,0769062110087067;64;False;0,07014284406364321;anova;vanilla;14;9,0;19,0;13,0;12,0;5;adam;maxabs
2023-12-20 06:34:29.754574;0,25482141971588135;;selu;;;16;True;0,21076240870884455;anova;batchnorm;7;15,0;4,0;25,0;12,0;5;sgd;maxabs
2023-12-20 06:41:38.799277;0,519903302192688;;leaky_relu;0,04555285285649552;0,01495658494881652;256;False;0,0017815232515158348;anova;vanilla;30;4,0;17,0;3,0;;4;adam;normalizer
2023-12-20 06:42:28.839149;0,519159197807312;;leaky_relu;0,021747720049238226;0,02218366502485717;256;False;0,0012225150416584616;anova;vanilla;29;4,0;18,0;3,0;;4;adam;normalizer
2023-12-20 06:43:13.525386;0,5241815447807312;;leaky_relu;0,30354283989205055;0,031180391630575566;256;False;0,05051887517270509;anova;vanilla;28;4,0;15,0;3,0;;4;adam;normalizer
2023-12-20 06:43:55.025362;0,5276580452919006;;leaky_relu;0,35771973264895046;0,1945576502783073;64;False;0,05373896683993747;anova;vanilla;23;9,0;12,0;15,0;5,0;5;adam;normalizer
2023-12-20 06:45:50.566958;0,5249640941619873;;leaky_relu;0,40560321883423245;0,2532326862670493;64;False;0,03649101261310332;anova;vanilla;22;11,0;12,0;15,0;3,0;5;adam;normalizer
