match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;2;0,2474;0,3026;0,45
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,302;0,4431;0,255
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,275;0,3305;0,3945
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,1584;0,7515;0,0901
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3046;0,3721;0,3232
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;2;0,2542;0,3152;0,4306
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2419;0,3291;0,4289
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2547;0,4879;0,2574
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,2885;0,3603;0,3512
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,1603;0,7697;0,0699
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2431;0,4627;0,2942
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2771;0,5292;0,1937
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2669;0,502;0,2311
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,3081;0,3238;0,3681
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2474;0,5581;0,1944
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2782;0,3681;0,3537
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,3171;0,4004;0,2825
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,3099;0,3758;0,3142
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,235;0,4651;0,2999
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,1577;0,1408;0,7016
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,257;0,6385;0,1045
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,2115;0,2191;0,5694
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2504;0,5461;0,2034
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2715;0,4057;0,3228
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2609;0,4545;0,2846
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2727;0,4165;0,3108
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3001;0,415;0,2848
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3074;0,4479;0,2447
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;0;0,3639;0,3619;0,2742
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1736;0,7343;0,0922
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2885;0,4237;0,2878
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,1985;0,5224;0,2791
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2446;0,4504;0,3049
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,3204;0,3265;0,3531
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2438;0,2815;0,4747
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2974;0,5104;0,1922
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2526;0,5885;0,1589
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2715;0,5196;0,2089
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2499;0,6412;0,1089
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2653;0,3485;0,3863
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,2109;0,6926;0,0965
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,256;0,5331;0,2109
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,2701;0,4429;0,287
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,1523;0,1552;0,6925
