version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
0;2024-01-16 06:51:37.685041;0,5274245587397989;;8192;0,8687887790532964;1,424724422905823;2631;17667;5269;0,014975755736864799;entmax;12;16;2;3;5;0,3952471960578958
1;2024-01-16 07:02:32.544744;0,5260960334029228;;4096;0,9360565251938135;1,2855264475800272;2631;17667;5269;0,018565456508882847;entmax;9;8;5;4;4;0,2523953449777378
2;2024-01-16 07:10:31.488698;0,5200227747200608;;512;0,7684337756834017;1,4342211531770985;2631;17667;5269;0,0026409312049046276;entmax;24;11;1;2;10;0,3138228296803809
3;2024-01-16 07:32:29.166987;0,5274245587397989;;512;0,2104393257402249;1,4847266032552422;2631;17667;5269;0,03629897683536112;entmax;36;53;2;2;7;0,4909686508206722
4;2024-01-16 07:51:55.355058;0,5185044600493453;;512;0,34293482623960453;1,440766310500586;2631;17667;5269;0,013666619619198309;entmax;17;10;3;1;9;0,40199187286624155
5;2024-01-16 08:03:13.922417;0,5173657240463087;;8192;0,29252268821936644;1,1098478691844014;2631;17667;5269;0,006237037259094168;sparsemax;9;14;4;3;3;0,5496787873564374
6;2024-01-16 08:08:39.268336;0,525336876067565;;1024;0,8029277605770299;1,1639984150469138;2631;17667;5269;0,0048040589550569545;sparsemax;33;39;1;3;10;0,29056511945515817
7;2024-01-16 08:27:27.966121;0,5304611880812299;;4096;0,5537432519253338;1,2251793144274967;2631;17667;5269;0,014613593060509513;entmax;12;10;5;1;6;0,3885080123648888
8;2024-01-16 08:39:46.722592;0,44220914784589105;;8192;0,7465478960352637;1,108586228694558;2631;17667;5269;0,0012335601403276454;sparsemax;50;52;2;2;10;0,5254713833085097
9;2024-01-16 09:17:08.925650;0,48794837730119567;;2048;0,16712178694926855;1,3947778485605706;2631;17667;5269;0,5998255877680102;sparsemax;10;49;4;5;9;0,5991396657344389
10;2024-01-16 09:26:49.748218;0,5042702600113873;;4096;0,5247336492266457;1,809460967125704;2631;17667;5269;0,07251109269060259;entmax;16;24;5;1;6;0,8003436280615586
11;2024-01-16 09:32:03.998215;0,5221104573922946;;8192;0,5561554989528316;1,018802913817696;2631;17667;5269;0,06483927590735421;entmax;13;17;3;5;6;0,37541213357114855
12;2024-01-16 09:46:27.107206;0,5247675080660467;;4096;0,9989733086775323;1,623276419184003;2631;17667;5269;0,011170764394468246;entmax;12;20;2;4;5;0,35435024000347387
13;2024-01-16 09:57:17.513186;0,528373505408996;;2048;0,6052667444744999;1,278197007088128;2631;17667;5269;0,03418844287544502;entmax;8;14;4;1;7;0,24924674803279895
14;2024-01-16 10:09:36.144016;0,520592142721579;;2048;0,609579721529857;1,2800230932874486;2631;17667;5269;0,14728841325748487;entmax;8;8;4;1;7;0,2131247046169571
15;2024-01-16 10:20:41.077480;0,5255266654014045;;2048;0,447672834836476;1,2573120857487248;2631;17667;5269;0,03187918254425982;entmax;8;12;5;1;8;0,21125044625211756
16;2024-01-16 10:30:12.653727;0,5073068893528184;;1024;0,6670232126456543;1,2036763648644218;2631;17667;5269;0,1793506044228724;entmax;17;12;4;2;8;0,26452732901170917
17;2024-01-16 10:43:20.084901;0,5276143480736383;;2048;0,4464083105391774;1,0002332242830734;2631;17667;5269;0,0060116922336131565;entmax;11;25;5;1;5;0,322592270079195
18;2024-01-16 10:55:36.920321;0,5262858227367622;;4096;0,6549046574906306;1,3058385689587564;2631;17667;5269;0,029622782472894564;sparsemax;8;9;3;2;7;0,24252046718744294
19;2024-01-16 11:03:24.653562;0,46612260390966026;;2048;0,6941355803221191;1,9408431348444557;2631;17667;5269;0,0011073206945317218;entmax;14;14;4;1;8;0,43456169544344336
20;2024-01-16 11:30:24.884487;0,5230594040614918;;4096;0,5620484173552044;1,183330259235847;2631;17667;5269;0,01025446219135328;entmax;10;10;5;4;6;0,29055149304633315
21;2024-01-16 11:44:38.410462;0,5260960334029228;;2048;0,45664879907354866;1,0018305613956104;2631;17667;5269;0,005540655796379105;entmax;11;26;5;1;5;0,32351909884014646
22;2024-01-16 11:58:00.027483;0,5262858227367622;;2048;0,45753422389750814;1,0760796541190396;2631;17667;5269;0,0028936030986323642;entmax;11;29;5;1;4;0,34620378913441036
23;2024-01-16 12:07:58.153153;0,5262858227367622;;2048;0,3716473434411247;1,0391721686687725;2631;17667;5269;0,008331867709970246;entmax;14;18;4;2;4;0,30361919734832404
24;2024-01-16 12:16:38.725247;0,5266654014044411;;2048;0,577887208929053;1,0802161415310125;2631;17667;5269;0,021187106831116524;entmax;9;20;5;1;5;0,3462542262887843
25;2024-01-16 12:28:39.799441;0,5198329853862212;;4096;0,5111788021520197;1,1429484824367575;2631;17667;5269;0,0036955915465893417;entmax;21;14;4;2;6;0,2700848017167444
26;2024-01-16 12:41:28.704739;0,5139495160371987;;1024;0,6393549031551123;1,1706303976633379;2631;17667;5269;0,007805688754314784;sparsemax;10;33;5;1;7;0,22957790697337163
27;2024-01-16 12:52:54.379580;0,5293224520781932;;2048;0,710142926846838;1,2166876341472626;2631;17667;5269;0,019645834510979374;entmax;12;23;3;2;3;0,26687296035420693
28;2024-01-16 12:59:36.377188;0,524008350730689;;2048;0,7246311575505575;1,2388086137667889;2631;17667;5269;0,02317149265114381;entmax;14;21;3;2;3;0,20319020843100813
29;2024-01-16 13:06:44.116891;0,528373505408996;;4096;0,8638904445403393;1,2230425574349066;2631;17667;5269;0,01512727877798444;entmax;12;15;3;3;4;0,2690223940842956
30;2024-01-16 13:16:00.397732;0,5297020307458721;;512;0,616381068477064;1,348064709334014;2631;17667;5269;0,044606174127744626;entmax;8;16;3;2;3;0,2269314716479582
31;2024-01-16 13:22:47.107107;0,5266654014044411;;512;0,61343574357357;1,34499012716862;2631;17667;5269;0,039421084289439155;entmax;8;17;3;2;3;0,23294952396981988
32;2024-01-16 13:26:10.852661;0,5302713987473904;;512;0,6882241379897153;1,3435318343424616;2631;17667;5269;0,01665050554273432;entmax;9;16;3;3;3;0,24588893976603632
33;2024-01-16 13:36:59.280140;0,5281837160751566;;512;0,718910863543259;1,3476059481094647;2631;17667;5269;0,019100727374005144;entmax;9;19;3;3;3;0,232246389137599
34;2024-01-16 13:43:49.711665;0,5291326627443538;;512;0,7715664797060637;1,330131626430309;2631;17667;5269;0,014639485929793531;entmax;10;22;2;4;4;0,27734267412012403
35;2024-01-16 13:54:36.403780;0,5304611880812299;;512;0,6783883016216715;1,246779741655296;2631;17667;5269;0,011807580853094394;entmax;12;16;3;3;3;0,24579331398047213
36;2024-01-16 14:03:54.904505;0,5323590814196242;;512;0,6495404091934339;1,3822860652372724;2631;17667;5269;0,010789404197514531;entmax;9;16;2;3;3;0,20093363087225474
37;2024-01-16 14:10:53.549604;0,5285632947428355;;512;0,8068241568048271;1,4762664635432592;2631;17667;5269;0,01261624754233157;entmax;19;12;1;3;4;0,20620592021318343
38;2024-01-16 14:21:04.848236;0,5279939267413172;;512;0,6745691719664634;1,382223006966714;2631;17667;5269;0,009679113351108616;sparsemax;15;11;2;4;3;0,24910964580673411
39;2024-01-16 14:29:10.050861;0,5278041374074777;;512;0,8545006660560406;1,4351086369064963;2631;17667;5269;0,007488060166331061;entmax;13;18;1;3;4;0,2001923887029173
40;2024-01-16 14:40:43.010552;0,5281837160751566;;512;0,7603959224932365;1,2914664591221967;2631;17667;5269;0,0037424129878359234;sparsemax;16;16;2;3;3;0,2971747244746502
41;2024-01-16 14:46:57.385920;0,5298918200797115;;512;0,6427060118822097;1,3847653702432374;2631;17667;5269;0,014736116328150434;entmax;9;16;3;3;3;0,22229330014951154
42;2024-01-16 14:54:02.553513;0,5243879293983678;;512;0,6643838812295016;1,4054747448790608;2631;17667;5269;0,013311969900908317;entmax;9;13;2;3;3;0,22066449795681675
