match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;0;0,621;0,0952;0,2838
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,1193;0,8634;0,0173
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;0;0,6171;0,0631;0,3198
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,0446;0,9465;0,0089
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2748;0,6196;0,1056
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,1843;0,7696;0,046
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,1976;0,0195;0,783
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;2;0,3666;0,0693;0,5642
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;0;0,4795;0,3874;0,1331
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,033;0,962;0,0049
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;0;0,4828;0,3603;0,1569
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,1215;0,8527;0,0258
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;2;0,3164;0,2955;0,3882
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,3027;0,3709;0,3264
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2494;0,6422;0,1084
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2548;0,5812;0,164
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2299;0,653;0,1171
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,2974;0,3841;0,3184
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,31;0,3553;0,3347
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,2021;0,0432;0,7547
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,205;0,7242;0,0708
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,3179;0,1503;0,5318
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2786;0,5398;0,1816
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2905;0,4677;0,2418
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;2;0,3049;0,2104;0,4847
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,2577;0,5217;0,2206
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2952;0,4869;0,2179
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2863;0,4838;0,2299
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,2819;0,5073;0,2109
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,2008;0,7383;0,0609
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2467;0,6343;0,1191
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2374;0,1795;0,583
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2976;0,3907;0,3117
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2215;0,6692;0,1092
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,1893;0,1014;0,7093
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,1612;0,8019;0,037
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,0006;0,9994;0,0
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,3283;0,3534;0,3183
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2867;0,5052;0,2081
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,1519;0,7383;0,1099
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;2;0,2996;0,1781;0,5222
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,2617;0,5443;0,194
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,2949;0,4708;0,2343
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,1557;0,807;0,0374
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;2;0,3173;0,2303;0,4524
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;2;0,3207;0,2604;0,4189
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,21;0,0721;0,7179
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;2;0,3159;0,2556;0,4285
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,1085;0,8693;0,0221
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,0708;0,9228;0,0064
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2753;0,5012;0,2235
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,27;0,5529;0,1771
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2899;0,5379;0,1722
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2813;0,5392;0,1794
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,1068;0,874;0,0192
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,1843;0,7622;0,0536
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;2;0,1359;0,0139;0,8502
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,1409;0,0187;0,8405
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,3783;0,0408;0,5809
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,1839;0,7614;0,0546
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2326;0,6688;0,0986
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2549;0,6101;0,135
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,0893;0,8968;0,0139
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;2;0,1677;0,0137;0,8185
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,132;0,8267;0,0413
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,2949;0,4797;0,2254
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,315;0,3883;0,2967
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;1;0,104;0,8745;0,0215
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;0;0,5147;0,3301;0,1552
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,1729;0,755;0,0721
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;0;0,4913;0,1353;0,3734
34331;2020-01-18;T19-20;I1;Sassuolo;Torino;2;1;1;1;0,1115;0,8704;0,0181
56153;2020-01-18;T19-20;SP2;Numancia;Sp Gijon;2;0;1;1;0,2148;0,7148;0,0704
15778;2020-01-18;T19-20;E0;Newcastle;Chelsea;1;0;1;1;0,2519;0,6266;0,1215
