match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;0;0,5139;0,2421;0,2439
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,1244;0,8589;0,0167
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;0;0,6307;0,216;0,1532
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2329;0,7463;0,0208
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2491;0,7071;0,0438
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,2356;0,7244;0,04
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2081;0,0677;0,7242
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;0;0,5207;0,1925;0,2868
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,2294;0,7261;0,0444
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,0592;0,9376;0,0032
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;0;0,3902;0,3849;0,2249
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,222;0,7317;0,0463
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;0;0,3683;0,3267;0,305
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2669;0,5167;0,2164
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3592;0,466;0,1747
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,247;0,5048;0,2482
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2762;0,5939;0,1299
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,319;0,495;0,186
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;0;0,3837;0,31;0,3064
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,204;0,065;0,731
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,1936;0,7482;0,0581
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,221;0,1141;0,6649
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,4056;0,4613;0,1331
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;0;0,4058;0,2894;0,3048
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,3386;0,3874;0,2741
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,239;0,5562;0,2048
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3382;0,4221;0,2398
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3327;0,4996;0,1677
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3512;0,4661;0,1827
