features;importance
Points_365D_H;0,22253312402048442
Points_730D_A;0,21043279707643675
Points_1825D_A;0,18042662970592035
ST_30D_H;0,09667379390615373
FTG_30D_A;0,0468227510846781
F_365D_H;0,04611806016687997
FTG_rival_730D_A;0,04422636926954175
Side_30D_A;0,03656356613217287
C_1825D_H;0,025695654906842582
FTG_1825D_A;0,025626983441028345
ST_365D_H;0,013911597662641688
Side_365D_A;0,013805957433015064
FTG_1825D_H;0,009923869491383566
Points_30D_H;0,007868615051861268
Side_15D_H;0,005365360093238399
ST_60D_A;0,002980636211021459
C_180D_A;0,0018389452890156899
FTG_rival_60D_H;0,001764075252235547
F_1825D_H;0,0017584628474389965
F_180D_H;0,0012935263716843195
ST_15D_A;0,0010192029074758038
FTG_180D_A;0,0008692995010562733
FTG_60D_A;0,0007069895206602941
FTG_730D_A;0,0006482944506189259
R_1825D_H;0,0003207871182467418
Points_30D_A;0,00031417725977103905
Points_15D_A;0,00031124413325665144
Y_15D_H;6,0646981983850275e-05
Y_60D_A;3,0502206737621875e-05
Y_180D_A;2,2840810906638636e-05
R_365D_A;1,3999924298828565e-05
ST_1825D_A;1,2968911736771784e-05
Points_1825D_H;1,1326588246970155e-05
ST_1825D_H;7,35767174633779e-06
FTG_15D_H;5,325857266003906e-06
Y_30D_A;4,806618474970204e-06
F_730D_A;4,166326694790007e-06
C_730D_H;3,1086370979163405e-06
Points_365D_A;1,268988976648002e-06
S_60D_A;6,745603372876747e-07
Points_180D_H;1,2384605831091343e-07
Y_730D_A;1,1176467652339383e-07
S_365D_H;0,0
S_30D_H;0,0
S_15D_A;0,0
Y_365D_A;0,0
ST_15D_H;0,0
S_1825D_A;0,0
Y_730D_H;0,0
S_1825D_H;0,0
S_365D_A;0,0
S_30D_A;0,0
S_60D_H;0,0
S_180D_H;0,0
S_180D_A;0,0
S_730D_A;0,0
S_730D_H;0,0
Y_1825D_H;0,0
ST_60D_H;0,0
Y_365D_H;0,0
ST_30D_A;0,0
Side_365D_H;0,0
Side_180D_A;0,0
Side_180D_H;0,0
Side_730D_A;0,0
Side_60D_A;0,0
Side_1825D_H;0,0
Side_60D_H;0,0
Side_1825D_A;0,0
Side_30D_H;0,0
Side_15D_A;0,0
Y_15D_A;0,0
Y_30D_H;0,0
S_15D_H;0,0
ST_730D_A;0,0
Y_60D_H;0,0
ST_730D_H;0,0
ST_365D_A;0,0
ST_180D_A;0,0
ST_180D_H;0,0
Y_180D_H;0,0
Side_730D_H;0,0
C_15D_H;0,0
R_15D_H;0,0
R_1825D_A;0,0
R_730D_A;0,0
FTG_365D_A;0,0
FTG_365D_H;0,0
FTG_180D_H;0,0
FTG_60D_H;0,0
FTG_30D_H;0,0
FTG_15D_A;0,0
F_1825D_A;0,0
F_730D_H;0,0
F_365D_A;0,0
F_180D_A;0,0
F_60D_A;0,0
F_60D_H;0,0
F_30D_A;0,0
F_30D_H;0,0
F_15D_A;0,0
F_15D_H;0,0
C_1825D_A;0,0
C_730D_A;0,0
C_365D_A;0,0
C_365D_H;0,0
C_180D_H;0,0
C_60D_A;0,0
C_60D_H;0,0
C_30D_A;0,0
C_30D_H;0,0
FTG_730D_H;0,0
FTG_rival_15D_H;0,0
FTG_rival_15D_A;0,0
Points_180D_A;0,0
R_730D_H;0,0
R_365D_H;0,0
R_180D_A;0,0
R_180D_H;0,0
R_60D_A;0,0
R_60D_H;0,0
R_30D_A;0,0
R_30D_H;0,0
R_15D_A;0,0
C_15D_A;0,0
Points_730D_H;0,0
Points_60D_A;0,0
FTG_rival_30D_H;0,0
Points_60D_H;0,0
Points_15D_H;0,0
FTG_rival_1825D_A;0,0
FTG_rival_1825D_H;0,0
FTG_rival_730D_H;0,0
FTG_rival_365D_A;0,0
FTG_rival_365D_H;0,0
FTG_rival_180D_A;0,0
FTG_rival_180D_H;0,0
FTG_rival_60D_A;0,0
FTG_rival_30D_A;0,0
Y_1825D_A;0,0
