features;importance
ST_180D_A;0,2516699464245111
Y_365D_A;0,2243310630243541
FTG_1825D_A;0,14758876177929087
Points_730D_H;0,13706345391303976
ST_1825D_H;0,08561127622271507
FTG_365D_A;0,06434020871978434
Y_180D_A;0,0538744902698532
FTG_30D_A;0,024874924840422037
C_730D_H;0,007812072484156647
FTG_180D_A;0,0020849876017729266
ST_60D_H;0,0007436552500713569
FTG_rival_365D_H;5,159470028679244e-06
S_1825D_A;0,0
S_730D_A;0,0
S_1825D_H;0,0
ST_30D_H;0,0
ST_15D_H;0,0
ST_15D_A;0,0
S_365D_A;0,0
ST_30D_A;0,0
ST_60D_A;0,0
S_730D_H;0,0
C_15D_H;0,0
S_365D_H;0,0
R_1825D_H;0,0
R_180D_H;0,0
R_180D_A;0,0
R_365D_H;0,0
R_365D_A;0,0
R_730D_H;0,0
R_730D_A;0,0
R_1825D_A;0,0
S_180D_A;0,0
S_15D_H;0,0
S_15D_A;0,0
S_30D_H;0,0
S_30D_A;0,0
S_60D_H;0,0
S_60D_A;0,0
S_180D_H;0,0
ST_365D_A;0,0
ST_180D_H;0,0
ST_365D_H;0,0
Y_1825D_H;0,0
Y_730D_A;0,0
Y_730D_H;0,0
Y_365D_H;0,0
Y_180D_H;0,0
Y_60D_A;0,0
Y_60D_H;0,0
Y_30D_A;0,0
Y_30D_H;0,0
Y_15D_A;0,0
Y_15D_H;0,0
Side_1825D_A;0,0
Side_1825D_H;0,0
Side_730D_A;0,0
Side_730D_H;0,0
Side_365D_A;0,0
Side_365D_H;0,0
Side_180D_A;0,0
Side_180D_H;0,0
Side_60D_A;0,0
Side_60D_H;0,0
Side_30D_A;0,0
Side_30D_H;0,0
Side_15D_A;0,0
Side_15D_H;0,0
ST_1825D_A;0,0
ST_730D_A;0,0
ST_730D_H;0,0
R_60D_H;0,0
R_60D_A;0,0
R_15D_H;0,0
R_30D_A;0,0
F_60D_H;0,0
FTG_60D_A;0,0
FTG_60D_H;0,0
FTG_30D_H;0,0
FTG_15D_A;0,0
FTG_15D_H;0,0
F_1825D_A;0,0
F_1825D_H;0,0
F_730D_A;0,0
F_730D_H;0,0
F_365D_A;0,0
F_365D_H;0,0
F_180D_A;0,0
F_180D_H;0,0
F_60D_A;0,0
F_30D_A;0,0
R_30D_H;0,0
F_30D_H;0,0
F_15D_A;0,0
F_15D_H;0,0
C_1825D_A;0,0
C_1825D_H;0,0
C_730D_A;0,0
C_365D_A;0,0
C_365D_H;0,0
C_180D_A;0,0
C_180D_H;0,0
C_60D_A;0,0
C_60D_H;0,0
C_30D_A;0,0
C_30D_H;0,0
FTG_180D_H;0,0
FTG_365D_H;0,0
FTG_730D_H;0,0
FTG_730D_A;0,0
R_15D_A;0,0
C_15D_A;0,0
Points_1825D_A;0,0
Points_1825D_H;0,0
Points_730D_A;0,0
Points_365D_A;0,0
Points_365D_H;0,0
Points_180D_A;0,0
Points_180D_H;0,0
Points_60D_A;0,0
Points_60D_H;0,0
Points_30D_A;0,0
Points_30D_H;0,0
Points_15D_A;0,0
Points_15D_H;0,0
FTG_rival_1825D_A;0,0
FTG_rival_1825D_H;0,0
FTG_rival_730D_A;0,0
FTG_rival_730D_H;0,0
FTG_rival_365D_A;0,0
FTG_rival_180D_A;0,0
FTG_rival_180D_H;0,0
FTG_rival_60D_A;0,0
FTG_rival_60D_H;0,0
FTG_rival_30D_A;0,0
FTG_rival_30D_H;0,0
FTG_rival_15D_A;0,0
FTG_rival_15D_H;0,0
FTG_1825D_H;0,0
Y_1825D_A;0,0
