features;importance
S_15D_H;0,5728484134629875
C_15D_H;0,21740510543297073
FTG_rival_365D_H;0,14609469309196632
R_60D_A;0,05191975508961371
F_365D_A;0,009125124419577638
ST_30D_H;0,0010208595458237814
FTG_15D_H;0,0006537496209948443
R_30D_H;0,0004300881434817014
Side_730D_H;0,0003994891338787424
Points_180D_A;9,603352864266959e-05
S_180D_H;3,656311873098499e-06
S_1825D_A;3,0322181892615047e-06
S_1825D_H;0,0
S_365D_H;0,0
ST_15D_H;0,0
S_730D_A;0,0
S_730D_H;0,0
S_365D_A;0,0
ST_15D_A;0,0
ST_30D_A;0,0
ST_60D_H;0,0
S_60D_A;0,0
S_180D_A;0,0
ST_180D_H;0,0
S_60D_H;0,0
S_30D_A;0,0
S_30D_H;0,0
S_15D_A;0,0
R_1825D_A;0,0
R_1825D_H;0,0
R_730D_A;0,0
R_730D_H;0,0
R_365D_A;0,0
R_365D_H;0,0
R_180D_A;0,0
R_180D_H;0,0
R_60D_H;0,0
ST_60D_A;0,0
ST_365D_H;0,0
ST_180D_A;0,0
Side_1825D_H;0,0
Y_1825D_H;0,0
Y_730D_A;0,0
Y_730D_H;0,0
Y_365D_A;0,0
Y_365D_H;0,0
Y_180D_A;0,0
Y_180D_H;0,0
Y_60D_A;0,0
Y_60D_H;0,0
Y_30D_A;0,0
Y_30D_H;0,0
Y_15D_A;0,0
Y_15D_H;0,0
Side_1825D_A;0,0
Side_730D_A;0,0
ST_365D_A;0,0
Side_365D_A;0,0
Side_365D_H;0,0
Side_180D_A;0,0
Side_180D_H;0,0
Side_60D_A;0,0
Side_60D_H;0,0
Side_30D_A;0,0
Side_30D_H;0,0
Side_15D_A;0,0
Side_15D_H;0,0
ST_1825D_A;0,0
ST_1825D_H;0,0
ST_730D_A;0,0
ST_730D_H;0,0
R_30D_A;0,0
R_15D_H;0,0
R_15D_A;0,0
F_30D_A;0,0
FTG_60D_A;0,0
FTG_60D_H;0,0
FTG_30D_A;0,0
FTG_30D_H;0,0
FTG_15D_A;0,0
F_1825D_A;0,0
F_1825D_H;0,0
F_730D_A;0,0
F_730D_H;0,0
F_365D_H;0,0
F_180D_A;0,0
F_180D_H;0,0
F_60D_A;0,0
F_60D_H;0,0
F_30D_H;0,0
FTG_180D_A;0,0
F_15D_A;0,0
F_15D_H;0,0
C_1825D_A;0,0
C_1825D_H;0,0
C_730D_A;0,0
C_730D_H;0,0
C_365D_A;0,0
C_365D_H;0,0
C_180D_A;0,0
C_180D_H;0,0
C_60D_A;0,0
C_60D_H;0,0
C_30D_A;0,0
C_30D_H;0,0
FTG_180D_H;0,0
FTG_365D_H;0,0
C_15D_A;0,0
FTG_rival_1825D_H;0,0
Points_1825D_A;0,0
Points_1825D_H;0,0
Points_730D_A;0,0
Points_730D_H;0,0
Points_365D_A;0,0
Points_365D_H;0,0
Points_180D_H;0,0
Points_60D_A;0,0
Points_60D_H;0,0
Points_30D_A;0,0
Points_30D_H;0,0
Points_15D_A;0,0
Points_15D_H;0,0
FTG_rival_1825D_A;0,0
FTG_rival_730D_A;0,0
FTG_365D_A;0,0
FTG_rival_730D_H;0,0
FTG_rival_365D_A;0,0
FTG_rival_180D_A;0,0
FTG_rival_180D_H;0,0
FTG_rival_60D_A;0,0
FTG_rival_60D_H;0,0
FTG_rival_30D_A;0,0
FTG_rival_30D_H;0,0
FTG_rival_15D_A;0,0
FTG_rival_15D_H;0,0
FTG_1825D_A;0,0
FTG_1825D_H;0,0
FTG_730D_A;0,0
FTG_730D_H;0,0
Y_1825D_A;0,0
