features;importance
F_730D_A;0,14605621306869623
FTG_730D_H;0,09653561053130252
Points_1825D_A;0,053739867298886364
Points_365D_H;0,051854269114065855
FTG_rival_730D_H;0,04954714031091041
F_60D_A;0,04886320570202009
C_1825D_A;0,046458700202630265
Points_365D_A;0,04628613161263957
ST_180D_H;0,04583008066026843
S_30D_H;0,04163335512490732
ST_180D_A;0,03644566953289636
FTG_rival_365D_H;0,033125228919081755
C_730D_A;0,028800478664082474
ST_60D_H;0,02736229577435982
FTG_730D_A;0,022614749233481737
C_1825D_H;0,021910972586600325
C_730D_H;0,02044703648597502
Y_365D_A;0,02008442738695811
C_60D_H;0,016294130316870402
S_60D_A;0,01566489481950607
Points_60D_A;0,012952782135650667
F_15D_A;0,012713828218561226
Y_730D_A;0,012630950166910768
C_15D_H;0,011375708064120625
ST_60D_A;0,01097139008003887
Y_15D_A;0,007988489053720732
FTG_rival_180D_H;0,007949427168065659
Points_1825D_H;0,007434646243279596
FTG_60D_A;0,005011725665989734
Y_60D_A;0,004772654215812464
F_1825D_A;0,0044794454114595395
Points_730D_H;0,004461354702136017
Points_180D_A;0,003974432166253067
R_180D_A;0,0033944818104237225
Side_730D_A;0,003264960090792661
FTG_180D_H;0,0031513074475349495
Side_15D_A;0,002820315109007579
Points_60D_H;0,0021355664800721524
Y_180D_A;0,0013054824389173933
F_15D_H;0,0012585393895777543
C_365D_H;0,000987051060050674
FTG_rival_60D_H;0,0008917831317299705
C_30D_H;0,0008887463273180698
Side_730D_H;0,0007880282510817807
R_365D_H;0,0005509625493110446
FTG_rival_1825D_A;0,00045743841557401493
Points_180D_H;0,00026080189446956256
Side_180D_A;0,00017732156267783605
Points_15D_H;0,00016369653428708936
FTG_365D_A;0,00014809803650253756
ST_1825D_H;0,00013353217501017642
R_60D_A;0,0001221467547961886
S_1825D_H;0,00012038999431422207
FTG_rival_30D_H;8,645282004034931e-05
Side_365D_H;8,62745118408701e-05
Points_730D_A;7,262588151786207e-05
F_60D_H;7,160670381183952e-05
FTG_rival_365D_A;5,666410749780259e-05
Side_15D_H;5,2606836519771005e-05
Side_60D_A;4,3408267245195586e-05
Y_15D_H;4,0757496515760415e-05
R_180D_H;3,86713270514611e-05
R_1825D_A;3,67446962752386e-05
C_60D_A;2,4157259044844677e-05
F_30D_A;2,2898834338677184e-05
F_365D_A;2,2794959941811962e-05
S_365D_A;1,6607413051982644e-05
ST_30D_A;1,5962437603116562e-05
Side_30D_H;5,002149031179516e-06
F_1825D_H;4,8183946184126084e-06
R_30D_H;4,728909498629025e-06
Y_60D_H;2,3990657156495594e-06
S_730D_A;9,985485905397054e-07
F_180D_H;9,145729126062256e-07
Y_1825D_H;4,143553229716829e-07
R_15D_A;3,745651262312049e-07
FTG_rival_15D_H;1,340618736686997e-07
Points_30D_A;3,5540817302444646e-08
Side_1825D_A;6,192608844579916e-09
Y_30D_H;0,0
ST_15D_A;0,0
Side_30D_A;0,0
ST_30D_H;0,0
Y_30D_A;0,0
Side_365D_A;0,0
Y_730D_H;0,0
ST_365D_H;0,0
ST_15D_H;0,0
ST_365D_A;0,0
ST_730D_H;0,0
ST_730D_A;0,0
Side_180D_H;0,0
Y_365D_H;0,0
Side_60D_H;0,0
ST_1825D_A;0,0
Side_1825D_H;0,0
Y_180D_H;0,0
R_15D_H;0,0
S_1825D_A;0,0
FTG_15D_A;0,0
FTG_rival_15D_A;0,0
FTG_1825D_A;0,0
FTG_1825D_H;0,0
FTG_365D_H;0,0
FTG_180D_A;0,0
FTG_60D_H;0,0
FTG_30D_A;0,0
FTG_30D_H;0,0
FTG_15D_H;0,0
S_730D_H;0,0
F_730D_H;0,0
F_365D_H;0,0
F_180D_A;0,0
F_30D_H;0,0
C_365D_A;0,0
C_180D_A;0,0
C_180D_H;0,0
C_30D_A;0,0
FTG_rival_30D_A;0,0
FTG_rival_60D_A;0,0
FTG_rival_180D_A;0,0
FTG_rival_730D_A;0,0
S_365D_H;0,0
S_180D_A;0,0
S_180D_H;0,0
S_60D_H;0,0
S_30D_A;0,0
S_15D_A;0,0
S_15D_H;0,0
R_1825D_H;0,0
R_730D_A;0,0
R_730D_H;0,0
R_365D_A;0,0
R_60D_H;0,0
R_30D_A;0,0
C_15D_A;0,0
Points_30D_H;0,0
Points_15D_A;0,0
FTG_rival_1825D_H;0,0
Y_1825D_A;0,0
