features;importance
Points_730D_H;0,34705103983140617
Points_730D_A;0,17948038311285178
FTG_60D_H;0,1695767612429783
FTG_rival_1825D_A;0,10146383643955434
FTG_rival_180D_H;0,08024654050932171
Side_180D_H;0,027279248763930446
Points_15D_H;0,02617074420638686
FTG_rival_30D_H;0,024379508893673775
Side_365D_A;0,01718276141974752
Side_60D_H;0,012300843075799083
FTG_rival_365D_A;0,009572878242268447
FTG_30D_H;0,004636200308110408
FTG_365D_H;0,00040307670217499804
FTG_rival_730D_H;0,0002356277099119836
FTG_rival_60D_H;1,707776027281703e-05
FTG_1825D_H;3,373047770459434e-06
FTG_rival_365D_H;9,873113246670328e-08
Points_60D_H;2,708239470631073e-12
Points_365D_A;0,0
Points_365D_H;0,0
Points_1825D_H;0,0
Points_1825D_A;0,0
Side_30D_H;0,0
Side_15D_H;0,0
Side_15D_A;0,0
Points_180D_H;0,0
Side_30D_A;0,0
Side_60D_A;0,0
Side_180D_A;0,0
Side_365D_H;0,0
Side_730D_H;0,0
Side_730D_A;0,0
Side_1825D_H;0,0
Points_180D_A;0,0
FTG_15D_H;0,0
Points_60D_A;0,0
FTG_rival_15D_H;0,0
FTG_30D_A;0,0
FTG_60D_A;0,0
FTG_180D_H;0,0
FTG_180D_A;0,0
FTG_365D_A;0,0
FTG_730D_H;0,0
FTG_730D_A;0,0
FTG_1825D_A;0,0
FTG_rival_15D_A;0,0
Points_30D_A;0,0
FTG_rival_30D_A;0,0
FTG_rival_60D_A;0,0
FTG_rival_180D_A;0,0
FTG_rival_730D_A;0,0
FTG_rival_1825D_H;0,0
FTG_15D_A;0,0
Points_15D_A;0,0
Points_30D_H;0,0
Side_1825D_A;0,0
