features;importance
FTG_rival_1825D_A;0,20240040217060495
FTG_rival_365D_A;0,08232342982542118
Points_60D_H;0,08086664464243894
Points_365D_A;0,07711079389190144
FTG_1825D_H;0,07440062389510539
Points_730D_H;0,07363671115827035
FTG_730D_A;0,06468116866192962
FTG_rival_365D_H;0,06263029700029779
FTG_365D_H;0,06158388093821923
FTG_1825D_A;0,059604963324729435
FTG_rival_1825D_H;0,050382257906150106
FTG_365D_A;0,02149979423178317
FTG_rival_30D_A;0,0201221983845679
FTG_60D_A;0,015811269864193695
Points_15D_A;0,01486185790032399
Side_365D_H;0,010358937161002075
Side_180D_A;0,008076920782081139
Side_730D_H;0,007157792687909157
FTG_60D_H;0,004827818276298042
Points_365D_H;0,0037273432571825805
FTG_180D_A;0,0029038771593840667
Side_180D_H;0,00045203850423308675
FTG_rival_15D_A;0,0003362689537021457
Points_730D_A;0,00023953923295102743
FTG_rival_180D_H;2,611718919146887e-06
Side_15D_H;3,369966401974754e-07
FTG_180D_H;1,1745392877800699e-07
Points_1825D_H;6,181838769858075e-08
FTG_30D_H;3,608393746541922e-08
Points_60D_A;5,629239886451224e-09
Side_1825D_H;3,8667522958881395e-10
FTG_730D_H;1,01591051673463e-10
Side_60D_H;0,0
Side_60D_A;0,0
Side_30D_A;0,0
Side_30D_H;0,0
Points_1825D_A;0,0
Side_15D_A;0,0
Side_365D_A;0,0
Side_730D_A;0,0
FTG_15D_H;0,0
Points_15D_H;0,0
Points_180D_A;0,0
Points_180D_H;0,0
Points_30D_A;0,0
Points_30D_H;0,0
FTG_15D_A;0,0
FTG_rival_730D_A;0,0
FTG_rival_730D_H;0,0
FTG_rival_180D_A;0,0
FTG_rival_60D_A;0,0
FTG_rival_60D_H;0,0
FTG_rival_30D_H;0,0
FTG_rival_15D_H;0,0
FTG_30D_A;0,0
Side_1825D_A;0,0
