features;importance
Points_180D_H;0,1369277261404923
FTG_rival_180D_A;0,1367581840136422
FTG_730D_A;0,10487609959508655
FTG_180D_H;0,07296702683241435
FTG_rival_730D_A;0,05301601266988967
Points_365D_H;0,0529713210139744
FTG_rival_60D_H;0,045937550431798375
FTG_60D_A;0,04097913960284527
Side_730D_H;0,03372520205546185
Points_30D_H;0,033323359865660505
FTG_rival_180D_H;0,02506809093408642
FTG_730D_H;0,024161494235478996
FTG_rival_15D_H;0,022783034809650143
Side_730D_A;0,020498602270021513
FTG_365D_H;0,020325159052907753
Points_180D_A;0,018885778472682913
Points_15D_A;0,018600885508003154
FTG_rival_365D_H;0,017721481330872015
FTG_30D_H;0,014094790989715828
Side_15D_H;0,01241654273225715
Points_60D_H;0,010569783172535416
Side_1825D_H;0,010374506892482647
Points_1825D_H;0,009403651469987362
FTG_rival_15D_A;0,007772667913398436
FTG_1825D_A;0,007067239480392182
Side_15D_A;0,006031663048075832
Side_30D_A;0,005771759574819345
FTG_60D_H;0,005438029188293171
FTG_1825D_H;0,004558972518403557
Points_15D_H;0,0045439835310691
Side_180D_H;0,0027440252170827717
FTG_15D_A;0,0026574187353959355
FTG_15D_H;0,002141865997361859
Side_365D_H;0,001987979570582453
Side_60D_A;0,0017974145500403561
FTG_rival_1825D_A;0,0014674340250468456
Points_1825D_A;0,0014145634431959333
FTG_rival_30D_A;0,001323098378192918
Points_30D_A;0,0012300284771973615
Side_1825D_A;0,0011764128894801707
Side_60D_H;0,0010327851248893084
Points_365D_A;0,0006252050124015666
Side_30D_H;0,0006078114430170016
FTG_rival_60D_A;0,0004974132517784881
Points_730D_H;0,0003091028115006297
Side_180D_A;0,00029317220336404323
Points_730D_A;0,000252472821948598
FTG_30D_A;0,00024893012783915215
FTG_rival_730D_H;0,0002452295378062266
FTG_rival_30D_H;0,00012852292406235764
Points_60D_A;0,00011647417025405293
Side_365D_A;8,166450501949113e-05
FTG_rival_1825D_H;3,892749385009254e-05
FTG_180D_A;6,035705389561286e-06
FTG_365D_A;5,749559002125135e-06
FTG_rival_365D_A;5,22677902172977e-07
