features;importance
FTG_rival_365D_A;0,22129785642143449
FTG_730D_A;0,2030779253713441
Points_365D_H;0,15701107723983876
FTG_1825D_H;0,1323143502396725
FTG_730D_H;0,0912935447877749
FTG_rival_180D_H;0,06669649857021005
FTG_rival_730D_H;0,046944154633776776
FTG_30D_A;0,02361536736054304
Side_730D_A;0,014072628208049697
FTG_rival_1825D_A;0,006190365005398247
Side_180D_A;0,006127392324571293
Points_30D_A;0,005781358858428384
FTG_15D_H;0,004743931171044529
Side_30D_H;0,0042636100262213456
FTG_rival_1825D_H;0,003787531575580733
Points_365D_A;0,0031463231696063285
Side_180D_H;0,002956998177413257
Points_180D_H;0,002668986661472277
Side_60D_A;0,001641569918154464
Points_15D_H;0,0010445142409425663
FTG_rival_60D_H;0,0006215065039126019
FTG_180D_A;0,00026423096363895087
Side_730D_H;0,00017414707453539016
FTG_rival_365D_H;8,483115811826567e-05
Points_730D_H;8,329202788666749e-05
FTG_30D_H;4,444385703176567e-05
FTG_rival_15D_A;3,692560964773627e-05
Side_1825D_A;6,112315648489532e-06
FTG_rival_30D_A;4,013630036515762e-06
FTG_rival_730D_A;1,9423445651619364e-06
Points_60D_H;1,8639894895530707e-06
Side_1825D_H;4,6724357885823803e-07
FTG_1825D_A;1,4652402823070678e-07
FTG_rival_30D_H;5,860717010875034e-08
FTG_rival_60D_A;3,4189234076662025e-08
Side_15D_A;0,0
Side_365D_A;0,0
Side_365D_H;0,0
FTG_60D_H;0,0
FTG_60D_A;0,0
FTG_180D_H;0,0
Side_60D_H;0,0
Side_30D_A;0,0
FTG_15D_A;0,0
Points_15D_A;0,0
Points_1825D_A;0,0
Points_1825D_H;0,0
Points_730D_A;0,0
FTG_rival_180D_A;0,0
FTG_365D_H;0,0
FTG_365D_A;0,0
Points_180D_A;0,0
Points_60D_A;0,0
FTG_rival_15D_H;0,0
Points_30D_H;0,0
Side_15D_H;0,0
