features;importance
top6_A;0,1629754930079587
Points_365D_H;0,08612079373647075
S_365D_A;0,07558036683124626
Side_15D_A;0,06452998741336075
pagerank_10_H;0,05696294611263939
FTG_rival_1825D_A;0,049740144273171
pagerank_1_A;0,0453666769651998
Y_15D_H;0,04490184428107273
down1_A;0,04424583861699344
rate_away;0,04090955304439353
ST_60D_A;0,03732295416276241
Points_1825D_A;0,028533175295872064
ST_730D_H;0,024427677509949258
top4_A;0,01784602448898991
top1_H;0,01762739950118623
down4_H;0,01676172639610563
pagerank_5_A;0,016557964879505335
R_180D_A;0,016175319354346265
Y_30D_H;0,01601870654494746
Points_60D_H;0,015619128644305025
Y_1825D_A;0,01524427507689272
ST_30D_H;0,01339089112330135
ST_15D_A;0,013314450544903007
R_30D_A;0,012933835930992161
Y_30D_A;0,009623496981486913
top4_H;0,007736430632210589
F_15D_H;0,0067215985545279475
FTG_180D_A;0,0055104339538106385
FTG_15D_A;0,004999261762543353
C_365D_H;0,004112771547493086
pagerank_1_H;0,004102954261530723
down1_H;0,003342585381887143
FTG_rival_180D_H;0,0031346741319292805
F_30D_A;0,0030332704614752133
top2_H;0,0029366125944032726
C_730D_H;0,001644109367248282
C_60D_A;0,0015013127698786522
Side_15D_H;0,0011265492566463547
F_180D_A;0,001081894063415736
FTG_1825D_H;0,0009685344344915997
top5_A;0,0009597260009431577
FTG_rival_60D_A;0,0007321706663715563
FTG_365D_A;0,0007279783367143051
C_180D_H;0,00040285704946454597
Points_30D_A;0,0003356362215873751
S_60D_H;0,00028684285767253856
ST_730D_A;0,000284703763419399
ST_60D_H;0,00026030589564335734
Y_365D_H;0,00023842410800540295
S_365D_H;0,000233402378123027
ST_180D_A;0,00015065558842650677
S_180D_H;0,00012061104155138875
Y_60D_H;7,33552641349455e-05
ST_365D_H;7,195748663674535e-05
Y_180D_H;5,720910971459739e-05
FTG_15D_H;5,582273137212191e-05
R_730D_H;4,582569077951341e-05
Points_365D_A;3,961394544727283e-05
S_15D_A;3,442562828784646e-05
R_365D_H;3,26707973246786e-05
top1_A;2,915848519065217e-05
S_15D_H;2,8454773888115048e-05
FTG_730D_H;2,6493180998992163e-05
FTG_60D_A;2,4601578854297585e-05
top7_H;2,0293719263479594e-05
Points_30D_H;1,9239734261684633e-05
FTG_rival_60D_H;1,066920657432071e-05
pagerank_10_A;4,743668692455381e-06
Side_1825D_A;2,2323617429735737e-06
Points_180D_H;2,0836362714167193e-06
top3_H;1,2656408737326932e-06
R_60D_A;1,1282355073673093e-06
Y_730D_A;8,494535126299595e-07
Y_1825D_H;4,977322381594372e-07
S_30D_A;1,9101036353540866e-07
C_60D_H;1,1422391181531338e-07
ST_180D_H;5,602209166214714e-08
F_365D_H;4,400000079113072e-08
ST_1825D_H;1,6292790337642392e-08
ST_1825D_A;7,4023354994178536e-09
FTG_rival_1825D_H;9,408902244706986e-10
Y_60D_A;2,399798475365142e-10
Side_60D_A;5,820966261176638e-12
FTG_rival_365D_H;7,808609665543427e-13
top7_A;0,0
pagerank_5_H;0,0
top2_A;0,0
Side_30D_H;0,0
top3_A;0,0
Y_15D_A;0,0
Side_30D_A;0,0
down3_A;0,0
down4_A;0,0
top5_H;0,0
top6_H;0,0
down2_H;0,0
down3_H;0,0
down2_A;0,0
Side_180D_H;0,0
Side_60D_H;0,0
Side_180D_A;0,0
pagerank_2_A;0,0
pagerank_2_H;0,0
Side_365D_H;0,0
Side_365D_A;0,0
rate_home;0,0
Side_730D_H;0,0
Y_730D_H;0,0
Y_365D_A;0,0
Side_730D_A;0,0
Side_1825D_H;0,0
Y_180D_A;0,0
Weekday;0,0
S_30D_H;0,0
ST_365D_A;0,0
ST_30D_A;0,0
FTG_rival_15D_A;0,0
FTG_rival_15D_H;0,0
FTG_1825D_A;0,0
FTG_730D_A;0,0
FTG_365D_H;0,0
FTG_180D_H;0,0
FTG_60D_H;0,0
FTG_30D_A;0,0
FTG_30D_H;0,0
F_1825D_A;0,0
F_1825D_H;0,0
F_730D_A;0,0
F_730D_H;0,0
F_365D_A;0,0
F_180D_H;0,0
F_60D_A;0,0
F_60D_H;0,0
F_30D_H;0,0
F_15D_A;0,0
C_1825D_A;0,0
C_1825D_H;0,0
C_730D_A;0,0
C_365D_A;0,0
C_180D_A;0,0
C_30D_A;0,0
C_30D_H;0,0
C_15D_A;0,0
FTG_rival_30D_H;0,0
FTG_rival_30D_A;0,0
FTG_rival_180D_A;0,0
R_180D_H;0,0
ST_15D_H;0,0
S_1825D_A;0,0
S_1825D_H;0,0
S_730D_A;0,0
S_730D_H;0,0
S_180D_A;0,0
S_60D_A;0,0
C_15D_H;0,0
R_1825D_A;0,0
R_1825D_H;0,0
R_730D_A;0,0
R_365D_A;0,0
R_60D_H;0,0
FTG_rival_365D_A;0,0
R_30D_H;0,0
R_15D_A;0,0
R_15D_H;0,0
Points_1825D_H;0,0
Points_730D_A;0,0
Points_730D_H;0,0
Points_180D_A;0,0
Points_60D_A;0,0
Points_15D_A;0,0
Points_15D_H;0,0
FTG_rival_730D_A;0,0
FTG_rival_730D_H;0,0
rounds;0,0
