features;importance
top7_H;0,43233483110756565
F_15D_A;0,20233871264241748
top3_H;0,07478410979312226
ST_365D_A;0,06642129978066484
C_1825D_A;0,06424064623307055
Weekday;0,06273814947870211
FTG_730D_A;0,05071227481835399
Points_365D_A;0,02745068324236655
top2_A;0,008546127888386467
pagerank_2_A;0,00807984618859795
Y_1825D_A;0,00235323729565058
C_365D_A;7,783174399354364e-08
F_180D_H;3,699357521312162e-09
Side_60D_H;0,0
Y_15D_H;0,0
Side_15D_A;0,0
Side_30D_H;0,0
Side_30D_A;0,0
Side_730D_A;0,0
Side_60D_A;0,0
Side_730D_H;0,0
Side_1825D_A;0,0
Side_180D_H;0,0
ST_1825D_A;0,0
Side_180D_A;0,0
Side_1825D_H;0,0
Side_365D_H;0,0
Side_365D_A;0,0
Side_15D_H;0,0
ST_730D_H;0,0
ST_1825D_H;0,0
ST_730D_A;0,0
S_180D_A;0,0
S_365D_H;0,0
S_365D_A;0,0
S_730D_H;0,0
S_730D_A;0,0
S_1825D_H;0,0
S_1825D_A;0,0
ST_15D_H;0,0
ST_15D_A;0,0
ST_30D_H;0,0
ST_30D_A;0,0
ST_60D_H;0,0
ST_60D_A;0,0
ST_180D_H;0,0
ST_180D_A;0,0
ST_365D_H;0,0
Y_30D_H;0,0
Y_15D_A;0,0
Y_180D_A;0,0
Y_30D_A;0,0
top1_H;0,0
top5_A;0,0
top6_A;0,0
top7_A;0,0
down1_A;0,0
down2_A;0,0
down3_A;0,0
down4_A;0,0
top2_H;0,0
top3_A;0,0
top4_H;0,0
top5_H;0,0
top6_H;0,0
down1_H;0,0
down2_H;0,0
down3_H;0,0
down4_H;0,0
top4_A;0,0
top1_A;0,0
Y_60D_H;0,0
Y_1825D_H;0,0
Y_60D_A;0,0
Y_180D_H;0,0
S_60D_A;0,0
Y_365D_H;0,0
Y_365D_A;0,0
Y_730D_H;0,0
Y_730D_A;0,0
rate_home;0,0
pagerank_10_A;0,0
rate_away;0,0
pagerank_1_H;0,0
pagerank_1_A;0,0
pagerank_2_H;0,0
pagerank_5_H;0,0
pagerank_5_A;0,0
pagerank_10_H;0,0
S_180D_H;0,0
S_30D_H;0,0
S_60D_H;0,0
F_730D_H;0,0
F_1825D_H;0,0
F_1825D_A;0,0
FTG_15D_H;0,0
FTG_15D_A;0,0
FTG_30D_H;0,0
FTG_30D_A;0,0
FTG_60D_H;0,0
FTG_60D_A;0,0
FTG_180D_H;0,0
FTG_180D_A;0,0
FTG_365D_H;0,0
FTG_365D_A;0,0
FTG_730D_H;0,0
FTG_1825D_H;0,0
FTG_1825D_A;0,0
FTG_rival_15D_H;0,0
FTG_rival_15D_A;0,0
F_730D_A;0,0
F_365D_A;0,0
FTG_rival_30D_A;0,0
F_365D_H;0,0
C_15D_A;0,0
C_30D_H;0,0
C_30D_A;0,0
C_60D_H;0,0
C_60D_A;0,0
C_180D_H;0,0
C_180D_A;0,0
C_365D_H;0,0
C_730D_H;0,0
C_730D_A;0,0
C_1825D_H;0,0
F_15D_H;0,0
F_30D_H;0,0
F_30D_A;0,0
F_60D_H;0,0
F_60D_A;0,0
F_180D_A;0,0
FTG_rival_30D_H;0,0
FTG_rival_60D_H;0,0
S_30D_A;0,0
Points_1825D_H;0,0
R_15D_H;0,0
R_15D_A;0,0
R_30D_H;0,0
R_30D_A;0,0
R_60D_H;0,0
R_60D_A;0,0
R_180D_H;0,0
R_180D_A;0,0
R_365D_H;0,0
R_365D_A;0,0
R_730D_H;0,0
R_730D_A;0,0
R_1825D_H;0,0
R_1825D_A;0,0
S_15D_H;0,0
S_15D_A;0,0
C_15D_H;0,0
Points_1825D_A;0,0
Points_730D_A;0,0
FTG_rival_60D_A;0,0
Points_730D_H;0,0
FTG_rival_180D_H;0,0
FTG_rival_180D_A;0,0
FTG_rival_365D_H;0,0
FTG_rival_365D_A;0,0
FTG_rival_730D_H;0,0
FTG_rival_730D_A;0,0
FTG_rival_1825D_H;0,0
FTG_rival_1825D_A;0,0
Points_15D_H;0,0
Points_15D_A;0,0
Points_30D_H;0,0
Points_30D_A;0,0
Points_60D_H;0,0
Points_60D_A;0,0
Points_180D_H;0,0
Points_180D_A;0,0
Points_365D_H;0,0
rounds;0,0
