features;importance
F_730D_H;0,11992923948803724
FTG_rival_30D_H;0,09776976525974701
FTG_730D_H;0,09412613804483995
top5_H;0,07151924042721595
FTG_365D_H;0,05940704694155549
Points_1825D_A;0,05257767981937696
Points_730D_A;0,05138922105607248
C_730D_A;0,04230103280913441
C_180D_H;0,03428995020942306
S_60D_A;0,03172267199157244
FTG_365D_A;0,030416630528862728
rate_home;0,030108177276589137
FTG_1825D_H;0,02984630763757048
down2_A;0,02689013648336185
S_180D_A;0,025745904747497887
pagerank_A;0,022808461922183845
S_180D_H;0,01846412310040693
FTG_rival_365D_H;0,01745035553456299
Y_730D_H;0,016604472575111738
down4_H;0,015020420091176327
R_365D_A;0,012292181542818208
C_180D_A;0,011644237217790917
ST_365D_H;0,011253684154116617
ST_60D_A;0,00990187855577902
FTG_rival_30D_A;0,009603959500487999
top1_H;0,006124218489272051
Points_180D_H;0,005252060719979969
pagerank_H;0,005003949960699765
down5_A;0,004724989763998402
FTG_rival_180D_A;0,003942331253013904
R_730D_H;0,003821577248911707
top4_H;0,0034146289730022793
Side_1825D_A;0,0030689378353655926
top3_H;0,0026301405378805803
top2_H;0,0024715834058391625
Y_15D_A;0,0017375005757639744
FTG_180D_A;0,0016728651574688112
F_730D_A;0,0015576507619859852
down3_H;0,0014820689152422607
Y_365D_A;0,0014256496259720964
S_15D_H;0,001261919834363758
ST_180D_H;0,0009952500575890067
C_60D_H;0,000946003008663997
top5_A;0,0007318380475525571
ST_365D_A;0,0005744879898747199
Side_60D_H;0,0005222366774088043
down4_A;0,00045605450640425046
Points_365D_H;0,00042716290713449147
Points_730D_H;0,00031577444394316056
ST_60D_H;0,0003113397022463942
R_365D_H;0,00026414263724969315
Points_365D_A;0,00024660469600028143
FTG_rival_60D_A;0,00023542074544593696
S_60D_H;0,00018293560792435277
Points_30D_H;0,00016093015353155403
ST_1825D_A;0,00014489098558028603
FTG_60D_H;0,00013545238156474946
F_15D_H;9,976392391420282e-05
C_30D_H;8,777793506333339e-05
Y_180D_A;8,367262663221811e-05
rate_away;7,07908592259145e-05
ST_15D_A;5,241017736901771e-05
Y_1825D_H;5,182685751711116e-05
R_1825D_H;4,980027369788584e-05
C_730D_H;4,784627064149152e-05
ST_30D_A;2,1847886063159462e-05
FTG_rival_180D_H;2,0177687288525642e-05
FTG_15D_H;1,708973408063264e-05
C_1825D_H;1,4297493243803662e-05
down5_H;1,320639139863033e-05
R_180D_H;1,0333451742130037e-05
F_60D_H;1,0312135622733376e-05
S_730D_A;5,3815576420440175e-06
down1_H;3,374004187615045e-06
rounds;3,104342472139212e-06
Points_1825D_H;2,631919746362565e-06
down1_A;2,438840781572032e-06
Side_730D_H;1,0402531487087708e-06
Y_1825D_A;9,116236930090717e-07
F_365D_H;7,645385705844444e-07
Points_180D_A;6,570762291299663e-07
S_30D_A;6,320579585277589e-07
R_1825D_A;5,779979580961022e-07
ST_730D_H;5,689289467336162e-07
Points_60D_H;4,0581919988559367e-07
C_30D_A;3,279435982985826e-07
S_1825D_A;1,4142334299247338e-07
R_15D_H;1,2234230019732432e-07
ST_15D_H;8,293277221386906e-08
C_365D_H;5,9306935681437105e-08
top4_A;5,124597466571057e-08
Points_15D_H;4,967098217932882e-08
FTG_180D_H;6,900028032601013e-09
ST_30D_H;1,0108642581888698e-09
top1_A;3,699999651662583e-11
FTG_730D_A;0,0
Y_365D_H;0,0
Y_180D_H;0,0
Y_60D_A;0,0
FTG_60D_A;0,0
Y_730D_A;0,0
Y_60D_H;0,0
FTG_30D_A;0,0
Y_30D_A;0,0
FTG_30D_H;0,0
Y_30D_H;0,0
FTG_15D_A;0,0
F_1825D_A;0,0
R_60D_A;0,0
F_1825D_H;0,0
F_15D_A;0,0
C_60D_A;0,0
down3_A;0,0
C_365D_A;0,0
top3_A;0,0
top2_A;0,0
C_1825D_A;0,0
F_30D_H;0,0
F_365D_A;0,0
down2_H;0,0
F_30D_A;0,0
Y_15D_H;0,0
F_60D_A;0,0
F_180D_H;0,0
F_180D_A;0,0
FTG_1825D_A;0,0
Side_365D_H;0,0
FTG_rival_15D_H;0,0
Points_60D_A;0,0
FTG_rival_1825D_A;0,0
Points_15D_A;0,0
S_1825D_H;0,0
Points_30D_A;0,0
S_730D_H;0,0
S_365D_A;0,0
S_365D_H;0,0
S_30D_H;0,0
Side_1825D_H;0,0
S_15D_A;0,0
C_15D_A;0,0
R_730D_A;0,0
R_15D_A;0,0
R_30D_H;0,0
R_30D_A;0,0
R_180D_A;0,0
FTG_rival_1825D_H;0,0
FTG_rival_730D_A;0,0
ST_180D_A;0,0
FTG_rival_730D_H;0,0
Side_730D_A;0,0
Side_365D_A;0,0
R_60D_H;0,0
Side_180D_A;0,0
Side_180D_H;0,0
Side_60D_A;0,0
FTG_rival_15D_A;0,0
Side_30D_A;0,0
Side_30D_H;0,0
Side_15D_A;0,0
Side_15D_H;0,0
FTG_rival_60D_H;0,0
ST_1825D_H;0,0
ST_730D_A;0,0
FTG_rival_365D_A;0,0
C_15D_H;0,0
