match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
45473;2020-11-28;T20-21;SP1;Huesca;Sevilla;0;1;2;0;1,0;0,0;0,0
27032;2021-05-09;T20-21;F1;Strasbourg;Montpellier;2;3;2;0;1,0;0,0;0,0
57686;2020-03-01;T19-20;SP2;Fuenlabrada;Alcorcon;3;4;2;0;1,0;0,0;0,0
45594;2021-02-13;T20-21;SP1;Granada;Ath Madrid;1;2;2;0;1,0;0,0;0,0
45227;2020-02-14;T19-20;SP1;Valencia;Ath Madrid;2;2;0;0;1,0;0,0;0,0
45258;2020-03-07;T19-20;SP1;Ath Madrid;Sevilla;2;2;0;0;1,0;0,0;0,0
6229;2020-12-19;T20-21;D1;Augsburg;Ein Frankfurt;0;2;2;0;1,0;0,0;0,0
35196;2020-07-05;T19-20;I1;Napoli;Roma;2;1;1;0;1,0;0,0;0,0
16402;2021-02-28;T20-21;E0;Crystal Palace;Fulham;0;0;0;0;1,0;0,0;0,0
6058;2020-05-26;T19-20;D1;Leverkusen;Wolfsburg;1;4;2;0;1,0;0,0;0,0
16344;2021-01-28;T20-21;E0;Tottenham;Liverpool;1;3;2;0;1,0;0,0;0,0
35527;2021-03-07;T20-21;I1;Roma;Genoa;1;0;1;0;1,0;0,0;0,0
16027;2020-02-16;T19-20;E0;Arsenal;Newcastle;4;0;1;0;1,0;0,0;0,0
16301;2020-12-29;T20-21;E0;Southampton;West Ham;0;0;0;0;1,0;0,0;0,0
57752;2020-06-28;T19-20;SP2;Fuenlabrada;Extremadura;1;1;0;0;1,0;0,0;0,0
6088;2020-06-13;T19-20;D1;Paderborn;Werder Bremen;1;5;2;0;1,0;0,0;0,0
6222;2020-12-15;T20-21;D1;Werder Bremen;Dortmund;1;2;2;0;1,0;0,0;0,0
6015;2020-02-22;T19-20;D1;Werder Bremen;Dortmund;0;2;2;0;1,0;0,0;0,0
45554;2021-01-19;T20-21;SP1;Cadiz;Levante;2;2;0;0;1,0;0,0;0,0
57669;2020-02-22;T19-20;SP2;Girona;Ponferradina;2;0;1;0;1,0;0,0;0,0
26947;2021-03-03;T20-21;F1;Nice;Nimes;2;1;1;0;1,0;0,0;0,0
27054;2021-05-23;T20-21;F1;Strasbourg;Lorient;1;1;0;0;1,0;0,0;0,0
16037;2020-02-23;T19-20;E0;Wolves;Norwich;3;0;1;0;1,0;0,0;0,0
57864;2020-10-10;T20-21;SP2;Tenerife;Vallecano;1;0;1;0;1,0;0,0;0,0
26793;2020-12-04;T20-21;F1;Nimes;Marseille;0;2;2;0;1,0;0,0;0,0
35255;2020-07-26;T19-20;I1;Verona;Lazio;1;5;2;0;1,0;0,0;0,0
15991;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;0;1,0;0,0;0,0
45474;2020-11-28;T20-21;SP1;Real Madrid;Alaves;1;2;2;0;1,0;0,0;0,0
16427;2021-03-13;T20-21;E0;Leeds;Chelsea;0;0;0;0;1,0;0,0;0,0
45601;2021-02-14;T20-21;SP1;Villarreal;Betis;1;2;2;0;1,0;0,0;0,0
6200;2020-11-29;T20-21;D1;Mainz;Hoffenheim;1;1;0;0;1,0;0,0;0,0
45678;2021-04-18;T20-21;SP1;Sociedad;Sevilla;1;2;2;0;1,0;0,0;0,0
58131;2021-03-13;T20-21;SP2;Fuenlabrada;Las Palmas;1;2;2;0;1,0;0,0;0,0
35207;2020-07-11;T19-20;I1;Lazio;Sassuolo;1;2;2;0;1,0;0,0;0,0
6148;2020-10-17;T20-21;D1;Freiburg;Werder Bremen;1;1;0;0;1,0;0,0;0,0
45583;2021-02-06;T20-21;SP1;Levante;Granada;2;2;0;0;1,0;0,0;0,0
26851;2021-01-06;T20-21;F1;Reims;Dijon;0;0;0;0;1,0;0,0;0,0
35086;2020-01-18;T19-20;I1;Lazio;Sampdoria;5;1;1;0;1,0;0,0;0,0
26987;2021-04-10;T20-21;F1;Montpellier;Marseille;3;3;0;0;1,0;0,0;0,0
26638;2020-02-15;T19-20;F1;Bordeaux;Dijon;2;2;0;0;1,0;0,0;0,0
27043;2021-05-16;T20-21;F1;Nimes;Lyon;2;5;2;0;1,0;0,0;0,0
45354;2020-07-13;T19-20;SP1;Alaves;Getafe;0;0;0;0;1,0;0,0;0,0
45455;2020-11-08;T20-21;SP1;Getafe;Villarreal;1;3;2;0;1,0;0,0;0,0
6035;2020-03-08;T19-20;D1;Bayern Munich;Augsburg;2;0;1;0;1,0;0,0;0,0
57723;2020-06-20;T19-20;SP2;La Coruna;Vallecano;3;3;0;0;1,0;0,0;0,0
35551;2021-03-21;T20-21;I1;Udinese;Lazio;0;1;2;0;1,0;0,0;0,0
57788;2020-07-11;T19-20;SP2;Santander;Huesca;1;0;1;0;1,0;0,0;0,0
16121;2020-07-15;T19-20;E0;Burnley;Wolves;1;1;0;0;1,0;0,0;0,0
35205;2020-07-09;T19-20;I1;Spal;Udinese;0;3;2;0;1,0;0,0;0,0
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;0;1,0;0,0;0,0
6395;2021-04-25;T20-21;D1;M'gladbach;Bielefeld;5;0;1;0;1,0;0,0;0,0
45226;2020-02-09;T19-20;SP1;Betis;Barcelona;2;3;2;0;1,0;0,0;0,0
6277;2021-01-23;T20-21;D1;Leverkusen;Wolfsburg;0;1;2;0;1,0;0,0;0,0
45547;2021-01-10;T20-21;SP1;Levante;Eibar;2;1;1;0;1,0;0,0;0,0
58123;2021-03-07;T20-21;SP2;Malaga;Sabadell;2;0;1;0;1,0;0,0;0,0
45507;2020-12-19;T20-21;SP1;Sevilla;Valladolid;1;1;0;0;1,0;0,0;0,0
57926;2020-11-05;T20-21;SP2;Alcorcon;Ponferradina;0;1;2;0;1,0;0,0;0,0
58188;2021-04-11;T20-21;SP2;Mallorca;Lugo;2;0;1;0;1,0;0,0;0,0
16311;2021-01-03;T20-21;E0;Newcastle;Leicester;1;2;2;0;1,0;0,0;0,0
16054;2020-03-07;T19-20;E0;Burnley;Tottenham;1;1;0;0;1,0;0,0;0,0
35240;2020-07-22;T19-20;I1;Inter;Fiorentina;0;0;0;0;1,0;0,0;0,0
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;0;1,0;0,0;0,0
16108;2020-07-09;T19-20;E0;Everton;Southampton;1;1;0;0;1,0;0,0;0,0
58183;2021-04-10;T20-21;SP2;Ponferradina;Fuenlabrada;0;0;0;0;1,0;0,0;0,0
