match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
34574;2020-11-01;T20-21;I1;Torino;Lazio;3;4;2;0;0,4483;0,2099;0,3418
5859;2020-02-01;T19-20;D1;Dortmund;Union Berlin;5;0;1;0;0,4475;0,2102;0,3422
34495;2020-07-26;T19-20;I1;Bologna;Lecce;3;2;1;0;0,4491;0,2094;0,3416
34483;2020-07-22;T19-20;I1;Parma;Napoli;2;1;1;0;0,4484;0,2098;0,3417
26247;2020-12-13;T20-21;F1;Lille;Bordeaux;2;1;1;0;0,4475;0,2102;0,3423
56308;2020-07-04;T19-20;SP2;Santander;Elche;1;2;2;0;0,4477;0,2102;0,3421
5879;2020-02-15;T19-20;D1;Union Berlin;Leverkusen;2;3;2;0;0,4455;0,2118;0,3427
34580;2020-11-06;T20-21;I1;Sassuolo;Udinese;0;0;0;0;0,4489;0,2094;0,3417
6221;2021-03-20;T20-21;D1;Werder Bremen;Wolfsburg;1;2;2;0;0,4454;0,2118;0,3429
34519;2020-08-02;T19-20;I1;Lecce;Parma;3;4;2;0;0,4493;0,209;0,3417
56561;2020-12-19;T20-21;SP2;Sabadell;Castellon;1;1;0;0;0,4481;0,21;0,3419
15771;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;0;0,4466;0,2109;0,3425
26346;2021-02-07;T20-21;F1;Nantes;Lille;0;2;2;0;0,4472;0,2105;0,3423
56737;2021-04-17;T20-21;SP2;Lugo;Alcorcon;1;3;2;0;0,4479;0,2099;0,3422
15824;2020-02-29;T19-20;E0;Bournemouth;Chelsea;2;2;0;0;0,4472;0,2104;0,3423
56673;2021-03-13;T20-21;SP2;Girona;Lugo;1;1;0;0;0,446;0,2114;0,3427
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;0;0,4515;0,2073;0,3411
15773;2020-01-18;T19-20;E0;Brighton;Aston Villa;1;1;0;0;0,4458;0,2113;0,3429
15867;2020-07-01;T19-20;E0;Bournemouth;Newcastle;1;4;2;0;0,4502;0,2083;0,3414
26100;2020-03-01;T19-20;F1;Bordeaux;Nice;1;1;0;0;0,4474;0,2104;0,3422
5955;2020-06-07;T19-20;D1;Augsburg;FC Koln;1;1;0;0;0,4471;0,2104;0,3424
6175;2021-02-13;T20-21;D1;Werder Bremen;Freiburg;0;0;0;0;0,4463;0,2111;0,3426
26323;2021-01-31;T20-21;F1;Brest;Metz;2;4;2;0;0,4479;0,21;0,3421
6088;2020-12-12;T20-21;D1;Union Berlin;Bayern Munich;1;1;0;0;0,4461;0,2114;0,3426
34613;2020-12-06;T20-21;I1;Verona;Cagliari;1;1;0;0;0,448;0,21;0,342
44432;2020-06-23;T19-20;SP1;Valladolid;Getafe;1;1;0;0;0,4492;0,2091;0,3417
56351;2020-07-20;T19-20;SP2;Las Palmas;Extremadura;5;1;1;0;0,4467;0,2108;0,3425
6255;2021-04-20;T20-21;D1;Ein Frankfurt;Augsburg;2;0;1;0;0,4469;0,2107;0,3424
34748;2021-02-21;T20-21;I1;Benevento;Roma;0;0;0;0;0,45;0,2087;0,3413
6264;2021-04-24;T20-21;D1;Wolfsburg;Dortmund;0;2;2;0;0,4463;0,2113;0,3424
26070;2020-02-09;T19-20;F1;Strasbourg;Reims;3;0;1;0;0,4469;0,2106;0,3425
34453;2020-07-11;T19-20;I1;Juventus;Atalanta;2;2;0;0;0,451;0,2081;0,3409
