match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
34814;2021-04-11;T20-21;I1;Juventus;Genoa;3;1;1;1;0,346;0,3576;0,2964
34661;2021-01-03;T20-21;I1;Cagliari;Napoli;1;4;2;1;0,3433;0,3625;0,2942
56714;2021-04-03;T20-21;SP2;Girona;Ponferradina;3;1;1;1;0,3457;0,3583;0,2959
15879;2020-07-05;T19-20;E0;Liverpool;Aston Villa;2;0;1;1;0,3447;0,3582;0,2972
56294;2020-06-29;T19-20;SP2;Alcorcon;Vallecano;3;2;1;1;0,3463;0,3629;0,2908
44845;2021-05-02;T20-21;SP1;Villarreal;Getafe;1;0;1;1;0,3459;0,3574;0,2967
16088;2021-01-01;T20-21;E0;Man United;Aston Villa;2;1;1;1;0,3458;0,3583;0,2959
16217;2021-03-15;T20-21;E0;Wolves;Liverpool;0;1;2;1;0,3392;0,3628;0,298
34471;2020-07-18;T19-20;I1;Verona;Atalanta;1;1;0;1;0,3467;0,3591;0,2942
56637;2021-02-19;T20-21;SP2;Ponferradina;Mirandes;1;0;1;1;0,3459;0,3594;0,2946
16128;2021-01-30;T20-21;E0;Crystal Palace;Wolves;1;0;1;1;0,3462;0,3582;0,2956
34459;2020-07-12;T19-20;I1;Napoli;Milan;2;2;0;1;0,3396;0,3635;0,2969
56212;2020-02-22;T19-20;SP2;Albacete;Numancia;2;1;1;1;0,3468;0,3595;0,2937
16239;2021-04-11;T20-21;E0;Sheffield United;Arsenal;0;3;2;1;0,3414;0,3613;0,2973
44782;2021-03-20;T20-21;SP1;Huesca;Osasuna;0;0;0;1;0,3451;0,3579;0,297
15924;2020-07-26;T19-20;E0;Chelsea;Wolves;2;0;1;1;0,3461;0,3592;0,2947
56347;2020-07-17;T19-20;SP2;Oviedo;Santander;1;0;1;1;0,3464;0,3596;0,294
44388;2020-03-06;T19-20;SP1;Alaves;Valencia;1;1;0;1;0,3438;0,3618;0,2944
56432;2020-10-22;T20-21;SP2;Oviedo;Vallecano;0;0;0;1;0,3455;0,361;0,2935
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,3459;0,3584;0,2957
56675;2021-03-13;T20-21;SP2;Mirandes;Espanol;2;2;0;1;0,3465;0,3619;0,2916
6038;2020-10-31;T20-21;D1;Augsburg;Mainz;3;1;1;1;0,3455;0,3575;0,2971
56571;2021-01-02;T20-21;SP2;Fuenlabrada;Leganes;0;0;0;1;0,346;0,3623;0,2917
16110;2021-01-18;T20-21;E0;Arsenal;Newcastle;3;0;1;1;0,3458;0,3577;0,2966
56409;2020-10-11;T20-21;SP2;Malaga;Las Palmas;0;0;0;1;0,346;0,3585;0,2955
56587;2021-01-11;T20-21;SP2;Ponferradina;Girona;1;1;0;1;0,3462;0,3626;0,2912
56760;2021-05-01;T20-21;SP2;Almeria;Oviedo;2;2;0;1;0,3459;0,3605;0,2935
34360;2020-02-05;T19-20;I1;Lazio;Verona;0;0;0;1;0,346;0,3582;0,2958
5882;2020-02-16;T19-20;D1;Mainz;Schalke 04;0;0;0;1;0,3439;0,3638;0,2923
34857;2021-05-02;T20-21;I1;Udinese;Juventus;1;2;2;1;0,3396;0,3627;0,2977
26404;2021-03-21;T20-21;F1;Strasbourg;Lens;1;2;2;1;0,3462;0,3595;0,2943
26311;2021-01-23;T20-21;F1;Monaco;Marseille;3;1;1;1;0,3417;0,3636;0,2947
