match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
34574;2020-11-01;T20-21;I1;Torino;Lazio;3;4;2;0;1,0;0,0;0,0
5859;2020-02-01;T19-20;D1;Dortmund;Union Berlin;5;0;1;0;1,0;0,0;0,0
34495;2020-07-26;T19-20;I1;Bologna;Lecce;3;2;1;0;1,0;0,0;0,0
34483;2020-07-22;T19-20;I1;Parma;Napoli;2;1;1;0;1,0;0,0;0,0
26247;2020-12-13;T20-21;F1;Lille;Bordeaux;2;1;1;0;1,0;0,0;0,0
56308;2020-07-04;T19-20;SP2;Santander;Elche;1;2;2;0;1,0;0,0;0,0
5879;2020-02-15;T19-20;D1;Union Berlin;Leverkusen;2;3;2;0;1,0;0,0;0,0
34580;2020-11-06;T20-21;I1;Sassuolo;Udinese;0;0;0;0;1,0;0,0;0,0
6221;2021-03-20;T20-21;D1;Werder Bremen;Wolfsburg;1;2;2;0;1,0;0,0;0,0
34519;2020-08-02;T19-20;I1;Lecce;Parma;3;4;2;0;1,0;0,0;0,0
56561;2020-12-19;T20-21;SP2;Sabadell;Castellon;1;1;0;0;1,0;0,0;0,0
15771;2020-01-18;T19-20;E0;Watford;Tottenham;0;0;0;0;1,0;0,0;0,0
26346;2021-02-07;T20-21;F1;Nantes;Lille;0;2;2;0;1,0;0,0;0,0
56737;2021-04-17;T20-21;SP2;Lugo;Alcorcon;1;3;2;0;1,0;0,0;0,0
15824;2020-02-29;T19-20;E0;Bournemouth;Chelsea;2;2;0;0;1,0;0,0;0,0
56673;2021-03-13;T20-21;SP2;Girona;Lugo;1;1;0;0;1,0;0,0;0,0
