match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15969;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;1;0,2698;0,4388;0,2914
15976;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,2503;0,4832;0,2664
15975;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;1;0,2695;0,442;0,2885
15974;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2591;0,4981;0,2427
15977;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,2595;0,4699;0,2706
15972;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,2563;0,4697;0,274
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,2718;0,4354;0,2928
15970;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2969;0,4145;0,2886
15973;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;1;0,2698;0,4388;0,2914
15978;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,2554;0,5184;0,2262
45177;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,2238;0,5371;0,2391
45178;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2364;0,5115;0,2521
57589;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,2973;0,4135;0,2892
57592;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;1;0,2354;0,5168;0,2478
57595;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,2351;0,5173;0,2475
57594;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;1;0,2345;0,5188;0,2467
57593;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;1;0,2574;0,4793;0,2633
57591;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;1;0,215;0,5521;0,2328
57590;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2698;0,4589;0,2713
45182;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;1;0,2723;0,446;0,2816
45181;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,2502;0,542;0,2078
45180;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;1;0,2905;0,4284;0,2811
45179;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2969;0,4145;0,2886
35068;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,2971;0,414;0,2889
45184;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,2382;0,5075;0,2543
45185;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3123;0,3805;0,3072
45186;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;1;0,2345;0,5188;0,2467
57597;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,3054;0,3959;0,2988
57598;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,2298;0,5263;0,2439
35071;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,2317;0,5194;0,2489
15979;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,2517;0,4918;0,2565
35078;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,2429;0,5112;0,2459
35077;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2245;0,5331;0,2424
35076;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;1;0,2973;0,4135;0,2892
15986;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;1;0,2384;0,5071;0,2546
15985;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2265;0,5277;0,2458
15983;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2241;0,534;0,2419
15982;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2297;0,5226;0,2477
15981;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2331;0,5149;0,252
15980;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,2733;0,4471;0,2796
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,2433;0,499;0,2577
35082;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,2574;0,4793;0,2633
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3145;0,3757;0,3098
15988;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;1;0,248;0,4918;0,2602
35079;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,296;0,4164;0,2876
35080;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,3111;0,3833;0,3056
35081;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,2967;0,415;0,2884
35083;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,224;0,5366;0,2394
35084;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;1;0,1943;0,587;0,2187
35085;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2973;0,4135;0,2892
57603;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2625;0,4681;0,2695
57602;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,2107;0,5641;0,2252
57600;2020-01-14;T19-20;SP2;Albacete;Fuenlabrada;1;1;0;1;0,2488;0,4936;0,2575
57601;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2351;0,5173;0,2475
57607;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,235;0,5271;0,2379
57606;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2358;0,5128;0,2513
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2969;0,4145;0,2886
26593;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;1;0,2969;0,4145;0,2886
26595;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;1;0,2281;0,5226;0,2493
26594;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;1;0,264;0,4486;0,2873
57604;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,2349;0,5179;0,2472
57608;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,2185;0,5467;0,2349
57609;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2414;0,5066;0,252
57610;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2139;0,5546;0,2314
45187;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;1;0,2354;0,5168;0,2478
57611;2020-01-17;T19-20;SP2;Fuenlabrada;Malaga;0;0;0;1;0,2968;0,4147;0,2885
45189;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,2382;0,5209;0,2409
