match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
74231;2022-08-13;T22-23;E1;Cardiff;Birmingham;1;0;1;1;0,2638;0,5075;0,2286
74232;2022-08-13;T22-23;E1;Blackpool;Swansea;0;1;2;1;0,2802;0,4252;0,2947
74233;2022-08-13;T22-23;E1;Huddersfield;Stoke;3;1;1;1;0,2773;0,4164;0,3062
74235;2022-08-13;T22-23;E1;Luton;Preston;0;1;2;1;0,2023;0,595;0,2026
74240;2022-08-14;T22-23;E1;Middlesbrough;Sheffield United;2;2;0;2;0,2732;0,3213;0,4055
74241;2022-08-14;T22-23;E1;Blackburn;West Brom;2;1;1;1;0,2623;0,4884;0,2493
74243;2022-08-16;T22-23;E1;Bristol City;Luton;2;0;1;1;0,2577;0,4781;0,2642
74247;2022-08-16;T22-23;E1;Swansea;Millwall;2;2;0;1;0,287;0,3776;0,3354
74248;2022-08-16;T22-23;E1;QPR;Blackpool;0;1;2;1;0,2354;0,5267;0,2379
74252;2022-08-17;T22-23;E1;West Brom;Cardiff;0;0;0;1;0,2839;0,3929;0,3232
74250;2022-08-17;T22-23;E1;Reading;Blackburn;3;0;1;2;0,2769;0,3551;0,368
74249;2022-08-17;T22-23;E1;Stoke;Middlesbrough;2;2;0;1;0,2723;0,4248;0,3028
60329;2022-08-19;T22-23;D1;M'gladbach;Hertha;1;0;1;1;0,1063;0,7127;0,181
108878;2022-08-20;T22-23;T1;Antalyaspor;Trabzonspor;5;2;1;1;0,2163;0,5551;0,2286
108876;2022-08-20;T22-23;T1;Giresunspor;Kasimpasa;1;0;1;1;0,2004;0,5285;0,271
97018;2022-08-20;T22-23;P1;Porto;Sp Lisbon;3;0;1;1;0,1901;0,5379;0,272
97016;2022-08-20;T22-23;P1;Santa Clara;Arouca;1;2;2;1;0,253;0,5065;0,2405
88058;2022-08-20;T22-23;N1;For Sittard;Cambuur;1;4;2;1;0,2485;0,4331;0,3184
88057;2022-08-20;T22-23;N1;Vitesse;Heerenveen;0;4;2;1;0,2053;0,577;0,2177
79576;2022-08-20;T22-23;F1;Marseille;Nantes;2;1;1;1;0,1006;0,7787;0,1207
79575;2022-08-20;T22-23;F1;Monaco;Lens;1;4;2;1;0,0695;0,8424;0,0881
74262;2022-08-20;T22-23;E1;West Brom;Hull;5;2;1;1;0,2674;0,4688;0,2638
61327;2022-08-20;T22-23;E0;Leicester;Southampton;1;2;2;1;0,0988;0,707;0,1942
74259;2022-08-20;T22-23;E1;Sheffield United;Blackburn;3;0;1;1;0,2614;0,4594;0,2792
74261;2022-08-20;T22-23;E1;Swansea;Luton;0;2;2;1;0,2504;0,4648;0,2848
60332;2022-08-20;T22-23;D1;Leverkusen;Hoffenheim;0;3;2;1;0,1664;0,6844;0,1491
60333;2022-08-20;T22-23;D1;Stuttgart;Freiburg;0;1;2;1;0,2777;0,4112;0,3111
60335;2022-08-20;T22-23;D1;Union Berlin;RB Leipzig;2;1;1;1;0,2276;0,5296;0,2428
60330;2022-08-20;T22-23;D1;Augsburg;Mainz;1;2;2;1;0,2618;0,4371;0,3011
61324;2022-08-20;T22-23;E0;Crystal Palace;Aston Villa;3;1;1;1;0,2741;0,399;0,3269
74258;2022-08-20;T22-23;E1;Reading;Middlesbrough;1;0;1;1;0,2663;0,4281;0,3055
61323;2022-08-20;T22-23;E0;Tottenham;Wolves;1;0;1;1;0,2296;0,5261;0,2443
79583;2022-08-21;T22-23;F1;Lille;Paris SG;1;7;2;2;0,1602;0,4148;0,425
108879;2022-08-21;T22-23;T1;Buyuksehyr;Kayserispor;2;0;1;1;0,1573;0,6877;0,1549
97021;2022-08-21;T22-23;P1;Portimonense;Guimaraes;2;1;1;1;0,2881;0,4057;0,3062
97020;2022-08-21;T22-23;P1;Sp Braga;Maritimo;5;0;1;1;0,1293;0,7421;0,1286
88062;2022-08-21;T22-23;N1;Waalwijk;Feyenoord;0;1;2;2;0,2182;0,2571;0,5247
88061;2022-08-21;T22-23;N1;Sparta Rotterdam;Ajax;0;1;2;2;0,0495;0,0774;0,873
88060;2022-08-21;T22-23;N1;Groningen;Go Ahead Eagles;1;0;1;2;0,0676;0,4464;0,486
79579;2022-08-21;T22-23;F1;Clermont;Nice;1;0;1;1;0,2836;0,4131;0,3033
74263;2022-08-21;T22-23;E1;Bristol City;Cardiff;2;0;1;1;0,2839;0,3994;0,3167
79577;2022-08-21;T22-23;F1;Strasbourg;Reims;1;1;0;1;0,2019;0,6131;0,185
61331;2022-08-21;T22-23;E0;Newcastle;Man City;3;3;0;2;0,1591;0,1516;0,6893
61330;2022-08-21;T22-23;E0;West Ham;Brighton;0;2;2;1;0,2821;0,4156;0,3022
61329;2022-08-21;T22-23;E0;Leeds;Chelsea;3;0;1;2;0,2506;0,3293;0,4201
60337;2022-08-21;T22-23;D1;Bochum;Bayern Munich;0;7;2;2;0,0906;0,0772;0,8322
60336;2022-08-21;T22-23;D1;Ein Frankfurt;FC Koln;1;1;0;1;0,2232;0,5115;0,2653
79578;2022-08-21;T22-23;F1;Angers;Brest;1;3;2;1;0,2584;0,4481;0,2934
61332;2022-08-22;T22-23;E0;Man United;Liverpool;2;1;1;1;0,2602;0,4066;0,3332
97022;2022-08-22;T22-23;P1;Gil Vicente;Famalicao;0;0;0;1;0,2211;0,5599;0,219
108882;2022-08-22;T22-23;T1;Sivasspor;Alanyaspor;1;1;0;1;0,1249;0,6829;0,1922
108883;2022-08-22;T22-23;T1;Fenerbahce;Ad. Demirspor;4;2;1;1;0,0606;0,7784;0,161
108884;2022-08-26;T22-23;T1;Gaziantep;Antalyaspor;5;2;1;1;0,2831;0,3683;0,3486
101070;2022-08-26;T22-23;SP2;Cartagena;Zaragoza;1;0;1;1;0,2465;0,437;0,3165
97023;2022-08-26;T22-23;P1;Pacos Ferreira;Estoril;0;3;2;1;0,2859;0,4195;0,2946
99846;2022-08-26;T22-23;SP1;Betis;Osasuna;1;0;1;1;0,1383;0,6604;0,2013
80642;2022-08-26;T22-23;I1;Lazio;Inter;3;1;1;2;0,1778;0,3739;0,4483
74264;2022-08-26;T22-23;E1;Luton;Sheffield United;1;1;0;1;0,2765;0,4247;0,2989
60338;2022-08-26;T22-23;D1;Freiburg;Bochum;1;0;1;1;0,1105;0,6946;0,1949
88063;2022-08-26;T22-23;N1;Nijmegen;Groningen;1;1;0;1;0,2003;0,514;0,2857
79586;2022-08-27;T22-23;F1;Lens;Rennes;2;1;1;1;0,1181;0,728;0,1539
80644;2022-08-27;T22-23;I1;Juventus;Roma;1;1;0;1;0,1321;0,7513;0,1166
80645;2022-08-27;T22-23;I1;Milan;Bologna;2;0;1;1;0,2828;0,3862;0,331
80646;2022-08-27;T22-23;I1;Spezia;Sassuolo;2;2;0;1;0,2335;0,4656;0,3009
