match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
15751;2020-01-01;T19-20;E0;Brighton;Chelsea;1;1;0;1;0,3069;0,3672;0,3259
15758;2020-01-01;T19-20;E0;West Ham;Bournemouth;4;0;1;1;0,314;0,475;0,211
15757;2020-01-01;T19-20;E0;Norwich;Crystal Palace;1;1;0;2;0,3252;0,2386;0,4362
15756;2020-01-01;T19-20;E0;Man City;Everton;2;1;1;1;0,2026;0,7287;0,0686
15759;2020-01-01;T19-20;E0;Arsenal;Man United;2;0;1;1;0,3055;0,39;0,3045
15754;2020-01-01;T19-20;E0;Southampton;Tottenham;1;0;1;1;0,3326;0,3802;0,2873
15753;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;2;0,2677;0,2274;0,5049
15752;2020-01-01;T19-20;E0;Burnley;Aston Villa;1;2;2;1;0,2762;0,5006;0,2232
15755;2020-01-01;T19-20;E0;Watford;Wolves;2;1;1;2;0,3322;0,2978;0,37
15760;2020-01-02;T19-20;E0;Liverpool;Sheffield United;2;0;1;1;0,169;0,7767;0,0543
44309;2020-01-03;T19-20;SP1;Valladolid;Leganes;2;2;0;1;0,3086;0,5043;0,1871
44310;2020-01-03;T19-20;SP1;Sevilla;Ath Bilbao;1;1;0;1;0,2441;0,6347;0,1211
56130;2020-01-03;T19-20;SP2;Extremadura;Alcorcon;0;0;0;1;0,3197;0,4261;0,2541
56133;2020-01-04;T19-20;SP2;Lugo;Almeria;0;4;2;2;0,2849;0,2449;0,4702
56136;2020-01-04;T19-20;SP2;Mirandes;Santander;0;0;0;1;0,3206;0,381;0,2984
56135;2020-01-04;T19-20;SP2;Elche;Huesca;1;1;0;2;0,2664;0,3158;0,4178
56134;2020-01-04;T19-20;SP2;Tenerife;Albacete;4;2;1;2;0,3042;0,3445;0,3513
56132;2020-01-04;T19-20;SP2;Ponferradina;Cadiz;0;0;0;2;0,2815;0,3071;0,4114
56131;2020-01-04;T19-20;SP2;Fuenlabrada;Las Palmas;0;0;0;1;0,2733;0,3908;0,336
44314;2020-01-04;T19-20;SP1;Espanol;Barcelona;2;2;0;2;0,3019;0,1216;0,5764
44313;2020-01-04;T19-20;SP1;Ath Madrid;Levante;2;1;1;1;0,3112;0,551;0,1378
44312;2020-01-04;T19-20;SP1;Getafe;Real Madrid;0;3;2;2;0,355;0,1929;0,4521
44311;2020-01-04;T19-20;SP1;Valencia;Eibar;1;0;1;1;0,2508;0,5781;0,1711
56139;2020-01-05;T19-20;SP2;Oviedo;Malaga;1;1;0;1;0,3354;0,3431;0,3214
44318;2020-01-05;T19-20;SP1;Celta;Osasuna;1;1;0;2;0,2678;0,3417;0,3905
56138;2020-01-05;T19-20;SP2;Vallecano;Girona;1;0;1;1;0,242;0,6721;0,0859
44316;2020-01-05;T19-20;SP1;Sociedad;Villarreal;1;2;2;1;0,3032;0,5252;0,1716
34312;2020-01-05;T19-20;I1;Genoa;Sassuolo;2;1;1;1;0,3252;0,3523;0,3225
44317;2020-01-05;T19-20;SP1;Alaves;Betis;1;1;0;1;0,3128;0,4198;0,2674
34315;2020-01-06;T19-20;I1;Atalanta;Parma;5;0;1;1;0,1745;0,7474;0,078
15761;2020-01-10;T19-20;E0;Sheffield United;West Ham;1;0;1;1;0,231;0,6398;0,1292
15768;2020-01-11;T19-20;E0;Tottenham;Liverpool;0;1;2;2;0,2216;0,1715;0,6068
34322;2020-01-11;T19-20;I1;Inter;Atalanta;1;1;0;1;0,1837;0,5809;0,2354
34321;2020-01-11;T19-20;I1;Lazio;Napoli;1;0;1;1;0,2913;0,58;0,1287
34320;2020-01-11;T19-20;I1;Cagliari;Milan;0;2;2;2;0,2828;0,3298;0,3874
15767;2020-01-11;T19-20;E0;Wolves;Newcastle;1;1;0;1;0,2851;0,5558;0,1591
15766;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,242;0,6223;0,1357
15765;2020-01-11;T19-20;E0;Leicester;Southampton;1;2;2;1;0,2649;0,6158;0,1193
15764;2020-01-11;T19-20;E0;Everton;Brighton;1;0;1;1;0,2896;0,541;0,1693
15763;2020-01-11;T19-20;E0;Chelsea;Burnley;3;0;1;1;0,2149;0,6926;0,0925
15762;2020-01-11;T19-20;E0;Crystal Palace;Arsenal;1;1;0;1;0,2807;0,3842;0,3351
34328;2020-01-12;T19-20;I1;Roma;Juventus;1;2;2;2;0,2935;0,2601;0,4463
34327;2020-01-12;T19-20;I1;Verona;Genoa;2;1;1;1;0,3368;0,4169;0,2463
34325;2020-01-12;T19-20;I1;Sampdoria;Brescia;5;1;1;1;0,3196;0,492;0,1884
34326;2020-01-12;T19-20;I1;Torino;Bologna;1;0;1;1;0,3317;0,3874;0,2808
34323;2020-01-12;T19-20;I1;Udinese;Sassuolo;3;0;1;1;0,2978;0,3895;0,3127
15770;2020-01-12;T19-20;E0;Aston Villa;Man City;1;6;2;2;0,2394;0,2226;0,538
15769;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,3125;0,4685;0,219
34324;2020-01-12;T19-20;I1;Fiorentina;Spal;1;0;1;1;0,2736;0,625;0,1014
34329;2020-01-13;T19-20;I1;Parma;Lecce;2;0;1;1;0,2601;0,6529;0,0869
56142;2020-01-14;T19-20;SP2;Sp Gijon;Elche;1;0;1;1;0,2936;0,5156;0,1908
56143;2020-01-14;T19-20;SP2;Malaga;Ponferradina;1;0;1;1;0,3152;0,4821;0,2027
56144;2020-01-14;T19-20;SP2;Las Palmas;Zaragoza;0;1;2;1;0,2452;0,6327;0,122
56147;2020-01-15;T19-20;SP2;Vallecano;Lugo;1;0;1;1;0,2407;0,5949;0,1644
56148;2020-01-15;T19-20;SP2;Cadiz;Mirandes;3;3;0;1;0,295;0,5881;0,1169
56146;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,2761;0,6276;0,0964
26030;2020-01-15;T19-20;F1;Nimes;Rennes;0;1;2;2;0,2818;0,2796;0,4386
26031;2020-01-15;T19-20;F1;Monaco;Paris SG;1;4;2;2;0,2012;0,2394;0,5594
26029;2020-01-15;T19-20;F1;Amiens;Reims;1;1;0;2;0,2774;0,3168;0,4058
56145;2020-01-15;T19-20;SP2;Alcorcon;Numancia;2;2;0;1;0,3069;0,4327;0,2604
56149;2020-01-16;T19-20;SP2;La Coruna;Santander;2;1;1;1;0,3219;0,4267;0,2514
56150;2020-01-16;T19-20;SP2;Girona;Extremadura;3;1;1;1;0,2765;0,5057;0,2178
56151;2020-01-16;T19-20;SP2;Almeria;Oviedo;2;0;1;1;0,2485;0,647;0,1045
44319;2020-01-17;T19-20;SP1;Leganes;Getafe;0;3;2;2;0,3324;0,304;0,3636
34332;2020-01-18;T19-20;I1;Napoli;Fiorentina;0;2;2;1;0,2395;0,6098;0,1507
56155;2020-01-18;T19-20;SP2;Ponferradina;Vallecano;1;1;0;1;0,3003;0,3893;0,3104
56154;2020-01-18;T19-20;SP2;Lugo;Albacete;1;0;1;1;0,3257;0,3905;0,2837
44323;2020-01-18;T19-20;SP1;Eibar;Ath Madrid;2;0;1;2;0,3001;0,3251;0,3748
44322;2020-01-18;T19-20;SP1;Osasuna;Valladolid;0;0;0;1;0,277;0,5302;0,1928
44321;2020-01-18;T19-20;SP1;Real Madrid;Sevilla;2;1;1;1;0,2166;0,5751;0,2083
44320;2020-01-18;T19-20;SP1;Levante;Alaves;0;1;2;1;0,2432;0,5927;0,1641
