match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
6388;2021-04-23;T20-21;D1;Augsburg;FC Koln;2;3;2;1;0,0543;0,5783;0,3673
6140;2020-10-03;T20-21;D1;Ein Frankfurt;Hoffenheim;2;1;1;1;0,0041;0,8214;0,1745
57884;2020-10-21;T20-21;SP2;Lugo;Girona;3;0;1;1;0,0227;0,8714;0,1059
58188;2021-04-11;T20-21;SP2;Mallorca;Lugo;2;0;1;1;0,0041;0,9241;0,0718
35601;2021-04-25;T20-21;I1;Inter;Verona;1;0;1;1;0,0908;0,859;0,0502
15971;2020-01-01;T19-20;E0;Newcastle;Leicester;0;3;2;1;0,1044;0,5485;0,3471
26932;2021-02-21;T20-21;F1;Paris SG;Monaco;0;2;2;1;0,1404;0,4617;0,3978
6168;2020-10-31;T20-21;D1;Ein Frankfurt;Werder Bremen;1;1;0;1;0,046;0,7664;0,1876
58007;2020-12-10;T20-21;SP2;Girona;Logrones;2;0;1;1;0,0;0,9777;0,0222
26843;2021-01-06;T20-21;F1;Brest;Nice;2;0;1;1;0,0242;0,6433;0,3326
16384;2021-02-15;T20-21;E0;Chelsea;Newcastle;2;0;1;1;0,019;0,5753;0,4057
6274;2021-01-23;T20-21;D1;Augsburg;Union Berlin;2;1;1;1;0,1067;0,6009;0,2924
16049;2020-03-07;T19-20;E0;Arsenal;West Ham;1;0;1;1;0,1245;0,489;0,3865
45706;2021-04-29;T20-21;SP1;Barcelona;Granada;1;2;2;1;0,1689;0,6924;0,1387
35463;2021-01-24;T20-21;I1;Verona;Napoli;3;1;1;1;0,1523;0,617;0,2307
58163;2021-03-30;T20-21;SP2;Ponferradina;Logrones;2;2;0;1;0,1187;0,504;0,3772
15984;2020-01-11;T19-20;E0;Man United;Norwich;4;0;1;1;0,1966;0,4216;0,3818
58223;2021-05-02;T20-21;SP2;Castellon;Logrones;0;0;0;1;0,1558;0,4916;0,3526
58052;2021-01-23;T20-21;SP2;Vallecano;Mallorca;1;3;2;1;0,0731;0,6376;0,2893
57605;2020-01-15;T19-20;SP2;Huesca;Tenerife;2;1;1;1;0,0021;0,8967;0,1012
6158;2020-10-24;T20-21;D1;Mainz;M'gladbach;2;3;2;1;0,0385;0,5446;0,4169
6173;2020-11-02;T20-21;D1;Hoffenheim;Union Berlin;1;3;2;1;0,0403;0,7555;0,2042
35512;2021-02-28;T20-21;I1;Udinese;Fiorentina;1;0;1;1;0,0081;0,907;0,0849
26764;2020-11-07;T20-21;F1;Bordeaux;Montpellier;0;2;2;1;0,0949;0,6605;0,2447
6275;2021-01-23;T20-21;D1;Bielefeld;Ein Frankfurt;1;5;2;1;0,1154;0,606;0,2786
45565;2021-01-23;T20-21;SP1;Sociedad;Betis;2;2;0;1;0,0072;0,6525;0,3402
57659;2020-02-16;T19-20;SP2;Fuenlabrada;Lugo;0;1;2;1;0,131;0,8295;0,0395
15987;2020-01-12;T19-20;E0;Bournemouth;Watford;0;3;2;1;0,0613;0,7299;0,2088
45703;2021-04-25;T20-21;SP1;Ath Bilbao;Ath Madrid;2;1;1;1;0,1537;0,5288;0,3174
5998;2020-02-08;T19-20;D1;Werder Bremen;Union Berlin;0;2;2;1;0,0203;0,8718;0,1079
45648;2021-03-20;T20-21;SP1;Ath Bilbao;Eibar;1;1;0;1;0,0799;0,7186;0,2016
16256;2020-12-07;T20-21;E0;Brighton;Southampton;1;2;2;1;0,1552;0,5056;0,3392
6104;2020-06-20;T19-20;D1;Fortuna Dusseldorf;Augsburg;1;1;0;1;0,1686;0,5841;0,2474
16361;2021-02-03;T20-21;E0;Leeds;Everton;1;2;2;1;0,04;0,7735;0,1865
6069;2020-05-30;T19-20;D1;Wolfsburg;Ein Frankfurt;1;2;2;1;0,0841;0,5277;0,3882
58168;2021-04-01;T20-21;SP2;Mallorca;Leganes;1;0;1;1;0,0744;0,5598;0,3657
26997;2021-04-17;T20-21;F1;Marseille;Lorient;3;2;1;1;0,0139;0,6314;0,3547
