version;datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;len_test;len_train;len_val;lr;n_a;n_d;n_independent;n_shared;n_steps
0;2024-05-26 16:40:34.329349;0,2461;;512;0,1342093268411143;0,7732682125119643;1,7090648677167115;0,036414864869262493;64;64;64;0,0024670454227103933;14;37;2;2;4
1;2024-05-26 16:40:42.037927;0,2709;;8192;0,7161143012337357;0,5187532079783728;1,6929588673547764;0,05252648577871741;64;64;64;0,41057124283231045;13;12;5;5;3
2;2024-05-26 16:40:46.623303;0,2267;;8192;0,2796001840624696;0,9221633745969919;1,2599131522966045;0,015383413780035722;64;64;64;0,0032607068204311457;11;15;5;4;7
3;2024-05-26 16:40:59.132519;0,2068;;512;0,9031019765933868;0,9626433766127019;1,0611208742952294;0,03003508453876277;64;64;64;0,24347615737534323;18;11;1;1;3
4;2024-05-26 16:41:00.541708;0,267;;8192;0,26527205080790417;0,25730315411620996;1,0437156096533913;0,02392583719289753;64;64;64;0,0177781949847031;10;11;4;4;8
5;2024-05-26 16:41:10.613990;0,2422;;8192;0,1434705587486234;0,4436758651152455;1,3750178036701044;0,07573952008979487;64;64;64;0,8007349677773904;16;21;5;2;9
6;2024-05-26 16:41:16.316531;0,2541;;4096;0,6010521638625999;0,6434943789515893;1,6769242527719657;0,017943783105663257;64;64;64;0,03662312466385547;11;39;4;2;9
7;2024-05-26 16:41:26.261761;0,1953;;2048;0,568569513607618;0,6203990400589724;1,1080768001462076;0,09789835721797305;64;64;64;0,0362173163374714;8;9;2;5;4
8;2024-05-26 16:41:32.474010;0,1975;;1024;0,11551968391619817;0,9906116424282826;1,9145167104818666;0,0649469208212749;64;64;64;0,005996528381297332;35;9;2;1;4
9;2024-05-26 16:41:35.126406;0,2422;;4096;0,2508602386333744;0,9442276895169723;1,1295558734949218;0,08146808558375253;64;64;64;0,20195256130601416;21;35;2;2;10
10;2024-05-26 16:41:38.695843;0,235;;2048;0,4668957890492261;0,24011099048531903;1,2036416108277148;0,09823849086816652;64;64;64;0,050433011335301176;8;8;1;5;6
11;2024-05-26 16:41:44.145338;0,1886;0,421875;1024;0,4134436182214032;0,7505880152060664;1,9272651782064183;0,06254540985413448;64;64;64;0,008656608356258515;37;8;2;1;5
12;2024-05-26 16:41:50.743324;0,2718;;2048;0,4493268528131719;0,7032554557272431;1,4394796539750658;0,0967192102884966;64;64;64;0,001067208705108448;33;8;3;3;5
13;2024-05-26 16:41:57.899325;0,2329;;1024;0,5976505694510952;0,7800920892422973;1,9354629769457847;0,04906589702724355;64;64;64;0,012639182936486314;59;15;3;4;5
14;2024-05-26 16:42:07.530200;0,2464;;2048;0,4117784969153037;0,5636512105068091;1,4487301141304525;0,07665653952801292;64;64;64;0,07692282335492068;8;8;2;3;6
15;2024-05-26 16:42:12.036309;0,2033;;1024;0,7510263752417453;0,8197576495325634;1,2972838800605488;0,08563374058953957;64;64;64;0,011922770148867405;27;53;1;5;5
16;2024-05-26 16:42:20.775586;0,1897;;2048;0,5421227053969466;0,6443781610921815;1,0242770676321826;0,0653280975664852;64;64;64;0,022950187889291106;24;17;3;1;4
17;2024-05-26 16:42:24.711957;0,2716;;1024;0,3931241863008317;0,45111906603632657;1,0158480226043438;0,05970988035909925;64;64;64;0,007404249966655989;25;22;4;1;7
18;2024-05-26 16:42:28.429224;0,2205;;2048;0,3419920438059245;0,845895062257161;1,1667402901009798;0,043047914793584344;64;64;64;0,01987157819651589;44;19;3;1;3
19;2024-05-26 16:42:32.464188;0,2303;;1024;0,4956712001716962;0,6878951376162462;1,5470661333685456;0,06370480966233177;64;64;64;0,0846092747533331;22;25;3;1;5
