match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
34814;2021-04-11;T20-21;I1;Juventus;Genoa;3;1;1;0;0,6095;0,3724;0,0181
34661;2021-01-03;T20-21;I1;Cagliari;Napoli;1;4;2;0;0,914;0,0764;0,0096
56714;2021-04-03;T20-21;SP2;Girona;Ponferradina;3;1;1;0;0,9996;0,0004;0,0
15879;2020-07-05;T19-20;E0;Liverpool;Aston Villa;2;0;1;1;1e-04;0,9715;0,0283
56294;2020-06-29;T19-20;SP2;Alcorcon;Vallecano;3;2;1;1;0,0002;0,9635;0,0363
44845;2021-05-02;T20-21;SP1;Villarreal;Getafe;1;0;1;0;0,9999;1e-04;0,0
16088;2021-01-01;T20-21;E0;Man United;Aston Villa;2;1;1;1;0,0007;0,9927;0,0066
16217;2021-03-15;T20-21;E0;Wolves;Liverpool;0;1;2;0;1,0;0,0;0,0
34471;2020-07-18;T19-20;I1;Verona;Atalanta;1;1;0;1;0,1479;0,6798;0,1723
56637;2021-02-19;T20-21;SP2;Ponferradina;Mirandes;1;0;1;2;0,0;0,0;1,0
16128;2021-01-30;T20-21;E0;Crystal Palace;Wolves;1;0;1;1;0,0991;0,9003;0,0006
34459;2020-07-12;T19-20;I1;Napoli;Milan;2;2;0;1;0,0012;0,9154;0,0834
56212;2020-02-22;T19-20;SP2;Albacete;Numancia;2;1;1;1;0,1082;0,8853;0,0066
16239;2021-04-11;T20-21;E0;Sheffield United;Arsenal;0;3;2;1;0,0003;0,9997;0,0
44782;2021-03-20;T20-21;SP1;Huesca;Osasuna;0;0;0;1;0,0;0,9984;0,0016
15924;2020-07-26;T19-20;E0;Chelsea;Wolves;2;0;1;0;0,6073;0,2006;0,1921
