match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction;draw;home;away
6260;2021-04-23;T20-21;D1;Augsburg;FC Koln;2;3;2,0;2;0,0;0,0;1,0
26100;2020-03-01;T19-20;F1;Bordeaux;Nice;1;1;0,0;1;0,0;1,0;0,0
56549;2020-12-11;T20-21;SP2;Lugo;Ponferradina;1;0;1,0;1;0,0;1,0;0,0
15805;2020-02-14;T19-20;E0;Wolves;Leicester;0;0;0,0;2;0,0;0,0;1,0
6130;2021-01-16;T20-21;D1;Hoffenheim;Bielefeld;0;0;0,0;1;0,0;1,0;0,0
5859;2020-02-01;T19-20;D1;Dortmund;Union Berlin;5;0;1,0;1;0,0;1,0;0,0
34359;2020-02-03;T19-20;I1;Sampdoria;Napoli;2;4;2,0;1;0,0;1,0;0,0
16147;2021-02-06;T20-21;E0;Aston Villa;Arsenal;1;0;1,0;1;0,0;1,0;0,0
34500;2020-07-26;T19-20;I1;Juventus;Sampdoria;2;0;1,0;1;0,0;1,0;0,0
44517;2020-09-19;T20-21;SP1;Getafe;Osasuna;1;0;1,0;1;0,0;1,0;0,0
6017;2020-10-04;T20-21;D1;Wolfsburg;Augsburg;0;0;0,0;1;0,0;1,0;0,0
56727;2021-04-11;T20-21;SP2;Malaga;Albacete;2;0;1,0;1;0,0;1,0;0,0
6085;2020-12-12;T20-21;D1;Mainz;FC Koln;0;1;2,0;1;0,0;1,0;0,0
34688;2021-01-11;T20-21;I1;Spezia;Sampdoria;2;1;1,0;1;0,0;1,0;0,0
34507;2020-07-29;T19-20;I1;Verona;Spal;3;0;1,0;1;0,0;1,0;0,0
16223;2021-04-03;T20-21;E0;Leeds;Sheffield United;2;1;1,0;1;0,0;1,0;0,0
26038;2020-01-25;T19-20;F1;St Etienne;Nimes;2;1;1,0;1;0,0;1,0;0,0
26451;2021-04-30;T20-21;F1;Marseille;Strasbourg;1;1;0,0;1;0,0;1,0;0,0
56191;2020-02-09;T19-20;SP2;Sp Gijon;Mirandes;2;2;0,0;1;0,0;1,0;0,0
56740;2021-04-17;T20-21;SP2;Sp Gijon;Oviedo;0;1;2,0;1;0,0;1,0;0,0
26490;2021-05-23;T20-21;F1;Strasbourg;Lorient;1;1;0,0;1;0,0;1,0;0,0
6026;2020-10-18;T20-21;D1;FC Koln;Ein Frankfurt;1;1;0,0;1;0,0;1,0;0,0
26077;2020-02-15;T19-20;F1;Toulouse;Nice;0;2;2,0;1;0,0;0,9828;0,0172
56522;2020-11-29;T20-21;SP2;Las Palmas;Sp Gijon;3;2;1,0;1;0,0;1,0;0,0
16259;2021-04-26;T20-21;E0;Leicester;Crystal Palace;2;1;1,0;1;0,0;1,0;0,0
26344;2021-02-07;T20-21;F1;Nimes;Monaco;3;4;2,0;1;0,0;1,0;0,0
44404;2020-06-13;T19-20;SP1;Leganes;Valladolid;1;2;2,0;1;0,0;1,0;0,0
34746;2021-02-21;T20-21;I1;Milan;Inter;0;3;2,0;1;0,0;1,0;0,0
44348;2020-02-02;T19-20;SP1;Barcelona;Levante;2;1;1,0;1;0,0;1,0;0,0
44453;2020-07-01;T19-20;SP1;Valencia;Ath Bilbao;0;2;2,0;1;0,0;1,0;0,0
6169;2021-02-06;T20-21;D1;M'gladbach;FC Koln;1;2;2,0;1;0,0;1,0;0,0
5994;2020-09-19;T20-21;D1;FC Koln;Hoffenheim;2;3;2,0;1;0,0;1,0;0,0
