2024-02-09 18:42:58,026 - root - WARNING - leagues: ['esp', 'ing', 'ger', 'fra']
2024-02-09 18:42:58,028 - root - WARNING - seasons: ['1718']
2024-02-09 18:43:00,979 - root - INFO - Scrapping...
2024-02-09 18:43:00,981 - root - INFO - Saving cached data to F:\TFG\code\scrapping\cache
2024-02-09 18:43:06,814 - root - INFO - reading schedule...
2024-02-09 18:43:06,816 - root - DEBUG - Retrieving https://www.whoscored.com from cache
2024-02-09 18:43:06,824 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/252/Tournaments/2/England-Premier-League from cache
2024-02-09 18:43:06,844 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/206/Tournaments/4/Spain-LaLiga from cache
2024-02-09 18:43:06,862 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/74/Tournaments/22/France-Ligue-1 from cache
2024-02-09 18:43:06,882 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/81/Tournaments/3/Germany-Bundesliga from cache
2024-02-09 18:43:11,451 - root - INFO - Scraping game schedule from https://www.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2024-02-09 18:43:11,512 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:11,596 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:43:11,832 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:43:12,090 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:43:12,169 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:43:12,304 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:43:12,796 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:43:12,939 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:43:13,311 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:43:18,714 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:18,773 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:43:18,970 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:43:19,161 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:43:19,229 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:43:19,332 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:43:19,699 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:43:19,805 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:43:20,076 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:43:25,394 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:25,454 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:43:25,648 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:43:25,834 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:43:25,894 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:43:26,000 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:43:26,366 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:43:26,473 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:43:26,753 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:43:32,105 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:32,184 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:43:32,388 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:43:32,578 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:43:32,637 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:43:32,749 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:43:33,098 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:43:33,198 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:43:33,482 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:43:38,943 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:39,004 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:43:39,200 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:43:39,418 - root - INFO - Scraping game schedule for Monday, May 7 2018
