
Fold 1/5: loss train: 0.63, accuracy train: 0.49, accuracy test: 0.50
Fold 2/5: loss train: 0.60, accuracy train: 0.46, accuracy test: 0.43
Fold 3/5: loss train: 0.61, accuracy train: 0.49, accuracy test: 0.47
Fold 4/5: loss train: 0.61, accuracy train: 0.49, accuracy test: 0.48
Fold 5/5: loss train: 0.62, accuracy train: 0.49, accuracy test: 0.47
Fold 1/5: loss train: 0.65, accuracy train: 0.48, accuracy test: 0.49
Fold 2/5: loss train: 0.65, accuracy train: 0.49, accuracy test: 0.49
Fold 3/5: loss train: 0.62, accuracy train: 0.49, accuracy test: 0.48
Fold 4/5: loss train: 0.60, accuracy train: 0.49, accuracy test: 0.45
Fold 5/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.51
Fold 1/5: loss train: 0.54, accuracy train: 0.48, accuracy test: 0.50
Fold 2/5: loss train: 0.61, accuracy train: 0.47, accuracy test: 0.43
Fold 3/5: loss train: 0.64, accuracy train: 0.49, accuracy test: 0.47
Fold 4/5: loss train: 0.64, accuracy train: 0.46, accuracy test: 0.45
Fold 5/5: loss train: 0.60, accuracy train: 0.47, accuracy test: 0.49
Fold 1/5: loss train: 0.54, accuracy train: 0.48, accuracy test: 0.50
Fold 2/5: loss train: 0.61, accuracy train: 0.47, accuracy test: 0.43
Fold 3/5: loss train: 0.64, accuracy train: 0.49, accuracy test: 0.47
Fold 4/5: loss train: 0.64, accuracy train: 0.46, accuracy test: 0.45
Fold 5/5: loss train: 0.60, accuracy train: 0.47, accuracy test: 0.49
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
Fold 5/5: loss train: 0.66, accuracy train: 0.26, accuracy test: 0.31
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
Fold 5/5: loss train: 0.66, accuracy train: 0.26, accuracy test: 0.31
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
Fold 5/5: loss train: 0.66, accuracy train: 0.26, accuracy test: 0.31
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
Fold 5/5: loss train: 0.66, accuracy train: 0.26, accuracy test: 0.31
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
Fold 5/5: loss train: 0.66, accuracy train: 0.26, accuracy test: 0.31
Fold 1/5: loss train: 0.68, accuracy train: 0.25, accuracy test: 0.26
Fold 2/5: loss train: 0.63, accuracy train: 0.48, accuracy test: 0.46
Fold 3/5: loss train: 0.64, accuracy train: 0.31, accuracy test: 0.30
Fold 4/5: loss train: 0.68, accuracy train: 0.27, accuracy test: 0.34
