Fold 1/5: loss train: 0.60, accuracy train: 0.43, accuracy test: 0.52
Fold 2/5: loss train: 0.62, accuracy train: 0.40, accuracy test: 0.38
Fold 3/5: loss train: 0.65, accuracy train: 0.46, accuracy test: 0.44
Fold 4/5: loss train: 0.63, accuracy train: 0.46, accuracy test: 0.45
Fold 5/5: loss train: 0.65, accuracy train: 0.37, accuracy test: 0.28
Fold 1/5: loss train: 0.60, accuracy train: 0.43, accuracy test: 0.52
Fold 2/5: loss train: 0.62, accuracy train: 0.40, accuracy test: 0.38
Fold 3/5: loss train: 0.65, accuracy train: 0.46, accuracy test: 0.44
Fold 4/5: loss train: 0.63, accuracy train: 0.46, accuracy test: 0.45
Fold 5/5: loss train: 0.65, accuracy train: 0.37, accuracy test: 0.28
Fold 1/5: loss train: 0.60, accuracy train: 0.43, accuracy test: 0.52
Fold 2/5: loss train: 0.62, accuracy train: 0.40, accuracy test: 0.38
Fold 3/5: loss train: 0.65, accuracy train: 0.46, accuracy test: 0.44
Fold 4/5: loss train: 0.63, accuracy train: 0.46, accuracy test: 0.45
