ptsH,ptsA,goalsH,goalsA,HS,AS,HST,AST,HC,AC,HF,AF,res
28.0,14.0,36.0,11.0,191.0,106.0,82.0,40.0,62.0,47.0,83.0,131.0,1
23.0,13.0,26.0,11.0,155.0,115.0,62.0,45.0,46.0,41.0,132.0,117.0,1
11.0,10.0,12.0,10.0,112.0,114.0,45.0,37.0,47.0,53.0,127.0,124.0,-1
17.0,11.0,10.0,12.0,123.0,122.0,34.0,40.0,38.0,42.0,130.0,146.0,-1
21.0,10.0,17.0,13.0,117.0,95.0,51.0,35.0,33.0,31.0,147.0,139.0,-1
14.0,4.0,11.0,7.0,148.0,118.0,53.0,48.0,63.0,33.0,116.0,133.0,-1
12.0,5.0,11.0,4.0,147.0,112.0,46.0,37.0,73.0,41.0,142.0,120.0,-1
14.0,10.0,11.0,12.0,151.0,115.0,49.0,48.0,41.0,45.0,140.0,165.0,-1
9.0,7.0,12.0,12.0,123.0,94.0,38.0,24.0,41.0,43.0,133.0,132.0,1
21.0,7.0,19.0,11.0,152.0,93.0,52.0,37.0,55.0,38.0,111.0,164.0,-1
12.0,10.0,17.0,5.0,161.0,82.0,61.0,24.0,49.0,41.0,129.0,124.0,0
13.0,24.0,17.0,22.0,113.0,143.0,42.0,53.0,46.0,60.0,135.0,125.0,1
20.0,20.0,15.0,19.0,148.0,145.0,55.0,48.0,63.0,39.0,140.0,115.0,0
18.0,8.0,18.0,12.0,145.0,92.0,53.0,32.0,60.0,37.0,123.0,139.0,1
18.0,6.0,16.0,6.0,123.0,85.0,43.0,33.0,55.0,44.0,154.0,141.0,1
14.0,15.0,14.0,15.0,138.0,119.0,48.0,48.0,60.0,48.0,116.0,162.0,0
13.0,15.0,16.0,12.0,149.0,88.0,49.0,40.0,51.0,33.0,132.0,143.0,-1
15.0,10.0,7.0,17.0,103.0,119.0,36.0,46.0,49.0,40.0,131.0,157.0,1
22.0,12.0,18.0,12.0,145.0,108.0,56.0,43.0,59.0,42.0,146.0,117.0,1
12.0,10.0,9.0,10.0,142.0,111.0,43.0,37.0,39.0,46.0,131.0,124.0,-1
15.0,11.0,13.0,11.0,137.0,105.0,49.0,41.0,59.0,48.0,117.0,129.0,1
28.0,11.0,35.0,13.0,195.0,91.0,82.0,35.0,67.0,34.0,90.0,151.0,-1
13.0,10.0,12.0,10.0,112.0,118.0,43.0,40.0,50.0,42.0,132.0,148.0,0
14.0,7.0,7.0,11.0,124.0,90.0,30.0,23.0,42.0,48.0,128.0,132.0,-1
21.0,7.0,17.0,7.0,121.0,110.0,54.0,38.0,36.0,42.0,154.0,121.0,-1
10.0,3.0,14.0,3.0,133.0,78.0,45.0,29.0,43.0,44.0,133.0,143.0,1
20.0,4.0,24.0,7.0,155.0,117.0,61.0,48.0,44.0,32.0,125.0,138.0,0
12.0,15.0,15.0,17.0,117.0,110.0,41.0,48.0,44.0,46.0,141.0,159.0,1
12.0,7.0,13.0,12.0,137.0,103.0,46.0,39.0,62.0,38.0,113.0,161.0,-1
19.0,21.0,19.0,20.0,146.0,146.0,49.0,49.0,51.0,36.0,117.0,116.0,-1
15.0,7.0,17.0,12.0,161.0,120.0,59.0,41.0,49.0,44.0,131.0,160.0,1
18.0,15.0,16.0,11.0,122.0,94.0,43.0,44.0,59.0,37.0,163.0,135.0,-1
12.0,8.0,13.0,13.0,157.0,93.0,53.0,35.0,74.0,36.0,144.0,132.0,-1
