wyId,competitionId,seasonId,roundId,dateutc,winner,teamId_home,score_home,scoreHT_home,teamId_away,score_away,scoreHT_away,HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A
2576335,524,181248,4406278,2018-05-20 18:45:00,3161,3162,2,2,3161,3,1,14,15,4,6,10,4,12,13,2.4,3.5,2.9
2576336,524,181248,4406278,2018-05-20 18:45:00,3158,3315,0,0,3158,1,1,16,15,3,6,5,9,14,8,4.0,3.8,1.85
2576329,524,181248,4406278,2018-05-20 16:00:00,3173,3173,1,0,3172,0,0,6,12,4,4,5,11,17,14,3.1,3.6,2.25
2576330,524,181248,4406278,2018-05-20 16:00:00,3165,3165,1,0,3219,0,0,8,12,5,1,2,4,13,9,1.53,4.5,5.75
2576331,524,181248,4406278,2018-05-20 16:00:00,3163,3163,1,1,3166,0,0,20,8,5,5,10,2,9,11,1.53,4.33,6.0
2576332,524,181248,4406278,2018-05-20 16:00:00,3187,3187,2,2,3197,1,0,19,9,9,4,6,9,3,9,1.5,4.75,5.75
2576333,524,181248,4406278,2018-05-20 16:00:00,3157,3157,5,2,3176,1,1,18,9,11,3,6,1,10,5,1.83,3.8,4.2
2576337,524,181248,4406278,2018-05-20 16:00:00,3204,3204,3,1,3164,1,0,16,9,6,3,5,3,10,11,1.61,4.0,5.5
2576338,524,181248,4406278,2018-05-20 13:00:00,3185,3193,1,0,3185,2,1,12,4,2,2,7,3,10,11,2.62,3.5,2.62
2576334,524,181248,4406278,2018-05-19 13:00:00,3159,3159,2,0,3194,1,0,26,9,13,3,11,5,13,11,1.1,11.0,21.0
2576322,524,181248,4406278,2018-05-13 18:45:00,0,3158,0,0,3159,0,0,9,7,2,0,4,3,10,13,2.37,3.0,3.39
2576325,524,181248,4406278,2018-05-13 18:45:00,3187,3164,0,0,3187,2,0,11,17,2,9,3,12,13,6,5.25,4.2,1.61
2576324,524,181248,4406278,2018-05-13 16:00:00,0,3172,1,0,3157,1,0,24,5,5,2,3,8,21,10,1.9,3.6,4.0
2576319,524,181248,4406278,2018-05-13 13:00:00,3173,3176,0,0,3173,1,1,14,14,0,2,11,5,15,17,1.5,4.33,6.5
2576320,524,181248,4406278,2018-05-13 13:00:00,3165,3166,1,1,3165,2,0,7,13,3,7,2,7,13,14,3.1,3.0,2.54
2576323,524,181248,4406278,2018-05-13 13:00:00,0,3197,2,1,3162,2,1,6,18,3,7,2,9,12,15,4.0,3.5,1.95
2576327,524,181248,4406278,2018-05-13 13:00:00,3185,3185,2,0,3204,1,1,18,10,10,4,4,6,16,14,2.29,3.29,3.2
2576328,524,181248,4406278,2018-05-13 13:00:00,3163,3194,0,0,3163,1,1,11,13,1,5,3,5,15,17,6.5,4.33,1.5
2576326,524,181248,4406278,2018-05-12 18:45:00,3315,3161,1,0,3315,2,1,16,13,8,5,16,2,9,5,1.16,8.0,15.0
2576321,524,181248,4406278,2018-05-12 16:00:00,3219,3219,1,0,3193,0,0,14,13,3,5,6,3,17,7,2.62,3.5,2.62
2576316,524,181248,4406278,2018-05-06 18:45:00,3158,3173,0,0,3158,1,1,12,9,3,1,9,3,20,9,9.0,4.5,1.39
2576317,524,181248,4406278,2018-05-06 16:00:00,3315,3315,1,0,3164,0,0,18,2,7,0,9,6,7,21,2.29,3.25,3.25
2576309,524,181248,4406278,2018-05-06 13:00:00,0,3162,1,1,3172,1,1,13,20,2,6,6,9,7,8,2.04,3.6,3.5
2576310,524,181248,4406278,2018-05-06 13:00:00,3204,3204,2,1,3219,0,0,6,12,4,3,1,4,16,22,1.5,4.33,6.5
2576312,524,181248,4406278,2018-05-06 13:00:00,3165,3165,2,1,3197,1,0,11,13,3,3,8,4,15,14,2.29,3.2,3.25
2576313,524,181248,4406278,2018-05-06 13:00:00,3176,3193,2,0,3176,3,1,7,19,3,10,3,7,8,16,4.0,3.39,2.0
2576318,524,181248,4406278,2018-05-06 13:00:00,0,3187,2,1,3185,2,0,19,5,5,2,4,2,10,20,1.22,6.5,13.0
2576315,524,181248,4406278,2018-05-06 10:30:00,3161,3163,0,0,3161,4,3,9,26,2,12,5,9,13,7,6.0,4.0,1.55
2576311,524,181248,4406278,2018-05-05 18:45:00,3159,3159,3,0,3166,1,1,15,6,6,3,5,2,12,13,1.14,8.5,19.0
