wyId;mins4_H;mins4_A;shots_11H;shots_11A;shots_acc_11H;shots_acc_11A;goals_H;goals_A;goals_ratio_H;goals_ratio_A;passes_11H;passes_11A;passes_acc_11H;passes_acc_11A;keyPasses_H;keyPasses_A;ataque_h;defensa_h;ataque_a;defensa_a;ataquedefensa_H;ataquedefensa_A
2499980;60.63636363636363;68.06818181818181;26;23;0.2307692307692307;0.4782608695652174;3;4;1.0;0.8;771;1101;0.7937743190661478;0.8256130790190735;1;6;1.2000000000000002;1.04;1.16;1.7200000000000004;0.9833333333333334;1.122072072072072
2500869;65.63636363636364;70.56818181818181;31;10;0.3548387096774194;0.4;5;0;0.8333333333333334;0.0;1203;534;0.8478802992518704;0.799625468164794;5;3;2.2;0.28;0.16;2.640000000000001;0.9691489361702128;0.973809523809524
2500045;66.25;51.84090909090909;32;32;0.4375;0.375;3;3;0.25;0.75;1564;1594;0.8964194373401535;0.8299874529485571;4;11;2.5200000000000005;0.36;1.5600000000000005;1.5200000000000002;1.9355072463768117;1.3602564102564103
2516950;64.13636363636364;43.29545454545455;43;20;0.3953488372093023;0.35;5;2;0.8333333333333334;1.0;1336;971;0.811377245508982;0.7631307929969104;10;3;1.8400000000000003;0.8800000000000001;0.36;1.7200000000000004;1.075843799058085;0.7756410256410255
2500075;65.0;58.72727272727273;22;16;0.2727272727272727;0.125;2;0;0.6666666666666666;0.0;1212;1285;0.8143564356435643;0.777431906614786;6;5;1.08;1.88;0.7600000000000001;2.56;0.81793255763844;0.9894557823129252
2500005;64.52272727272727;38.84090909090909;19;23;0.1578947368421052;0.391304347826087;1;2;0.3333333333333333;1.0;1197;720;0.8187134502923976;0.7652777777777777;10;3;0.52;1.6000000000000003;0.7200000000000001;2.0400000000000005;0.81793255763844;0.7333333333333334
2500965;57.95454545454545;67.9090909090909;16;26;0.4375;0.3461538461538461;0;3;0.0;0.5;816;1255;0.8308823529411765;0.8980079681274901;4;3;0.4;0.12;1.4800000000000002;0.32;0.6924791086350974;2.0166666666666666
2500087;58.34090909090909;59.38636363636363;41;27;0.3658536585365853;0.3333333333333333;3;4;0.75;1.0;1129;870;0.7635075287865367;0.7551724137931034;4;2;0.68;0.8;0.7200000000000001;1.28;0.8107843137254902;0.8846153846153846
2565797;0.0;0.0;34;27;0.4411764705882353;0.2592592592592592;7;1;1.0;0.25;1784;967;0.8649103139013453;0.7290589451913133;16;6;2.0000000000000004;1.88;1.04;0.4;1.002482269503546;1.1482329703181722
2576069;58.59090909090909;60.75;29;16;0.4827586206896552;0.3125;6;2;0.5454545454545454;1.0;1563;1053;0.8758797184900832;0.8480531813865148;10;6;2.6000000000000005;0.44;0.7200000000000001;2.9600000000000004;1.3102564102564105;0.8666666666666667
2500020;63.52272727272727;50.45454545454545;40;16;0.4;0.3125;6;2;1.0;0.4;1018;959;0.7357563850687623;0.8331595411887383;11;0;1.7200000000000004;1.0;1.7200000000000004;2.0;0.9212121212121211;1.3166666666666669
2565773;0.0;0.0;30;18;0.5;0.3888888888888889;5;4;0.8333333333333334;0.6666666666666666;1484;805;0.8443396226415094;0.7428571428571429;14;5;2.0400000000000005;1.6000000000000003;1.64;2.12;1.002482269503546;0.9672043010752688
2500902;64.63636363636364;59.54545454545455;28;11;0.5357142857142857;0.4545454545454545;3;0;0.6;0.0;1239;530;0.8861985472154964;0.8132075471698114;6;3;1.2000000000000002;0.7600000000000001;0.24;2.76;1.0886741533907895;0.973809523809524
2499834;53.95454545454545;59.86363636363637;25;51;0.4;0.3529411764705882;4;6;0.6666666666666666;0.5;1232;2119;0.775974025974026;0.9042000943841436;7;10;1.64;0.9600000000000002;2.8800000000000003;1.08;1.0858156028368793;1.9355072463768117
2499885;64.22727272727273;48.38636363636363;28;12;0.25;0.4166666666666667;2;1;0.6666666666666666;0.25;1090;745;0.8146788990825689;0.7651006711409396;8;2;1.08;2.3200000000000003;1.04;2.0;0.8846153846153846;0.9833333333333334
2500034;56.52272727272727;60.06818181818182;32;14;0.4375;0.2142857142857142;6;1;0.6666666666666666;0.3333333333333333;1424;1039;0.8518258426966292;0.7901828681424446;11;0;2.12;0.7200000000000001;0.52;1.2400000000000002;1.3602564102564103;0.6958333333333333
2499956;52.72727272727273;57.70454545454545;36;18;0.25;0.2777777777777778;4;1;0.8;0.2;992;977;0.8044354838709677;0.7983623336745138;2;5;0.9600000000000002;1.3200000000000005;0.8800000000000001;2.0800000000000005;0.7333333333333334;0.6894557823129251
2500805;52.27272727272727;52.47727272727273;19;27;0.3684210526315789;0.2962962962962963;1;3;0.5;1.0;1072;906;0.8171641791044776;0.8344370860927153;7;2;0.4800000000000001;2.8000000000000003;1.2000000000000002;1.4400000000000002;0.6924791086350974;0.8892563198118753
2517005;50.34090909090909;61.93181818181818;37;18;0.3243243243243243;0.2777777777777778;1;0;0.5;0.0;1485;1282;0.863973063973064;0.8338533541341654;5;6;0.4800000000000001;0.56;0.9600000000000002;2.2000000000000006;1.2462779156327544;1.0383699633699632
