B365H,B365A,res,tendencia_H,tendencia_A
2.4,2.9,1,2.2,1.8
4.0,1.85,1,2.4,2.6
3.1,2.25,-1,0.8,2.2
1.53,5.75,-1,1.4,1.4
1.53,6.0,-1,0.8,0.2
1.5,5.75,-1,2.0,1.6
1.83,4.2,-1,1.6,1.2
1.61,5.5,-1,1.4,1.2
2.62,2.62,1,0.6,1.0
1.1,21.0,-1,1.6,0.0
2.37,3.39,0,2.6,2.0
5.25,1.61,1,1.2,1.6
1.9,4.0,0,2.2,1.6
1.5,6.5,1,1.4,0.8
3.1,2.54,1,0.8,1.0
4.0,1.95,0,1.4,2.2
2.29,3.2,-1,0.6,1.6
6.5,1.5,1,0.0,0.2
1.16,15.0,1,2.0,2.0
2.62,2.62,-1,1.0,1.2
9.0,1.39,1,0.8,2.0
2.29,3.25,-1,1.6,1.4
2.04,3.5,0,2.6,2.2
1.5,6.5,-1,1.2,1.0
2.29,3.25,-1,0.4,2.0
4.0,2.0,1,1.4,1.4
1.22,13.0,0,2.0,1.0
6.0,1.55,1,0.2,1.4
1.14,19.0,-1,2.0,0.8
1.16,17.0,-1,1.2,0.6
5.25,1.64,1,1.6,2.6
6.5,1.5,-1,1.4,2.2
1.85,4.2,-1,1.4,0.8
1.33,10.0,-1,1.6,2.0
5.0,1.72,1,1.0,0.8
3.29,2.29,1,0.6,0.8
3.6,2.04,0,1.4,0.0
2.2,3.5,-1,1.4,1.8
3.25,2.29,1,1.6,2.0
1.36,10.0,-1,1.6,0.6
1.44,8.5,-1,1.6,0.6
2.1,3.75,1,2.2,2.2
1.9,4.33,1,0.0,0.8
7.5,1.53,1,1.2,1.6
1.3,9.0,-1,2.2,1.4
1.57,6.0,-1,1.6,2.2
2.0,3.89,0,0.6,1.0
1.19,15.0,1,0.8,0.8
3.25,2.29,-1,1.4,2.0
4.75,1.8,1,1.0,1.6
1.85,4.33,-1,0.8,1.0
2.2,3.7,0,1.0,1.0
1.44,7.5,-1,1.6,1.6
10.0,1.33,0,0.6,2.6
2.79,2.5,1,2.6,1.8
3.1,2.37,0,2.0,1.2
4.33,1.9,1,0.6,1.4
1.18,17.0,-1,1.8,0.0
5.75,1.61,1,0.8,1.6
1.19,15.0,-1,1.6,1.2
2.79,2.5,0,1.6,2.0
1.19,15.0,-1,2.6,0.8
1.66,5.25,0,1.4,0.6
1.61,6.0,-1,0.4,1.2
4.5,1.85,0,1.6,1.6
1.5,7.5,0,3.0,1.4
2.7,2.62,0,1.4,1.6
1.85,4.75,-1,1.0,1.2
3.29,2.25,0,0.8,1.8
2.39,3.1,-1,0.8,0.0
1.44,6.5,0,2.0,1.2
4.2,1.83,1,0.0,1.6
2.37,3.25,-1,0.6,1.0
3.39,2.2,-1,1.2,0.8
1.16,17.0,-1,1.6,0.8
3.6,2.1,-1,1.2,2.2
2.7,2.7,0,1.2,0.8
4.5,1.85,0,1.8,1.8
1.75,4.5,1,2.0,3.0
17.0,1.22,1,0.6,2.6
1.53,7.0,-1,0.6,0.6
2.75,2.7,0,2.4,2.0
2.7,2.87,0,1.2,1.0
1.8,4.33,-1,0.6,1.2
1.8,5.0,-1,0.8,0.8
3.39,2.2,1,0.0,2.6
1.44,7.5,1,2.0,0.6
1.66,5.5,-1,2.6,3.0
8.5,1.36,0,1.0,2.0
2.29,3.1,-1,0.6,1.2
1.16,15.0,-1,1.6,0.6
1.44,6.5,-1,2.0,0.8
1.14,17.0,-1,2.0,1.2
1.95,4.0,0,1.2,1.6
3.0,2.29,1,1.0,0.6
1.44,7.5,-1,1.6,0.0
4.75,1.7,0,1.4,2.4
1.33,9.5,0,1.4,1.2
1.19,13.0,-1,2.0,1.8
7.5,1.5,1,1.2,1.6
2.39,2.89,1,0.6,1.0
1.36,9.5,-1,2.6,0.6
2.25,3.1,1,0.8,2.0
6.0,1.53,1,1.0,2.4
3.75,2.0,1,1.4,1.6
13.0,1.3,0,1.4,3.0
2.1,3.75,1,0.2,0.4
1.39,8.5,-1,3.0,2.2
4.0,1.95,0,1.6,2.4
3.39,2.39,1,1.8,2.6
4.2,1.95,1,1.2,1.6
5.25,1.66,0,1.0,1.2
3.25,2.29,-1,0.6,2.0
2.0,4.0,0,0.2,1.2
1.22,13.0,-1,3.0,0.8
1.36,8.5,-1,1.4,0.6
3.39,2.2,-1,1.2,0.6
1.61,5.25,-1,2.4,1.4
1.57,6.0,1,3.0,1.8
3.5,2.2,1,1.2,3.0
2.39,3.2,-1,0.8,1.2
10.0,1.33,1,1.0,3.0
1.95,3.79,1,2.0,2.6
1.5,7.0,-1,0.8,0.6
4.0,1.9,1,0.4,1.2
5.25,1.66,-1,0.6,1.6
1.9,4.2,-1,1.6,0.8
2.29,3.39,1,1.2,0.4
1.25,11.0,-1,1.2,0.6
2.89,2.7,-1,1.2,1.8
1.16,17.0,-1,1.2,0.6
1.72,4.5,-1,2.6,2.2
2.29,3.1,0,2.0,0.8
2.54,2.89,-1,0.6,1.2
2.54,2.87,-1,0.6,0.4
1.14,23.0,-1,3.0,0.4
4.75,1.75,1,2.2,3.0
3.5,2.25,-1,1.8,1.4
2.45,3.1,-1,0.2,1.0
4.33,1.85,1,1.0,1.6
1.14,19.0,-1,1.0,1.2
1.5,7.0,-1,1.0,0.6
3.1,2.5,1,0.2,1.4
1.44,7.5,-1,1.6,0.6
1.85,4.33,-1,1.8,1.2
2.1,3.6,0,0.4,1.4
1.61,5.0,-1,3.0,1.8
4.5,1.85,0,1.0,1.8
4.5,1.83,1,0.4,2.2
4.5,1.85,1,1.0,3.0
1.5,7.0,1,2.0,1.4
17.0,1.18,1,1.2,3.0
1.36,9.5,-1,1.8,0.2
3.39,2.2,1,1.2,1.0
3.39,2.2,0,1.6,2.0
1.22,15.0,-1,3.0,1.0
2.14,3.6,-1,0.8,0.6
7.0,1.44,1,0.6,0.6
1.3,11.0,0,0.8,0.8
2.39,2.89,0,2.0,1.8
1.39,7.5,1,0.6,1.4
2.39,2.89,-1,1.4,2.6
1.44,7.0,-1,1.2,1.2
1.18,15.0,-1,3.0,1.2
2.39,3.2,0,1.2,0.6
1.28,11.0,1,1.2,0.6
2.14,3.79,1,1.6,1.6
5.5,1.66,0,1.0,0.6
10.0,1.33,1,0.2,3.0
3.39,2.2,1,1.6,1.4
4.0,1.9,0,1.2,1.0
1.5,6.5,-1,2.2,2.2
1.19,17.0,-1,2.6,1.6
2.39,2.89,0,0.6,1.0
3.75,2.04,1,0.8,1.4
1.7,5.5,-1,0.6,1.2
1.25,12.0,-1,1.6,0.4
2.1,3.75,1,0.8,0.6
3.0,2.37,-1,0.8,1.4
1.75,5.5,0,2.6,1.0
2.62,2.75,0,2.0,1.6
3.6,2.04,1,2.0,2.6
10.0,1.33,1,1.0,2.6
1.72,4.75,1,1.6,1.6
1.33,9.5,-1,1.0,0.6
1.11,21.0,-1,2.0,0.8
6.5,1.53,1,1.0,1.6
3.5,2.1,-1,0.8,0.8
2.2,3.5,-1,1.6,2.0
2.1,3.6,-1,1.2,0.8
2.5,2.87,0,1.8,1.0
3.0,2.5,0,0.2,3.0
15.0,1.19,1,1.4,2.6
2.29,3.1,0,1.4,1.6
1.44,8.0,1,2.2,0.4
3.2,2.29,-1,0.2,0.8
2.39,3.0,1,1.4,2.4
1.3,10.0,0,1.6,1.8
1.72,4.5,-1,0.2,1.0
2.1,3.6,0,1.2,1.6
2.0,3.79,0,1.8,1.0
