HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A,tend_ptsH,tend_ptsA,tend_goalsH,tend_goalsA,tend_HS,tend_AS,tend_HST,tend_AST,tend_HC,tend_AC,tend_HF,tend_AF,res,dif_puntos,dif_goles,dif_shots,dif_targets,dif_corners
14,15,4,6,10,4,12,13,2.4,3.5,2.9,9.0,9.0,10.0,5.0,42.0,20.0,23.0,8.0,15.0,6.0,33.0,35.0,1,0.0,-5.0,-22.0,-15.0,-9.0
16,15,3,6,5,9,14,8,4.0,3.8,1.85,6.0,4.0,8.0,6.0,49.0,46.0,20.0,19.0,20.0,16.0,51.0,36.0,1,-2.0,-2.0,-3.0,-1.0,-4.0
6,12,4,4,5,11,17,14,3.1,3.6,2.25,4.0,3.0,6.0,6.0,28.0,33.0,10.0,16.0,12.0,18.0,40.0,27.0,-1,-1.0,0.0,5.0,6.0,6.0
8,12,5,1,2,4,13,9,1.53,4.5,5.75,3.0,4.0,4.0,5.0,41.0,39.0,16.0,14.0,9.0,11.0,39.0,43.0,-1,1.0,1.0,-2.0,-2.0,2.0
20,8,5,5,10,2,9,11,1.53,4.33,6.0,5.0,3.0,5.0,4.0,46.0,39.0,18.0,16.0,12.0,10.0,42.0,32.0,-1,-2.0,-1.0,-7.0,-2.0,-2.0
19,9,9,4,6,9,3,9,1.5,4.75,5.75,1.0,3.0,0.0,4.0,43.0,30.0,10.0,11.0,13.0,10.0,45.0,33.0,-1,2.0,4.0,-13.0,1.0,-3.0
18,9,11,3,6,1,10,5,1.83,3.8,4.2,6.0,7.0,4.0,7.0,39.0,44.0,14.0,15.0,23.0,16.0,34.0,35.0,-1,1.0,3.0,5.0,1.0,-7.0
16,9,6,3,5,3,10,11,1.61,4.0,5.5,6.0,2.0,5.0,1.0,30.0,31.0,17.0,9.0,14.0,15.0,59.0,40.0,-1,-4.0,-4.0,1.0,-8.0,1.0
12,4,2,2,7,3,10,11,2.62,3.5,2.62,0.0,1.0,2.0,5.0,27.0,34.0,8.0,9.0,12.0,14.0,40.0,33.0,1,1.0,3.0,7.0,1.0,2.0
26,9,13,3,11,5,13,11,1.1,11.0,21.0,4.0,6.0,5.0,5.0,46.0,37.0,20.0,15.0,18.0,16.0,29.0,58.0,-1,2.0,0.0,-9.0,-5.0,-2.0
9,7,2,0,4,3,10,13,2.37,3.0,3.39,1.0,1.0,3.0,1.0,30.0,34.0,13.0,7.0,18.0,14.0,29.0,48.0,0,0.0,-2.0,4.0,-6.0,-4.0
11,17,2,9,3,12,13,6,5.25,4.2,1.61,1.0,9.0,5.0,12.0,37.0,46.0,8.0,25.0,18.0,14.0,33.0,34.0,1,8.0,7.0,9.0,17.0,-4.0
24,5,5,2,3,8,21,10,1.9,3.6,4.0,2.0,3.0,2.0,4.0,44.0,45.0,15.0,15.0,17.0,14.0,43.0,42.0,0,1.0,2.0,1.0,0.0,-3.0
14,14,0,2,11,5,15,17,1.5,4.33,6.5,4.0,3.0,5.0,3.0,30.0,34.0,11.0,10.0,9.0,10.0,38.0,41.0,1,-1.0,-2.0,4.0,-1.0,1.0
7,13,3,7,2,7,13,14,3.1,3.0,2.54,0.0,6.0,2.0,4.0,32.0,38.0,7.0,15.0,9.0,24.0,26.0,39.0,1,6.0,2.0,6.0,8.0,15.0
6,18,3,7,2,9,12,15,4.0,3.5,1.95,5.0,5.0,4.0,5.0,36.0,43.0,11.0,14.0,12.0,12.0,47.0,41.0,0,0.0,1.0,7.0,3.0,0.0
18,10,10,4,4,6,16,14,2.29,3.29,3.2,1.0,7.0,2.0,7.0,28.0,25.0,9.0,14.0,10.0,12.0,33.0,38.0,-1,6.0,5.0,-3.0,5.0,2.0
11,13,1,5,3,5,15,17,6.5,4.33,1.5,7.0,9.0,4.0,10.0,27.0,49.0,11.0,19.0,15.0,18.0,32.0,49.0,1,2.0,6.0,22.0,8.0,3.0
16,13,8,5,16,2,9,5,1.16,8.0,15.0,1.0,6.0,2.0,7.0,39.0,47.0,13.0,26.0,12.0,18.0,55.0,32.0,1,5.0,5.0,8.0,13.0,6.0
14,13,3,5,6,3,17,7,2.62,3.5,2.62,4.0,1.0,3.0,4.0,33.0,43.0,10.0,16.0,12.0,18.0,53.0,28.0,-1,-3.0,1.0,10.0,6.0,6.0
12,9,3,1,9,3,20,9,9.0,4.5,1.39,6.0,4.0,8.0,3.0,34.0,35.0,15.0,16.0,17.0,20.0,36.0,35.0,1,-2.0,-5.0,1.0,1.0,3.0
18,2,7,0,9,6,7,21,2.29,3.25,3.25,9.0,1.0,12.0,2.0,46.0,35.0,26.0,9.0,19.0,15.0,36.0,30.0,-1,-8.0,-10.0,-11.0,-17.0,-4.0
13,20,2,6,6,9,7,8,2.04,3.6,3.5,6.0,4.0,6.0,3.0,30.0,31.0,15.0,9.0,11.0,10.0,49.0,52.0,0,-2.0,-3.0,1.0,-6.0,-1.0
6,12,4,3,1,4,16,22,1.5,4.33,6.5,0.0,2.0,0.0,4.0,35.0,39.0,5.0,13.0,17.0,21.0,41.0,33.0,-1,2.0,4.0,4.0,8.0,4.0
11,13,3,3,8,4,15,14,2.29,3.2,3.25,4.0,6.0,6.0,6.0,40.0,30.0,14.0,10.0,12.0,12.0,45.0,40.0,-1,2.0,0.0,-10.0,-4.0,0.0
7,19,3,10,3,7,8,16,4.0,3.39,2.0,4.0,6.0,2.0,4.0,35.0,42.0,8.0,17.0,15.0,26.0,48.0,38.0,1,2.0,2.0,7.0,9.0,11.0
19,5,5,2,4,2,10,20,1.22,6.5,13.0,7.0,4.0,8.0,3.0,43.0,25.0,16.0,11.0,14.0,10.0,36.0,38.0,0,-3.0,-5.0,-18.0,-5.0,-4.0
9,26,2,12,5,9,13,7,6.0,4.0,1.55,1.0,6.0,2.0,6.0,32.0,35.0,11.0,14.0,24.0,7.0,34.0,42.0,1,5.0,4.0,3.0,3.0,-17.0
15,6,6,3,5,2,12,13,1.14,8.5,19.0,2.0,5.0,1.0,3.0,23.0,40.0,5.0,12.0,7.0,14.0,46.0,49.0,-1,3.0,2.0,17.0,7.0,7.0
17,8,10,2,5,4,9,10,1.16,7.5,17.0,3.0,7.0,3.0,8.0,39.0,42.0,20.0,15.0,12.0,16.0,28.0,26.0,-1,4.0,5.0,3.0,-5.0,4.0
8,16,2,6,3,6,13,14,5.25,4.0,1.64,4.0,7.0,5.0,9.0,44.0,49.0,13.0,20.0,13.0,14.0,37.0,29.0,1,3.0,4.0,5.0,7.0,1.0
28,4,10,1,2,3,17,10,6.5,4.33,1.5,1.0,4.0,3.0,3.0,33.0,35.0,12.0,14.0,13.0,15.0,30.0,48.0,-1,3.0,0.0,2.0,2.0,2.0
15,6,6,2,6,2,8,15,1.85,3.6,4.2,4.0,0.0,4.0,0.0,39.0,30.0,18.0,1.0,23.0,15.0,38.0,42.0,-1,-4.0,-4.0,-9.0,-17.0,-8.0
13,12,6,3,1,7,13,6,1.33,5.0,10.0,4.0,9.0,5.0,15.0,32.0,49.0,12.0,27.0,14.0,14.0,43.0,21.0,-1,5.0,10.0,17.0,15.0,0.0
12,9,7,4,7,1,14,12,5.0,3.75,1.72,2.0,4.0,2.0,4.0,35.0,41.0,15.0,16.0,20.0,13.0,42.0,53.0,1,2.0,2.0,6.0,1.0,-7.0
