wyId;mins4_H;mins4_A;shots_11H;shots_11A;shots_acc_11H;shots_acc_11A;goals_H;goals_A;goals_ratio_H;goals_ratio_A;passes_11H;passes_11A;passes_acc_11H;passes_acc_11A;keyPasses_H;keyPasses_A;ataque_h;defensa_h;ataque_a;defensa_a;ataquedefensa_H;ataquedefensa_A
2499738;60.81818181818182;56.84090909090909;28;18;0.3214285714285714;0.4444444444444444;1;3;0.25;0.5;900;1198;0.7577777777777778;0.7821368948247078;5;6;0.7600000000000001;1.7200000000000004;0.9600000000000002;2.2400000000000007;0.9735458612975392;0.81793255763844
2499799;54.5;72.45454545454545;35;28;0.4;0.3214285714285714;4;5;1.0;0.625;1443;1201;0.851004851004851;0.8434637801831807;4;8;0.56;0.8400000000000001;2.0;1.2000000000000002;1.3166666666666669;0.8107843137254902
2499800;63.29545454545455;72.0;37;29;0.1621621621621621;0.3448275862068966;1;1;0.3333333333333333;1.0;1235;1642;0.8364372469635628;0.8580998781973204;16;7;0.6000000000000001;1.2000000000000002;0.4800000000000001;1.7200000000000002;0.9833333333333334;1.3991869918699185
2499801;42.0;54.27272727272727;28;22;0.3928571428571428;0.4090909090909091;2;4;1.0;0.5714285714285714;1365;1115;0.7853479853479853;0.842152466367713;8;3;0.36;2.16;1.04;0.32;0.6894557823129251;1.3602564102564103
2499802;63.65909090909091;51.47727272727273;47;25;0.5106382978723404;0.48;10;4;0.5555555555555556;0.6666666666666666;2178;999;0.9049586776859504;0.7637637637637638;15;2;5.48;1.08;1.24;0.64;1.9355072463768117;0.9212121212121211
2499803;60.75;61.90909090909091;33;22;0.3333333333333333;0.1818181818181818;4;0;0.6666666666666666;0.0;713;821;0.7208976157082749;0.7783191230207065;6;4;1.4400000000000002;0.9600000000000002;0.0;3.4000000000000004;0.8846153846153846;1.122072072072072
2499804;75.38636363636364;58.65909090909091;33;17;0.1818181818181818;0.1764705882352941;2;0;0.4;0.0;1623;957;0.8428835489833642;0.8056426332288401;7;1;1.3200000000000005;1.7600000000000002;0.7600000000000001;1.4400000000000002;0.81793255763844;0.7191489361702128
2499805;61.72727272727273;63.72727272727273;36;12;0.3055555555555556;0.25;4;0;0.8;0.0;832;1015;0.7620192307692307;0.8167487684729065;5;4;1.4;1.7600000000000002;0.24;1.5600000000000005;0.7333333333333334;0.9894557823129252
2499806;65.38636363636364;54.47727272727273;18;21;0.6111111111111112;0.2857142857142857;3;3;1.0;0.75;1264;895;0.8140822784810127;0.7430167597765364;4;4;1.2000000000000002;1.12;0.6000000000000001;1.04;0.6958333333333333;1.0858156028368793
2499807;43.25;47.97727272727273;73;35;0.3013698630136986;0.2571428571428571;2;4;0.6666666666666666;0.5714285714285714;1939;1483;0.8793192367199587;0.8320971004720162;12;11;0.7600000000000001;0.4;1.5600000000000005;2.12;1.467204301075269;1.7602564102564102
