matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;down1_A;down2_A;down3_A;down4_A;down5_A
0;13,5;0,0;0,0;0,0;-0,07142857142857162;-0,07142857142857162;-0,9285714285714287;-0,7857142857142858;-0,7857142857142858;-0,7857142857142858;-0,7142857142857144;0,8461538461538463;0,7692307692307694;0,6923076923076923;0,6923076923076923;0,6153846153846154;-0,23076923076923073;-0,23076923076923073;-0,07692307692307687;0,0;0,0
1;16,0;0,25;0,1875;0,125;0,0625;0,0;-0,8125;-0,75;-0,625;-0,625;-0,5625;0,1875;0,125;0,0625;0,0;-0,0625;-0,875;-0,8125;-0,6875;-0,6875;-0,625
2;15,5;0,6875;0,625;0,5625;0,5;0,4375;-0,375;-0,3125;-0,1875;-0,1875;-0,125;0,9333333333333333;0,9333333333333333;0,8666666666666667;0,8;0,6666666666666667;-0,1333333333333333;0,0;0,0;0,06666666666666665;0,19999999999999996
3;16,0;0,625;0,5625;0,5;0,4375;0,375;-0,4375;-0,375;-0,25;-0,25;-0,1875;0,8125;0,75;0,6875;0,625;0,5625;-0,25;-0,1875;-0,0625;-0,0625;0,0
4;15,5;0,2666666666666666;0,2666666666666666;0,19999999999999996;0,1333333333333333;0,0;-0,8;-0,6666666666666667;-0,6666666666666667;-0,6000000000000001;-0,4666666666666668;1,0;0,9375;0,875;0,8125;0,75;-0,0625;0,0;0,125;0,125;0,1875
5;16,0;0,0;-0,0625;-0,125;-0,1875;-0,25;-1,0625;-1,0;-0,875;-0,875;-0,8125;0,4375;0,375;0,3125;0,25;0,1875;-0,625;-0,5625;-0,4375;-0,4375;-0,375
6;15,0;0,5333333333333334;0,5333333333333334;0,4666666666666668;0,40000000000000013;0,26666666666666683;-0,5333333333333332;-0,3999999999999999;-0,3999999999999999;-0,33333333333333326;-0,19999999999999996;0,9333333333333333;0,9333333333333333;0,8666666666666667;0,8;0,6666666666666667;-0,1333333333333333;0,0;0,0;0,06666666666666665;0,19999999999999996
7;4,5;1,2;0,8;0,8;0,6000000000000001;0,6000000000000001;-1,2;-0,6;-0,6;-0,6;-0,3999999999999999;2,5;2,0;2,0;1,25;1,0;-0,5;0,0;0,0;0,25;0,25
8;4,0;1,5;1,0;1,0;0,25;0,0;-1,5;-1,0;-1,0;-0,75;-0,75;1,75;1,25;1,25;0,5;0,25;-1,25;-0,75;-0,75;-0,5;-0,5
9;4,0;2,0;1,5;1,5;0,75;0,5;-1,0;-0,5;-0,5;-0,25;-0,25;1,5;1,0;1,0;0,25;0,0;-1,5;-1,0;-1,0;-0,75;-0,75
10;4,0;1,25;0,75;0,75;0,0;-0,25;-1,75;-1,25;-1,25;-1,0;-1,0;2,25;1,75;1,75;1,0;0,75;-0,75;-0,25;-0,25;0,0;0,0
11;4,0;2,0;1,5;1,5;0,75;0,5;-1,0;-0,5;-0,5;-0,25;-0,25;0,0;-0,5;-0,5;-1,25;-1,5;-3,0;-2,5;-2,5;-2,25;-2,25
12;4,0;0,5;0,0;0,0;-0,75;-1,0;-2,5;-2,0;-2,0;-1,75;-1,75;1,5;1,0;1,0;0,25;0,0;-1,5;-1,0;-1,0;-0,75;-0,75
13;4,5;1,0;0,6000000000000001;0,6000000000000001;0,40000000000000013;0,40000000000000013;-1,4;-0,7999999999999999;-0,7999999999999999;-0,7999999999999999;-0,5999999999999999;1,5;1,0;1,0;0,25;0,0;-1,5;-1,0;-1,0;-0,75;-0,75
14;5,0;1,7999999999999998;1,4;1,4;1,2000000000000002;1,2000000000000002;-0,6;0,0;0,0;0,0;0,20000000000000007;1,7999999999999998;1,4;1,4;1,2000000000000002;1,2000000000000002;-0,6;0,0;0,0;0,0;0,20000000000000007
15;5,5;0,33333333333333326;0,33333333333333326;0,16666666666666674;0,0;0,0;-1,3333333333333333;-1,3333333333333333;-1,1666666666666665;-1,1666666666666665;-1,1666666666666665;0,3999999999999999;0,0;0,0;-0,19999999999999996;-0,19999999999999996;-2,0;-1,4;-1,4;-1,4;-1,2
16;5,5;0,7999999999999998;0,3999999999999999;0,3999999999999999;0,19999999999999996;0,19999999999999996;-1,6;-1,0;-1,0;-1,0;-0,8;1,1666666666666665;1,1666666666666665;1,0;0,8333333333333333;0,8333333333333333;-0,5;-0,5;-0,33333333333333337;-0,33333333333333337;-0,33333333333333337
17;4,5;3,0;2,5;2,5;1,75;1,5;0,0;0,5;0,5;0,75;0,75;0,5999999999999999;0,19999999999999996;0,19999999999999996;0,0;0,0;-1,8;-1,2000000000000002;-1,2000000000000002;-1,2000000000000002;-1,0
18;3,0;2,5;2,0;2,0;1,25;1,0;-0,5;0,0;0,0;0,25;0,25;1,0;1,0;0,0;0,0;0,0;-2,0;-2,0;-2,0;-1,5;-1,5
19;3,5;0,0;0,0;-0,6666666666666665;-1,0;-1,0;-3,0;-2,6666666666666665;-2,3333333333333335;-2,0;-2,0;2,0;1,5;1,5;0,75;0,5;-1,0;-0,5;-0,5;-0,25;-0,25
20;2,0;1,0;1,0;0,3333333333333335;0,0;0,0;-2,0;-1,6666666666666667;-1,3333333333333335;-1,0;-1,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
21;2,5;2,0;2,0;1,3333333333333335;1,0;1,0;-1,0;-0,6666666666666667;-0,33333333333333337;0,0;0,0;1,5;1,5;0,5;0,5;0,5;-1,5;-1,5;-1,5;-1,0;-1,0
