matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
2;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
3;1,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;-1,0;-1,0;-1,0;-1,0;-1,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;-1,0;-1,0;-1,0;-1,0;-1,0
4;1,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0
5;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
6;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
7;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
8;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-3,0;-3,0;-3,0;-3,0;-3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0
9;2,0;6,0;6,0;6,0;4,0;4,0;3,0;3,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;-2,0;-2,0;-3,0;-3,0;-6,0;-6,0;-6,0;-5,0;-5,0
10;2,0;2,0;2,0;2,0;0,0;0,0;-1,0;-1,0;-4,0;-4,0;-4,0;-3,0;-3,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0
11;2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0;0,0;0,0;0,0;-2,0;-2,0;-3,0;-3,0;-6,0;-6,0;-6,0;-5,0;-5,0
12;2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0;5,0;5,0;5,0;3,0;3,0;2,0;2,0;-1,0;-1,0;-1,0;0,0;0,0
13;2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0
14;2,0;5,0;5,0;5,0;3,0;3,0;2,0;2,0;-1,0;-1,0;-1,0;0,0;0,0;2,0;2,0;2,0;0,0;0,0;-1,0;-1,0;-4,0;-4,0;-4,0;-3,0;-3,0
15;2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0;6,0;6,0;6,0;4,0;4,0;3,0;3,0;0,0;0,0;0,0;1,0;1,0
16;2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0;3,0;3,0;3,0;1,0;1,0;0,0;0,0;-3,0;-3,0;-3,0;-2,0;-2,0
17;2,0;6,0;6,0;6,0;4,0;4,0;3,0;3,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;-2,0;-2,0;-3,0;-3,0;-6,0;-6,0;-6,0;-5,0;-5,0
18;3,0;4,0;4,0;2,0;1,0;1,0;1,0;1,0;-5,0;-5,0;-4,0;-2,0;-2,0;5,0;5,0;3,0;2,0;2,0;2,0;2,0;-4,0;-4,0;-3,0;-1,0;-1,0
19;3,0;6,0;6,0;4,0;3,0;3,0;3,0;3,0;-3,0;-3,0;-2,0;0,0;0,0;6,0;6,0;4,0;3,0;3,0;3,0;3,0;-3,0;-3,0;-2,0;0,0;0,0
20;3,0;3,0;3,0;1,0;0,0;0,0;0,0;0,0;-6,0;-6,0;-5,0;-3,0;-3,0;8,0;8,0;6,0;5,0;5,0;5,0;5,0;-1,0;-1,0;0,0;2,0;2,0
21;3,0;0,0;0,0;-2,0;-3,0;-3,0;-3,0;-3,0;-9,0;-9,0;-8,0;-6,0;-6,0;9,0;9,0;7,0;6,0;6,0;6,0;6,0;0,0;0,0;1,0;3,0;3,0
22;3,0;0,0;0,0;-2,0;-3,0;-3,0;-3,0;-3,0;-9,0;-9,0;-8,0;-6,0;-6,0;6,0;6,0;4,0;3,0;3,0;3,0;3,0;-3,0;-3,0;-2,0;0,0;0,0
23;3,0;3,0;3,0;1,0;0,0;0,0;0,0;0,0;-6,0;-6,0;-5,0;-3,0;-3,0;2,0;2,0;0,0;-1,0;-1,0;-1,0;-1,0;-7,0;-7,0;-6,0;-4,0;-4,0
24;3,0;3,0;3,0;1,0;0,0;0,0;0,0;0,0;-6,0;-6,0;-5,0;-3,0;-3,0;9,0;9,0;7,0;6,0;6,0;6,0;6,0;0,0;0,0;1,0;3,0;3,0
25;3,0;5,0;5,0;3,0;2,0;2,0;2,0;2,0;-4,0;-4,0;-3,0;-1,0;-1,0;6,0;6,0;4,0;3,0;3,0;3,0;3,0;-3,0;-3,0;-2,0;0,0;0,0
26;3,0;3,0;3,0;1,0;0,0;0,0;0,0;0,0;-6,0;-6,0;-5,0;-3,0;-3,0;6,0;6,0;4,0;3,0;3,0;3,0;3,0;-3,0;-3,0;-2,0;0,0;0,0
27;4,0;8,0;7,0;7,0;6,0;5,0;5,0;4,0;-1,0;0,0;1,0;1,0;1,0;6,0;5,0;5,0;4,0;3,0;3,0;2,0;-3,0;-2,0;-1,0;-1,0;-1,0
28;4,0;5,0;4,0;4,0;3,0;2,0;2,0;1,0;-4,0;-3,0;-2,0;-2,0;-2,0;3,0;2,0;2,0;1,0;0,0;0,0;-1,0;-6,0;-5,0;-4,0;-4,0;-4,0
29;4,0;2,0;1,0;1,0;0,0;-1,0;-1,0;-2,0;-7,0;-6,0;-5,0;-5,0;-5,0;0,0;-1,0;-1,0;-2,0;-3,0;-3,0;-4,0;-9,0;-8,0;-7,0;-7,0;-7,0
30;4,0;7,0;6,0;6,0;5,0;4,0;4,0;3,0;-2,0;-1,0;0,0;0,0;0,0;3,0;2,0;2,0;1,0;0,0;0,0;-1,0;-6,0;-5,0;-4,0;-4,0;-4,0
31;4,0;4,0;3,0;3,0;2,0;1,0;1,0;0,0;-5,0;-4,0;-3,0;-3,0;-3,0;1,0;0,0;0,0;-1,0;-2,0;-2,0;-3,0;-8,0;-7,0;-6,0;-6,0;-6,0
32;4,0;7,0;6,0;6,0;5,0;4,0;4,0;3,0;-2,0;-1,0;0,0;0,0;0,0;1,0;0,0;0,0;-1,0;-2,0;-2,0;-3,0;-8,0;-7,0;-6,0;-6,0;-6,0
33;4,0;4,0;3,0;3,0;2,0;1,0;1,0;0,0;-5,0;-4,0;-3,0;-3,0;-3,0;4,0;3,0;3,0;2,0;1,0;1,0;0,0;-5,0;-4,0;-3,0;-3,0;-3,0
34;4,0;7,0;6,0;6,0;5,0;4,0;4,0;3,0;-2,0;-1,0;0,0;0,0;0,0;4,0;3,0;3,0;2,0;1,0;1,0;0,0;-5,0;-4,0;-3,0;-3,0;-3,0
35;4,0;9,0;8,0;8,0;7,0;6,0;6,0;5,0;0,0;1,0;2,0;2,0;2,0;4,0;3,0;3,0;2,0;1,0;1,0;0,0;-5,0;-4,0;-3,0;-3,0;-3,0
36;5,0;5,0;5,0;4,0;2,0;2,0;2,0;1,0;-5,0;-4,0;-3,0;-3,0;-2,0;7,0;7,0;6,0;4,0;4,0;4,0;3,0;-3,0;-2,0;-1,0;-1,0;0,0
37;5,0;0,0;0,0;-1,0;-3,0;-3,0;-3,0;-4,0;-10,0;-9,0;-8,0;-8,0;-7,0;10,0;10,0;9,0;7,0;7,0;7,0;6,0;0,0;1,0;2,0;2,0;3,0
38;5,0;6,0;6,0;5,0;3,0;3,0;3,0;2,0;-4,0;-3,0;-2,0;-2,0;-1,0;6,0;6,0;5,0;3,0;3,0;3,0;2,0;-4,0;-3,0;-2,0;-2,0;-1,0
39;5,0;3,0;3,0;2,0;0,0;0,0;0,0;-1,0;-7,0;-6,0;-5,0;-5,0;-4,0;4,0;4,0;3,0;1,0;1,0;1,0;0,0;-6,0;-5,0;-4,0;-4,0;-3,0
40;5,0;3,0;3,0;2,0;0,0;0,0;0,0;-1,0;-7,0;-6,0;-5,0;-5,0;-4,0;9,0;9,0;8,0;6,0;6,0;6,0;5,0;-1,0;0,0;1,0;1,0;2,0
41;5,0;5,0;5,0;4,0;2,0;2,0;2,0;1,0;-5,0;-4,0;-3,0;-3,0;-2,0;0,0;0,0;-1,0;-3,0;-3,0;-3,0;-4,0;-10,0;-9,0;-8,0;-8,0;-7,0
42;5,0;5,0;5,0;4,0;2,0;2,0;2,0;1,0;-5,0;-4,0;-3,0;-3,0;-2,0;8,0;8,0;7,0;5,0;5,0;5,0;4,0;-2,0;-1,0;0,0;0,0;1,0
43;5,0;3,0;3,0;2,0;0,0;0,0;0,0;-1,0;-7,0;-6,0;-5,0;-5,0;-4,0;6,0;6,0;5,0;3,0;3,0;3,0;2,0;-4,0;-3,0;-2,0;-2,0;-1,0
