matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_750D_H;pagerank_750D_A
0;D1;T00-01;2000-08-11;Dortmund;Hansa Rostock;1;0;H;0,3860949975207131;0,4579990777443312
42;D1;T00-01;2000-09-16;Leverkusen;Hansa Rostock;1;2;A;1,0;0,4579990777443312
24;D1;T00-01;2000-09-06;Ein Frankfurt;Hansa Rostock;4;0;H;0,3389390856444194;0,4579990777443312
23;D1;T00-01;2000-09-06;Dortmund;Munich 1860;2;3;A;0,3860949975207131;0,2825560523102023
3;D1;T00-01;2000-08-12;Hamburg;Munich 1860;2;2;D;0,836186671047609;0,2825560523102023
39;D1;T00-01;2000-09-16;Ein Frankfurt;Munich 1860;1;0;H;0,3389390856444194;0,2825560523102023
48;D1;T00-01;2000-09-23;Dortmund;Schalke 04;0;4;A;0,3860949975207131;0,3854504056844448
29;D1;T00-01;2000-09-09;Munich 1860;Schalke 04;1;1;D;0,2825560523102023;0,3854504056844448
17;D1;T00-01;2000-08-20;Hansa Rostock;Schalke 04;0;4;A;0,4579990777443312;0,3854504056844448
1;D1;T00-01;2000-08-12;Bayern Munich;Hertha;4;1;H;0,2521821382730905;0,3421904702636249
53;D1;T00-01;2000-09-24;Unterhaching;Hertha;5;2;H;0,7932984893861232;0,3421904702636249
33;D1;T00-01;2000-09-09;Wolfsburg;Hertha;2;1;H;0,21792181287058;0,3421904702636249
22;D1;T00-01;2000-09-06;Bayern Munich;Wolfsburg;3;1;H;0,2521821382730905;0,21792181287058
5;D1;T00-01;2000-08-12;Leverkusen;Wolfsburg;2;0;H;1,0;0,21792181287058
37;D1;T00-01;2000-09-16;Bayern Munich;Unterhaching;3;1;H;0,2521821382730905;0,7932984893861232
20;D1;T00-01;2000-09-05;Leverkusen;Unterhaching;1;0;H;1,0;0,7932984893861232
7;D1;T00-01;2000-08-13;Ein Frankfurt;Unterhaching;3;0;H;0,3389390856444194;0,7932984893861232
2;D1;T00-01;2000-08-12;Freiburg;Stuttgart;4;0;H;0,2597410208425278;0,370811601463381
19;D1;T00-01;2000-09-05;Kaiserslautern;Stuttgart;1;0;H;0,2780007732929049;0,370811601463381
43;D1;T00-01;2000-09-17;Hertha;Stuttgart;2;0;H;0,3421904702636249;0,370811601463381
25;D1;T00-01;2000-09-06;Hamburg;Werder Bremen;2;1;H;0,836186671047609;0,216471947538603
44;D1;T00-01;2000-09-17;Schalke 04;Werder Bremen;1;1;D;0,3854504056844448;0,216471947538603
10;D1;T00-01;2000-08-19;Munich 1860;Werder Bremen;2;1;H;0,2825560523102023;0,216471947538603
41;D1;T00-01;2000-09-16;Hamburg;Dortmund;2;3;A;0,836186671047609;0,3860949975207131
32;D1;T00-01;2000-09-09;Werder Bremen;Dortmund;1;2;A;0,216471947538603;0,3860949975207131
50;D1;T00-01;2000-09-23;Werder Bremen;Ein Frankfurt;1;1;D;0,216471947538603;0,3389390856444194
45;D1;T00-01;2000-09-22;Munich 1860;Freiburg;3;1;H;0,2825560523102023;0,2597410208425278
