matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_1_H;pagerank_1_A;pagerank_2_H;pagerank_2_A;pagerank_5_H;pagerank_5_A;pagerank_10_H;pagerank_10_A
19;D1;T00-01;2000-09-05;Kaiserslautern;Stuttgart;1;0;H;0,0796477442162062;0,7531594794050082;0,2257202224768915;0,4685403297998972;0,2640947199688231;0,7635946757494616;0,8156277916661124;0,6498857352588098
43;D1;T00-01;2000-09-17;Hertha;Stuttgart;2;0;H;1,0;0,7531594794050082;0,6073733160976524;0,4685403297998972;0,2486985001653392;0,7635946757494616;0,7580286283959373;0,6498857352588098
62;D1;T00-01;2000-10-01;Wolfsburg;Stuttgart;2;2;D;0,446847439162758;0,6579499857951764;0,4531225279227551;0,6406385994254159;0,7363773182532646;0,8115380568427195;0,670229867617242;0,6498857352588098
113;D1;T00-01;2000-11-18;Kaiserslautern;Freiburg;0;2;A;0,439256771776728;0,3012092136305806;0,4837907891966048;0,4496093072671355;0,6360277461606316;0,4826037411289186;0,8156277916661124;0,646375115768908
93;D1;T00-01;2000-11-04;Hamburg;Freiburg;5;0;H;0,4666360358042849;0,3012092136305806;0,5635205296966034;0,4496093072671355;0,6459696908560136;0,4826037411289186;0,6051696798674108;0,646375115768908
83;D1;T00-01;2000-10-28;Ein Frankfurt;Freiburg;3;0;H;0,4016379216402213;0,3012092136305806;0,4015088544605505;0,4496093072671355;0,4818465305698844;0,4826037411289186;0,5496555348082763;0,646375115768908
63;D1;T00-01;2000-10-13;Dortmund;Freiburg;1;0;H;0,4157619447394636;0,3811537639150161;0,5290628608110374;0,4176097541629936;0,6061037476334592;0,4826037411289186;0,6868002259957009;0,646375115768908
45;D1;T00-01;2000-09-22;Munich 1860;Freiburg;3;1;H;0,1484762222188765;0,471751171566708;0,2185478508726518;0,2634412059379609;0,2276970325393128;0,2757967018431352;0,6851074367880617;0,646375115768908
35;D1;T00-01;2000-09-10;Hansa Rostock;Freiburg;0;0;D;0,9612157625088616;0,471751171566708;1,0;0,2634412059379609;0,5457703837282977;0,2757967018431352;0,6007260547024289;0,646375115768908
95;D1;T00-01;2000-11-04;Kaiserslautern;Schalke 04;3;2;H;0,439256771776728;0,3147261956642189;0,4837907891966048;0,4069531007263709;0,6360277461606316;0,570212502188254;0,8156277916661124;0,653601133655473
112;D1;T00-01;2000-11-18;Hertha;Schalke 04;0;4;A;0,5348284534964701;0,3147261956642189;0,5847768935405065;0,4069531007263709;0,8680712254913077;0,570212502188254;0,7580286283959373;0,653601133655473
57;D1;T00-01;2000-09-30;Hamburg;Schalke 04;2;0;H;0,3917916747513592;0,5519393816724467;0,459411980873494;0,5283491502807087;0,6459696908560136;0,570212502188254;0,6051696798674108;0,653601133655473
48;D1;T00-01;2000-09-23;Dortmund;Schalke 04;0;4;A;0,4892998427689762;0,5751315212373287;0,6520875629979779;0,4552173294521125;0,3225950697309318;0,3935953898230305;0,6868002259957009;0,653601133655473
29;D1;T00-01;2000-09-09;Munich 1860;Schalke 04;1;1;D;0,1484762222188765;0,5751315212373287;0,2185478508726518;0,4552173294521125;0,2276970325393128;0,3935953898230305;0,6851074367880617;0,653601133655473
80;D1;T00-01;2000-10-22;Freiburg;Schalke 04;3;1;H;0,3811537639150161;0,5519393816724467;0,4176097541629936;0,5283491502807087;0,4826037411289186;0,570212502188254;0,646375115768908;0,653601133655473
72;D1;T00-01;2000-10-20;Kaiserslautern;Werder Bremen;2;0;H;0,4601703327762367;0,2805349387454006;0,4253824660160821;0,3809551206729968;0,6360277461606316;0,5926594851197202;0,8156277916661124;0,5912314633461664
94;D1;T00-01;2000-11-04;Hertha;Werder Bremen;4;1;H;0,5348284534964701;0,2583109116101347;0,5847768935405065;0,479782921432641;0,8680712254913077;0,5926594851197202;0,7580286283959373;0,5912314633461664
44;D1;T00-01;2000-09-17;Schalke 04;Werder Bremen;1;1;D;0,5751315212373287;0,0813402587382505;0,4552173294521125;0,0858628270459558;0,3935953898230305;0,2416748583755333;0,653601133655473;0,5912314633461664
25;D1;T00-01;2000-09-06;Hamburg;Werder Bremen;2;1;H;0,1832856737161615;0,0813402587382505;0,4011382254616107;0,0858628270459558;0,8162798744589675;0,2416748583755333;0,6051696798674108;0,5912314633461664
114;D1;T00-01;2000-11-18;Wolfsburg;Werder Bremen;1;1;D;0,521302915266877;0,2583109116101347;0,4871135263850482;0,479782921432641;0,7363773182532646;0,5926594851197202;0,670229867617242;0,5912314633461664
61;D1;T00-01;2000-10-01;Freiburg;Werder Bremen;0;1;A;0,3811537639150161;0,2805349387454006;0,4176097541629936;0,3809551206729968;0,4826037411289186;0,5926594851197202;0,646375115768908;0,5912314633461664
67;D1;T00-01;2000-10-14;Schalke 04;Ein Frankfurt;4;0;H;0,5519393816724467;0,5031097651129149;0,5283491502807087;0,4308503009105393;0,570212502188254;0,4818465305698844;0,653601133655473;0,5496555348082763
74;D1;T00-01;2000-10-21;Hamburg;Ein Frankfurt;2;0;H;0,3917916747513592;0,5031097651129149;0,459411980873494;0,4308503009105393;0,6459696908560136;0,4818465305698844;0,6051696798674108;0,5496555348082763
