;draw_pred;home_pred;away_pred;prediction;label_x;config.;folder;epoch;label_y
2576105;0.3288787305355072;0.33717259764671326;0.3339487314224243;1.0;2.0;1109.0;0.0;9.0;Napoli - Juventus, 0 - 1
2576190;0.3288731276988983;0.3371717929840088;0.3339550197124481;1.0;1.0;1109.0;0.0;9.0;Roma - Benevento, 5 - 2
2500002;0.32887592911720276;0.33717289566993713;0.3339511454105377;1.0;0.0;1109.0;0.0;9.0;Leicester City - AFC Bournemouth, 1 - 1
2499939;0.32887664437294006;0.33717069029808044;0.3339526653289795;1.0;1.0;1109.0;0.0;9.0;AFC Bournemouth - Arsenal, 2 - 1
2500097;0.3288748264312744;0.3371729552745819;0.3339521884918213;1.0;1.0;1109.0;0.0;9.0;Tottenham Hotspur - Leicester City, 5 - 4
2516877;0.3288777768611908;0.337175190448761;0.33394700288772583;1.0;1.0;1109.0;0.0;9.0;Freiburg - Borussia M'gladbach, 1 - 0
2576295;0.32887718081474304;0.33717164397239685;0.3339511454105377;1.0;2.0;1109.0;0.0;9.0;Juventus - Napoli, 0 - 1
2499867;0.32887697219848633;0.3371717035770416;0.33395135402679443;1.0;0.0;1109.0;0.0;9.0;Watford - Tottenham Hotspur, 1 - 1
2500010;0.32887062430381775;0.3371676206588745;0.33396169543266296;1.0;1.0;1109.0;0.0;9.0;Arsenal - Watford, 3 - 0
2517013;0.32887402176856995;0.33716872334480286;0.3339572250843048;1.0;2.0;1109.0;0.0;9.0;Eintracht Frankfurt - Hertha BSC, 0 - 3
2499973;0.32887306809425354;0.3371727764606476;0.3339541554450989;1.0;0.0;1109.0;0.0;9.0;Crystal Palace - Newcastle United, 1 - 1
2500047;0.3288753628730774;0.33717143535614014;0.33395323157310486;1.0;2.0;1109.0;0.0;9.0;Watford - Burnley, 1 - 2
2565820;0.3288843333721161;0.3371770977973938;0.3339385986328125;1.0;2.0;1109.0;0.0;9.0;M\u00e1laga - Barcelona, 0 - 2
2565660;0.32887759804725647;0.33717408776283264;0.3339483439922333;1.0;0.0;1109.0;0.0;9.0;Athletic Club - Villarreal, 1 - 1
2565773;0.32887575030326843;0.3371725082397461;0.3339517414569855;1.0;0.0;1109.0;0.0;9.0;Celta de Vigo - Espanyol, 2 - 2
2576309;0.3288765847682953;0.33717048168182373;0.33395296335220337;1.0;0.0;1109.0;0.0;9.0;Lazio - Atalanta, 1 - 1
2500844;0.3288804292678833;0.3371720314025879;0.3339475095272064;1.0;1.0;1109.0;0.0;9.0;Strasbourg - PSG, 2 - 1
2565645;0.32887744903564453;0.33717361092567444;0.3339489996433258;1.0;1.0;1109.0;0.0;9.0;Getafe - Real Sociedad, 2 - 1
2500936;0.32887503504753113;0.337173730134964;0.3339511752128601;1.0;0.0;1109.0;0.0;9.0;Amiens SC - Toulouse, 0 - 0
2501042;0.3288786709308624;0.3371744155883789;0.33394691348075867;1.0;2.0;1109.0;0.0;9.0;Nantes - Montpellier, 0 - 2
2501039;0.32887306809425354;0.3371725380420685;0.333954393863678;1.0;1.0;1109.0;0.0;9.0;Olympique Lyonnais - Troyes, 3 - 0
2500778;0.32887935638427734;0.33717283606529236;0.3339478075504303;1.0;0.0;1109.0;0.0;9.0;Olympique Marseille - PSG, 2 - 2
2500995;0.3288772404193878;0.3371727168560028;0.3339499831199646;1.0;2.0;1109.0;0.0;9.0;Troyes - Nice, 0 - 2
2565709;0.32887864112854004;0.3371758759021759;0.3339455723762512;1.0;2.0;1109.0;0.0;9.0;Deportivo La Coru\u00f1a - Celta de Vigo, 1 - 3
2516830;0.3288734555244446;0.33716922998428345;0.3339572846889496;1.0;1.0;1109.0;0.0;9.0;RB Leipzig - Hannover 96, 2 - 1
2501000;0.3288770020008087;0.33717256784439087;0.3339504599571228;1.0;0.0;1109.0;0.0;9.0;Olympique Marseille - Montpellier, 0 - 0
2500007;0.32887300848960876;0.33717474341392517;0.33395224809646606;1.0;1.0;1109.0;0.0;9.0;Tottenham Hotspur - Huddersfield Town, 2 - 0
2517031;0.32886984944343567;0.33716705441474915;0.3339630663394928;1.0;1.0;1109.0;0.0;9.0;Borussia M'gladbach - Freiburg, 3 - 1
2516942;0.32887449860572815;0.33716899156570435;0.3339565694332123;1.0;1.0;1109.0;0.0;9.0;Eintracht Frankfurt - RB Leipzig, 2 - 1
2499982;0.3288719952106476;0.33716970682144165;0.33395835757255554;1.0;1.0;1109.0;0.0;9.0;Manchester City - Leicester City, 5 - 1
2565760;0.32887640595436096;0.3371717035770416;0.3339518904685974;1.0;1.0;1109.0;0.0;9.0;Atl\u00e9tico Madrid - Valencia, 1 - 0
2576310;0.32887691259384155;0.33717015385627747;0.33395299315452576;1.0;1.0;1109.0;0.0;9.0;SPAL - Benevento, 2 - 0
2576161;0.32887178659439087;0.3371690809726715;0.3339591324329376;1.0;2.0;1109.0;0.0;9.0;Hellas Verona - Crotone, 0 - 3
2501040;0.3288780450820923;0.3371735215187073;0.33394840359687805;1.0;1.0;1109.0;0.0;9.0;Olympique Marseille - Nice, 2 - 1
2517034;0.3288780748844147;0.3371719419956207;0.333950012922287;1.0;1.0;1109.0;0.0;9.0;Hannover 96 - Hertha BSC, 3 - 1
2500022;0.32887887954711914;0.3371730148792267;0.33394813537597656;1.0;1.0;1109.0;0.0;9.0;Leicester City - Arsenal, 3 - 1
2576288;0.328872948884964;0.3371709883213043;0.3339560031890869;1.0;1.0;1109.0;0.0;9.0;Napoli - Udinese, 4 - 2
2500053;0.32887136936187744;0.3371720016002655;0.33395665884017944;1.0;2.0;1109.0;0.0;9.0;Manchester United - West Bromwich Albion, 0 - 1
2565752;0.3288753628730774;0.3371739089488983;0.3339507579803467;1.0;0.0;1109.0;0.0;9.0;Sevilla - Getafe, 1 - 1
2576095;0.32887405157089233;0.33717164397239685;0.3339543044567108;1.0;0.0;1109.0;0.0;9.0;Lazio - Fiorentina, 1 - 1
2565916;0.32886913418769836;0.337167888879776;0.333963006734848;1.0;1.0;1109.0;0.0;9.0;Real Sociedad - Legan\u00e9s, 3 - 2
2565651;0.32887697219848633;0.3371753394603729;0.3339477479457855;1.0;1.0;1109.0;0.0;9.0;Deportivo Alav\u00e9s - Espanyol, 1 - 0
2499987;0.32887551188468933;0.33717116713523865;0.333953320980072;1.0;1.0;1109.0;0.0;9.0;Tottenham Hotspur - Arsenal, 1 - 0
2565809;0.3288748860359192;0.33717450499534607;0.33395063877105713;1.0;2.0;1109.0;0.0;9.0;Villarreal - Girona, 0 - 2
2499846;0.3288767635822296;0.337172269821167;0.3339509665966034;1.0;0.0;1109.0;0.0;9.0;Swansea City - AFC Bournemouth, 0 - 0
2565771;0.32887375354766846;0.33716991543769836;0.3339563012123108;1.0;1.0;1109.0;0.0;9.0;Valencia - Levante, 3 - 1
