;draw_pred;home_pred;away_pred;prediction;label_x;config.;folder;epoch;label_y
2576105;0.23392780125141144;0.1531163454055786;0.6129558086395264;2.0;2.0;24.0;0.0;99.0;Napoli - Juventus, 0 - 1
2500995;0.13145220279693604;0.0431392528116703;0.8254085183143616;2.0;2.0;24.0;0.0;99.0;Troyes - Nice, 0 - 2
2499815;0.0641372799873352;0.9213961362838745;0.014466600492596626;1.0;1.0;24.0;0.0;99.0;Liverpool - Huddersfield Town, 3 - 0
2499859;0.10128603875637054;0.31801652908325195;0.5806973576545715;2.0;0.0;24.0;0.0;99.0;AFC Bournemouth - Southampton, 1 - 1
2576292;0.17746567726135254;0.07992188632488251;0.7426124215126038;2.0;1.0;24.0;0.0;99.0;Sassuolo - Fiorentina, 1 - 0
2565916;0.08822400867938995;0.7299510836601257;0.18182490766048431;1.0;1.0;24.0;0.0;99.0;Real Sociedad - Legan\u00e9s, 3 - 2
2565898;0.007391079794615507;0.0053918007761240005;0.987217128276825;2.0;2.0;24.0;0.0;99.0;Las Palmas - Getafe, 0 - 1
2501000;0.2223140448331833;0.5669071674346924;0.21077881753444672;1.0;0.0;24.0;0.0;99.0;Olympique Marseille - Montpellier, 0 - 0
2565910;0.11479821056127548;0.48005616664886475;0.40514564514160156;1.0;1.0;24.0;0.0;99.0;Espanyol - M\u00e1laga, 4 - 1
2516972;0.3674917221069336;0.16523294150829315;0.46727532148361206;2.0;0.0;24.0;0.0;99.0;Stuttgart - RB Leipzig, 0 - 0
2501006;0.30550605058670044;0.13324610888957977;0.5612478256225586;2.0;0.0;24.0;0.0;99.0;Angers SCO - Nice, 1 - 1
2565801;0.10753433406352997;0.7472312450408936;0.1452343612909317;1.0;1.0;24.0;0.0;99.0;Getafe - Deportivo La Coru\u00f1a, 3 - 0
2516834;0.277604877948761;0.2374477982521057;0.4849473237991333;2.0;1.0;24.0;0.0;99.0;Eintracht Frankfurt - Werder Bremen, 2 - 1
2501040;0.2413533329963684;0.5395956635475159;0.21905097365379333;1.0;1.0;24.0;0.0;99.0;Olympique Marseille - Nice, 2 - 1
2576215;0.11536367982625961;0.018161043524742126;0.8664752840995789;2.0;2.0;24.0;0.0;99.0;Cagliari - Napoli, 0 - 5
2500936;0.16510610282421112;0.2307174652814865;0.6041764616966248;2.0;0.0;24.0;0.0;99.0;Amiens SC - Toulouse, 0 - 0
2576320;0.19049400091171265;0.3670675456523895;0.44243842363357544;2.0;2.0;24.0;0.0;99.0;Bologna - Chievo, 1 - 2
2565709;0.06399645656347275;0.048060622066259384;0.887942910194397;2.0;2.0;24.0;0.0;99.0;Deportivo La Coru\u00f1a - Celta de Vigo, 1 - 3
2500838;0.18117353320121765;0.20820431411266327;0.6106221675872803;2.0;1.0;24.0;0.0;99.0;Lille - Toulouse, 1 - 0
2500887;0.17030049860477448;0.384892076253891;0.44480741024017334;2.0;1.0;24.0;0.0;99.0;Angers SCO - Troyes, 3 - 1
2500097;0.30045148730278015;0.43835553526878357;0.26119303703308105;1.0;1.0;24.0;0.0;99.0;Tottenham Hotspur - Leicester City, 5 - 4
2565776;0.01942518539726734;0.0019423895282670856;0.978632390499115;2.0;2.0;24.0;0.0;99.0;M\u00e1laga - Atl\u00e9tico Madrid, 0 - 1
2565907;0.26359906792640686;0.47816383838653564;0.2582370936870575;1.0;0.0;24.0;0.0;99.0;Barcelona - Real Madrid, 2 - 2
2500932;0.09950579702854156;0.15336138010025024;0.7471327781677246;2.0;0.0;24.0;0.0;99.0;Nantes - Lille, 2 - 2
2516965;0.1738642156124115;0.2128143310546875;0.6133214235305786;2.0;1.0;24.0;0.0;99.0;Borussia Dortmund - Eintracht Frankfurt, 3 - 2
2516871;0.19392769038677216;0.125396266579628;0.6806760430335999;2.0;0.0;24.0;0.0;99.0;Hamburger SV - Wolfsburg, 0 - 0
2565809;0.06210101395845413;0.1989389955997467;0.7389599680900574;2.0;2.0;24.0;0.0;99.0;Villarreal - Girona, 0 - 2
2565669;0.05063823610544205;0.011145120486617088;0.9382166266441345;2.0;2.0;24.0;0.0;99.0;Levante - Atl\u00e9tico Madrid, 0 - 5
2565693;0.10765951871871948;0.2545938789844513;0.6377465724945068;2.0;1.0;24.0;0.0;99.0;Deportivo La Coru\u00f1a - Legan\u00e9s, 1 - 0
2499883;0.23963671922683716;0.5185136795043945;0.2418496459722519;1.0;1.0;24.0;0.0;99.0;Crystal Palace - Watford, 2 - 1
2565764;0.14381122589111328;0.43459969758987427;0.42158907651901245;1.0;1.0;24.0;0.0;99.0;Eibar - Sevilla, 5 - 1
2565653;0.07870490849018097;0.8532868027687073;0.06800826638936996;1.0;1.0;24.0;0.0;99.0;Barcelona - Sevilla, 2 - 1
2576295;0.343080073595047;0.4766857326030731;0.1802341192960739;1.0;2.0;24.0;0.0;99.0;Juventus - Napoli, 0 - 1
2516832;0.1731666773557663;0.06277795135974884;0.7640553712844849;2.0;2.0;24.0;0.0;99.0;Freiburg - Schalke 04, 0 - 1
2517013;0.35226544737815857;0.3019009530544281;0.34583359956741333;0.0;2.0;24.0;0.0;99.0;Eintracht Frankfurt - Hertha BSC, 0 - 3
2500010;0.08039136230945587;0.8428770303726196;0.07673162966966629;1.0;1.0;24.0;0.0;99.0;Arsenal - Watford, 3 - 0
2501025;0.29899054765701294;0.21579115092754364;0.48521822690963745;2.0;1.0;24.0;0.0;99.0;Toulouse - Angers SCO, 2 - 0
2517003;0.3497277498245239;0.2618236839771271;0.3884485960006714;2.0;0.0;24.0;0.0;99.0;Werder Bremen - RB Leipzig, 1 - 1
2516877;0.21205036342144012;0.11285556852817535;0.6750940680503845;2.0;1.0;24.0;0.0;99.0;Freiburg - Borussia M'gladbach, 1 - 0
2576318;0.1925308108329773;0.6473256349563599;0.16014355421066284;1.0;0.0;24.0;0.0;99.0;Napoli - Torino, 2 - 2
2516920;0.12295490503311157;0.08250145614147186;0.7945436239242554;2.0;0.0;24.0;0.0;99.0;Hertha BSC - Hoffenheim, 1 - 1
2565651;0.056548044085502625;0.13848178088665009;0.8049700856208801;2.0;1.0;24.0;0.0;99.0;Deportivo Alav\u00e9s - Espanyol, 1 - 0
2517025;0.2689129412174225;0.06398479640483856;0.6671022772789001;2.0;1.0;24.0;0.0;99.0;Mainz 05 - RB Leipzig, 3 - 0
2516924;0.22627021372318268;0.12779176235198975;0.6459380388259888;2.0;1.0;24.0;0.0;99.0;Augsburg - Eintracht Frankfurt, 3 - 0
2576220;0.177556574344635;0.18709218502044678;0.6353511810302734;2.0;1.0;24.0;0.0;99.0;Genoa - Cagliari, 2 - 1
2516927;0.14124852418899536;0.14031139016151428;0.718440055847168;2.0;0.0;24.0;0.0;99.0;Wolfsburg - Stuttgart, 1 - 1
2501017;0.09373283386230469;0.01438717171549797;0.8918799161911011;2.0;2.0;24.0;0.0;99.0;Bordeaux - PSG, 0 - 1
2565671;0.055499397218227386;0.11489056050777435;0.8296100497245789;2.0;0.0;24.0;0.0;99.0;Deportivo La Coru\u00f1a - Athletic Club, 2 - 2
2499846;0.17674653232097626;0.06722228229045868;0.7560311555862427;2.0;0.0;24.0;0.0;99.0;Swansea City - AFC Bournemouth, 0 - 0
2565815;0.053745657205581665;0.24794799089431763;0.6983063220977783;2.0;1.0;24.0;0.0;99.0;Real Sociedad - Deportivo Alav\u00e9s, 2 - 1
2576088;0.12987585365772247;0.3087511360645294;0.5613730549812317;2.0;2.0;24.0;0.0;99.0;Udinese - Cagliari, 0 - 1
2499940;0.2517488896846771;0.45513615012168884;0.29311496019363403;1.0;0.0;24.0;0.0;99.0;Chelsea - Leicester City, 0 - 0
2517034;0.2947128117084503;0.2338217943906784;0.47146543860435486;2.0;1.0;24.0;0.0;99.0;Hannover 96 - Hertha BSC, 3 - 1
2501059;0.17692434787750244;0.7220308184623718;0.10104489326477051;1.0;1.0;24.0;0.0;99.0;Olympique Marseille - Amiens SC, 2 - 1
2500844;0.14185383915901184;0.01586443930864334;0.842281699180603;2.0;1.0;24.0;0.0;99.0;Strasbourg - PSG, 2 - 1
2500067;0.22996562719345093;0.07049597054719925;0.6995383501052856;2.0;0.0;24.0;0.0;99.0;Watford - Crystal Palace, 0 - 0
2576257;0.08774915337562561;0.05347982421517372;0.8587710857391357;2.0;2.0;24.0;0.0;99.0;Cagliari - Torino, 0 - 4
2516821;0.29198166728019714;0.40599653124809265;0.30202171206474304;1.0;2.0;24.0;0.0;99.0;Hoffenheim - Borussia M'gladbach, 1 - 3
2576310;0.10914135724306107;0.1561715304851532;0.734687089920044;2.0;1.0;24.0;0.0;99.0;SPAL - Benevento, 2 - 0
2499738;0.23176896572113037;0.31706154346466064;0.451169490814209;2.0;1.0;24.0;0.0;99.0;West Ham United - Southampton, 3 - 0
2576288;0.08273448795080185;0.8451942801475525;0.07207127660512924;1.0;1.0;24.0;0.0;99.0;Napoli - Udinese, 4 - 2
