;draw_pred;home_pred;away_pred;;draw_pred;home_pred;away_pred;prediction;prediction;label_x;config.;folder;epoch;label_y
2576105;0.305357962846756;0.32961827516555786;0.36502376198768616;;0.20476123690605164;0.33322787284851074;0.46201083064079285;2.0;2.0;2.0;41.0;0.0;99.0;Napoli - Juventus, 0 - 1
2500995;0.30172887444496155;0.24449732899665833;0.45377376675605774;;0.27138569951057434;0.2717224955558777;0.45689183473587036;2.0;2.0;2.0;41.0;0.0;99.0;Troyes - Nice, 0 - 2
2499815;0.06520964205265045;0.9248751997947693;0.009915088303387165;;0.08469047397375107;0.9047307372093201;0.01057884655892849;1.0;1.0;1.0;41.0;0.0;99.0;Liverpool - Huddersfield Town, 3 - 0
2499859;0.2276466339826584;0.646989107131958;0.1253642588853836;;0.27412864565849304;0.6147730946540833;0.11109825223684311;1.0;1.0;0.0;41.0;0.0;99.0;AFC Bournemouth - Southampton, 1 - 1
2576292;0.29653245210647583;0.21380186080932617;0.4896656274795532;;0.2646014392375946;0.20884326100349426;0.5265552997589111;2.0;2.0;1.0;41.0;0.0;99.0;Sassuolo - Fiorentina, 1 - 0
2565916;0.1680363565683365;0.7687525749206543;0.0632111132144928;;0.143100306391716;0.8001337051391602;0.05676598101854324;1.0;1.0;1.0;41.0;0.0;99.0;Real Sociedad - Legan\u00e9s, 3 - 2
2565898;0.2733740210533142;0.143013134598732;0.5836127996444702;;0.2597770392894745;0.1949666440486908;0.5452563166618347;2.0;2.0;2.0;41.0;0.0;99.0;Las Palmas - Getafe, 0 - 1
2501000;0.1959754377603531;0.7157333493232727;0.088291235268116;;0.24362562596797943;0.649040162563324;0.10733424127101898;1.0;1.0;0.0;41.0;0.0;99.0;Olympique Marseille - Montpellier, 0 - 0
2565910;0.21879617869853973;0.6673367619514465;0.11386706680059433;;0.21007874608039856;0.6982266902923584;0.09169451147317886;1.0;1.0;1.0;41.0;0.0;99.0;Espanyol - M\u00e1laga, 4 - 1
2516972;0.30573078989982605;0.31172624230384827;0.3825429677963257;;0.33655428886413574;0.29614847898483276;0.3672972321510315;2.0;2.0;0.0;41.0;0.0;99.0;Stuttgart - RB Leipzig, 0 - 0
